am.highapps.parallaxtoolbar	compose-parallax-toolbar-kmp-android	1.0.0		N/A
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha1	9	41cfe2260fd029fa51e30045d26684580c0204ec
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha2		951e7059106c3a7ed5485be9a065ae615326fe58
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha2	9	48c53a1b289a721a1193554dd54e65d6ef400202
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha3		0b909e2371fa55b42d280b6239025792a083026e
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha3	9	b0dbb7314a8c5fcbf3e8bd5e4f2a957212edcc52
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha4		953272678683376303625193f72af4e410a64fb9
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha4	9	78c35f209454cbfd4188b7921df5950f5a1ee188
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha5		8f264e94484e97ed07f595d2c8df4dd692e5670e
com.blazebit	blaze-persistence-entity-view-impl	1.5.0-Alpha5	9	72d4545b9b0d67ca8df818d9ab32ba033cf694a3
com.blazebit	blaze-persistence-entity-view-impl	1.5.1		5018d5074e7f760c2703e7d158b80e34d2e1769f
com.blazebit	blaze-persistence-entity-view-impl	1.5.1	9	4ae29df3ddb1558588030f1ac473521bb6a78373
com.blazebit	blaze-persistence-entity-view-impl	1.6.0		d2d4b88807c2e2d73eca7526ca80d4848f54823e
com.blazebit	blaze-persistence-entity-view-impl	1.6.0	9	3b7530069689ae848d5435046d7d558841c4dd1c
com.blazebit	blaze-persistence-entity-view-impl	1.6.0-Alpha1		17b2ea10eedf914b68bf6ec17c5c19910c64ff3d
com.blazebit	blaze-persistence-entity-view-impl	1.6.0-Alpha1	9	02f8ad2c94335328f9feccedaaba0609dc40c405
com.blazebit	blaze-persistence-entity-view-impl	1.6.0-Alpha2		601c9ea9b9448c2b0c9e4cfcb840539437d29e98
com.blazebit	blaze-persistence-entity-view-impl	1.6.0-Alpha2	9	e3f615b60ed20ecb2b5e6dc9267e95f896fdbb3b
com.blazebit	blaze-persistence-entity-view-impl	1.6.1		af84a7b82c0e4ca9338d53a3d51e52081e4b2768
com.blazebit	blaze-persistence-entity-view-impl	1.6.1	9	2d375fdd98a75c119418a152a9f70a1269d573b9
com.blazebit	blaze-persistence-entity-view-impl	1.6.10		2bac4476861785afc055cfec0f5cc52ab0f9457d
com.blazebit	blaze-persistence-entity-view-impl	1.6.10	9	95319942bacd88f784f0883bc525172b2015d381
com.blazebit	blaze-persistence-entity-view-impl	1.6.11		6efa63e55305ed8f2ba1df1b54da5c219d5509e5
com.blazebit	blaze-persistence-entity-view-impl	1.6.11	9	a9620145c29fa05eef7b4b15df7ae6a420123436
com.blazebit	blaze-persistence-entity-view-impl	1.6.12		c2e075683b60962aee3fdc1a545d55987447008b
com.blazebit	blaze-persistence-entity-view-impl	1.6.12	9	e64f54e9d27471f50bac3515a173006ffd8f527b
com.blazebit	blaze-persistence-entity-view-impl	1.6.13		980f5184760c834907d283d39016a6d418460d30
com.blazebit	blaze-persistence-entity-view-impl	1.6.13	9	095ea1af1a966b11f6549f1363e12c04d0c2700f
com.blazebit	blaze-persistence-entity-view-impl	1.6.14		2fc52b65e8e07dea47d20dfbca93df594b2e8f8a
com.blazebit	blaze-persistence-entity-view-impl	1.6.14	9	750e6962b221d4693e41ba2a51a01f099a8d6a79
com.blazebit	blaze-persistence-entity-view-impl	1.6.15		e918a1bfc95273f20969e61a911b4181c5933b89
com.blazebit	blaze-persistence-entity-view-impl	1.6.15	9	febfb5dc56a51b1f424087ca9397bb15c845f37c
com.blazebit	blaze-persistence-entity-view-impl	1.6.2		8256e813c200eb35a66572270924eb63f2e68106
com.blazebit	blaze-persistence-entity-view-impl	1.6.2	9	38b36b5cac019e573e63664ddb526e5b8da1e273
com.blazebit	blaze-persistence-entity-view-impl	1.6.3		14513e7594b4df3e4bc597b3e7f7293fa2c2b98f
com.blazebit	blaze-persistence-entity-view-impl	1.6.3	9	697a0adc1ccc467a17de1c1c773868323f98efbd
com.blazebit	blaze-persistence-entity-view-impl	1.6.4		73b06411b554568430cbdb27894d30b89943f24e
com.blazebit	blaze-persistence-entity-view-impl	1.6.4	9	0497573ccae274fbf11d75d078765be89199c730
com.blazebit	blaze-persistence-entity-view-impl	1.6.5		4358b72d640da331d727e52ce2d0ab8a9836e357
com.blazebit	blaze-persistence-entity-view-impl	1.6.5	9	f7ea8ba63cf0c7d76fb2d187f1ca47d93b70f606
com.blazebit	blaze-persistence-entity-view-impl	1.6.6		7931f34923e49fb5012750f9d3c8960192f00cc1
com.blazebit	blaze-persistence-entity-view-impl	1.6.6	9	7df2ce6fc3fd7e2fabfa8f5a1332c495e5aa1e25
com.blazebit	blaze-persistence-entity-view-impl	1.6.7		ed72eb05d2c7dffaab39dae1e86e3f0fee42ee68
com.blazebit	blaze-persistence-entity-view-impl	1.6.7	9	698e40a1f3344ddc7017ce1d1d90fa9faa633dfe
com.blazebit	blaze-persistence-entity-view-impl	1.6.8		c2c2c3471216825feb74a3d3dc4600af4a649e91
com.blazebit	blaze-persistence-entity-view-impl	1.6.8	9	7913895ce40b89939f2bcede8a2018bb4b3ecd2f
com.blazebit	blaze-persistence-entity-view-impl	1.6.9		0f1421f567ea21388e77bf2e5f1e5d27e44ca698
com.blazebit	blaze-persistence-entity-view-impl	1.6.9	9	6cb8028e1eb9f2dbba412ca9caf0354929395f7c
com.dwolla	pgp-testkit-bcpg1.71.1_2.12	0.4.2		7258b760d077da92484ad634cba0d4db3314120b
com.dwolla	pgp-testkit-bcpg1.71.1_2.12	0.4.3		2a6a48c7602e392377affee3b2b82fb310b4eff7
com.dwolla	pgp-testkit-bcpg1.71.1_2.12	0.4.4		b42acd8a02bd8ba1e3899fa16fa4f4ec6cb99f76
com.dwolla	pgp-testkit-bcpg1.71.1_2.12	0.4.5		0e6d3985b041dda922203156f9e261aeabd31a66
com.dwolla	pgp-testkit-bcpg1.71.1_2.12	0.4.6		f298b702f7f38fd6fadffae417e6da5a2d990bf2
com.ecfront	ezf-core	3.0.0		4d401d952f242d5a9fa8086ee40d9b2a11e9df1e
com.ecfront	ezf-core	3.0.0-beta1		8af33bcc726d445e819bca45be0e134b5f236856
com.ecfront	ezf-core	3.0.0-beta2		9032e55c79116688e8255820ead73cf0dda065b1
com.ecfront	ezf-core	3.0.0-beta3		84f62d94618b97287e61a04a8ad9ade37e5fdeb6
com.ecfront	ezf-core	3.1.1		4932a48d3ba8b261453a9c5c90e0c523b797f3cb
com.ecfront	ezf-core	3.2.0		14a5b4585559a932971ff4769df9dea7281c9865
com.gccloud	gc-starter-oauth-cas-cas30	1.0.2-beta4		4b8f4d13625700cde72fcdd94654336718f6636f
com.gccloud	gc-starter-oauth-cas-cas30	1.0.2-beta5		4890f041069c6911b734a58ffde34e1773a4dc85
com.gccloud	gc-starter-oauth-cas-cas30	1.1.0-beta1		abfe73679494980b06a8f44b6751826898509e99
com.gccloud	gc-starter-oauth-cas-cas30	1.1.1		bf9fb0ce86659dad32aab8d6e0f0627ee2e1265d
com.gccloud	gc-starter-oauth-cas-cas30	1.2.4.1.RELEASE		2c4ac3b71449e53fb2779510b0dcc352225bfeeb
com.gccloud	gc-starter-oauth-cas-cas30	1.2.4.2023013001.RELEASE		2d7b614995f0675ecb9ded4214f0d46af7257b13
com.gccloud	gc-starter-oauth-cas-cas30	1.2.4.2024062001.RELEASE		4ae0dcb27606688c4198b64814e27d90bf36ba5c
com.gccloud	gc-starter-oauth-cas-cas30	1.2.5.RELEASE		545548d426631693a1cc54990196138ecadf0426
com.gccloud	gc-starter-oauth-cas-cas30	2.0.0.RELEASE		0f21814dda354535dc4fba2c8238d0aa8c4e22e0
com.gccloud	gc-starter-oauth-cas-cas30	2.3.5.RELEASE		5a1c88e2368c7a13464332fb6feeb8672209e235
com.github.j5ik2o	reactive-redis-test_2.11	1.0.10		c65868a0e426db64cc4a31b487c3dd7e521f2e92
com.github.j5ik2o	reactive-redis-test_2.11	1.0.11		80a45981d8548d8d84c0a636f57c772bf771536b
com.github.j5ik2o	reactive-redis-test_2.11	1.0.13		9028a562a2cd5f63414e4acba579977ef35b8867
com.github.j5ik2o	reactive-redis-test_2.11	1.0.14		1e822b9380e7a63ef82a5b3488a51d0a6c9917a4
com.github.j5ik2o	reactive-redis-test_2.11	1.0.18		f6d678a3bd7cb06d3ffb1882911425df3fd418c3
com.github.j5ik2o	reactive-redis-test_2.11	1.0.19		d1f6027768ff670bfc1dffb4366396219030230e
com.github.j5ik2o	reactive-redis-test_2.11	1.0.20		d1f47f214066b08b09436a1c7128b1f3f6be4710
com.github.j5ik2o	reactive-redis-test_2.11	1.0.21		98cdf43368ea998aee878015c111f51b90245f23
com.github.j5ik2o	reactive-redis-test_2.11	1.0.8		9b6284f85981c3b45054c9667f36e1fcf8e98864
com.github.j5ik2o	reactive-redis-test_2.11	1.0.9		f7f7908b98aa80b72fdba171c36e0fbeb051eab8
com.github.robert2411.platform.components	serialport-api	1.0.3		d4b90d58d1f12c09d0111ff655917504333b8f7e
com.github.robert2411.platform.components	serialport-api	1.0.4		7a50fba25e2db1b5674098dee1439d72d5358847
com.github.stacycurl	pimpathon-frills_2.10	1.4.0		caa0887c740d6db2bf76fe456c4c8849eec74b05
com.github.stacycurl	pimpathon-frills_2.10	1.5.0		c1f6798ea6c908e85bc98c154cca856ab7938efc
com.github.xingfudeshi	knife4j-openapi2-spring-boot-starter	4.6.0		efcdfe5fa668b9df29ec0b8ae1280d411b229f54
com.google.code.mjl	mjl	0.1.0		3e03703ece63e98fe50311e69f655d52bd19bb46
com.gu	atom-renderer-email_2.12	0.14.4		fde352d34ab2920a060f00056f024f3c255d857b
com.gu	atom-renderer-email_2.12	0.14.5		068de2979d01b6ad449641005f6f785e061a8083
com.gu	atom-renderer-email_2.12	0.14.6		08da180d346fab523716334560c458e865a757f9
com.gu	atom-renderer-email_2.12	0.14.7		10dfdd9a366e3438c2a131b9f11f6fd89c40b30b
com.gu	atom-renderer-email_2.12	0.15.0		36222aeefcff9cf25af663739f6aaa6afad7f813
com.gu	atom-renderer-email_2.12	0.16.0		70d8232e212d951ecc20c20ec3489037b83df609
com.gu	atom-renderer-email_2.12	0.16.1		530bfaff98778b89ae21fc8f35664b6581197d4f
com.gu	atom-renderer-email_2.12	0.16.2		27eda3d1258c7b98d6eb899d925a9ba2a62c1cdd
com.gu	atom-renderer-email_2.12	0.16.3		5819656e15934ae44bfc223aa046f5db60bafa59
com.gu	atom-renderer-email_2.12	0.17.0		9fa659d39b2ae151666353b5ae347feaed24b5b7
com.gu	atom-renderer-email_2.12	0.17.1		39fee2d0b157c20b048d352cbcec07aa12d54cc0
com.gu	atom-renderer-email_2.12	0.17.2		fb2de5d1566af89ffa7b423d538f9a64cc992cd8
com.gu	atom-renderer-email_2.12	0.17.3		4953a340a42562c92d1033560b09159bef94527f
com.gu	atom-renderer-email_2.12	0.17.4		af7e57cce373bad34c2f188883a3ae229ee22a52
com.gu	atom-renderer-email_2.12	0.17.5		24d913165e456d521d64c8597f48dab123fbbb28
com.gu	atom-renderer-email_2.12	0.18.0		652cea93561ca6bf0cb06467811fe4ea4dbf02a5
com.gu	atom-renderer-email_2.12	0.18.1		767138e11ee15a64b0008f86a6044ecb8fb1ccb3
com.gu	atom-renderer-email_2.12	1.0.0		257795b67867ea0aaa91ab5f5d308176bf572cb2
com.gu	atom-renderer-email_2.12	1.0.1		a1acf88641116bdfd0940ff037f507ef461852c3
com.gu	atom-renderer-email_2.12	1.0.2		d460de953fcf75372c6f5b00bc2251f850676da9
com.gu	atom-renderer-email_2.12	1.0.3		402664d932a9807018f084ca6c0ceee3bf653e4a
com.gu	atom-renderer-email_2.12	1.0.4		be79190c2706a0505ae8af0364390355b14bdb6d
com.gu	atom-renderer-email_2.12	1.1.0		01bd0c9743df65741f32a4073d26c4977e2c85b5
com.gu	atom-renderer-email_2.12	1.1.1		e793ee24f4dc2161c631b6c35b5370a6c0d691ef
com.gu	atom-renderer-email_2.12	1.1.2		23aad5423c47079cdf2168d11a6277c989679377
com.gu	atom-renderer-email_2.12	1.1.3		7c347246b699ceccf143f614ee491456a8a20f38
com.gu	atom-renderer-email_2.12	1.1.5		db2d6e0ead13582a6103fb44f9da65aed6f5194c
com.gu	atom-renderer-email_2.12	1.1.6		f1f8db33ccd9e27df7f5081980be64a80cb1ef4d
com.gu	atom-renderer-email_2.12	1.2.0		fb4e01917f9a818a32cff3aac315c55604038940
com.jtschwartz	tostring	0.1.0		909cff2747847f7dd8feed5ad4fc1706db8e4caa
com.jtschwartz	tostring	0.1.1		c7e861070c03a97d37080aae5cb31275f8b3c7f5
com.jtschwartz	tostring	1.0.0		82ae4d36ad7ddaafe504bad8b6634a4a76dd0b57
com.jtschwartz	tostring	1.0.1		2898a48b64ff65e5de92ea3834d1cf91d64c65b1
com.jtschwartz	tostring	1.0.2		0a665a49231c861f238ec6275f6b5bed016836a1
com.legyver	utils.propl	3.1.0		8cc88e8a615b05a53725ba36863b3170b9e5d5f5
com.legyver	utils.propl	3.2.0		681a7e753081bb0cdaa93f87d3c048857ec985bc
com.legyver	utils.propl	3.2.1		f9dbc3ae991f0f4e63cae6446b545f39ba03250a
com.legyver	utils.propl	3.3.0		34337d17c9ed788a4b6a9605ab77188c614d221b
com.legyver	utils.propl	3.4.0		7492a172aa44f2327810a20dd61f1834aab39560
com.legyver	utils.propl	3.4.1		48f769e819164c7ba68bfdc80a0ad03c48d3cf94
com.legyver	utils.propl	3.5.0		569f7e90c2c4508c74b99cb474cd534c6d1b25e9
com.legyver	utils.propl	3.5.1		e03a9accbf225ddbf43ace2cd01024f4f5ed7aeb
com.legyver	utils.propl	3.5.2		2d16c1d721ea6edea775764e4ed2c68abff28fa2
com.legyver	utils.propl	3.6.0		e69a46f9b2f476944b01d4df0322d2f8408669d7
com.legyver	utils.propl	3.6.1		3bf18d7852916a614f289df83c93e6cced6e29dd
com.legyver	utils.propl	3.7.0		25601ce018c920ce4d93a5378f54a19185583041
com.linecorp.lich	savedstate	1.0.0		N/A
com.linecorp.lich	savedstate	1.1.0		N/A
com.linecorp.lich	savedstate	1.2.0		N/A
com.linecorp.lich	savedstate	1.3.0		N/A
com.linecorp.lich	savedstate	1.4.0		N/A
com.linecorp.lich	savedstate	1.5.0		N/A
com.linecorp.lich	savedstate	1.6.0		N/A
com.linecorp.lich	savedstate	1.7.0		N/A
com.microsoft.azure.batchai.v2017_09_01_preview	azure-mgmt-batchai	1.0.0-beta		f5c5533fda1f922dc75f84ea58e7f5be8656602e
com.moriatsushi.kredux	kredux-compose-tvosx64	1.0.0-alpha01		N/A
com.moriatsushi.kredux	kredux-compose-tvosx64	1.0.0-alpha01	metadata	b9daf4af5ad53208871ad72fba8843ecf90f25a9
com.netcrest.pado	pado-demo	0.4.3-B1		7b183c288f8b4942331abd64dec5e77626498ac4
com.palominolabs.salesforce	metadata-api-binding	1.0.0		60c026342ad6af81436a70a7c735f0d7e57ebc52
com.palominolabs.salesforce	metadata-api-binding	1.0.1		94eb4e2d4ccbde49d04287dc0a696e925579eac5
com.palominolabs.salesforce	metadata-api-binding	1.0.2		15fdc38c6e8a4121883564dc83cade6c69ae17b6
com.piaoniu	pndao-example	0.2.0		938741be6becf89049b774f17ea4c9b9b311dbbf
com.piaoniu	pndao-example	0.2.1		00b2e9857fd2e979f48b73228bb6358bd433a144
com.siashan	toolkit-phone-parser	1.0.2		27df4108bd22e0b8df99a773cebf535507f29268
com.siashan	toolkit-phone-parser	1.0.3		1817ec7879d2aa2c7b1ed164638071e507844fcb
com.siashan	toolkit-phone-parser	1.0.4		baa834c66fb3b7278f3acb9a732dde0279909765
com.siashan	toolkit-phone-parser	1.0.5		b3d9e44f70615b9ebbf14a62d5a72bd1d64f5a50
com.siashan	toolkit-phone-parser	1.0.6		8eff65426ad19fecc9985abcf615a67ccad7a8d5
com.siashan	toolkit-phone-parser	1.0.7		b53c4067e9b1ca0d71dca9c6a91c731e888f4f9d
com.siashan	toolkit-phone-parser	1.0.8		e12bdd927db51c88452cfec90c70faf1610760da
com.siashan	toolkit-phone-parser	1.0.9		5ebd6e23b68f379b8bf26ff4a228a7208895d82c
com.siashan	toolkit-phone-parser	1.1.0		b9621eec2fe93c72d173ec690340492b1188d57c
com.siashan	toolkit-phone-parser	1.1.1		ae63ebd8428d1199817fc794b6fb7b1e8ef3ccd6
com.siashan	toolkit-phone-parser	1.1.3		b8653c406b4675770b09c44f750cc9391205e192
com.siashan	toolkit-phone-parser	1.1.4		fb0ebb51bd3fd50cefb2e44194ed75e00cedf84e
com.siashan	toolkit-phone-parser	1.1.6		fdd9fdccae2199cf6ae7dc4c226a98bc810ca950
com.siashan	toolkit-phone-parser	1.1.7		ffc4f392551a869537c7d21306f76f32a6178900
com.siashan	toolkit-phone-parser	1.1.8		42156fdb70997b0a4ea8f879dfe7efc02fa40ebc
com.siashan	toolkit-phone-parser	1.1.9		5227760472166a0c7659267457c1e94c78ce9281
com.siashan	toolkit-phone-parser	1.2.0		85c28d339d3c3a5a4b0837725a9d55ffe598ded0
com.siashan	toolkit-phone-parser	1.2.1		9c46dfff903b34bcba306aad2015a18d63838ab8
com.siashan	toolkit-phone-parser	1.2.2		972a1c0eb52ad618e6317918eda46e030eaf13f9
com.siashan	toolkit-phone-parser	1.2.3		bc3873626acff758c7f4889973b2a1f7dae5ff67
com.siashan	toolkit-phone-parser	1.2.4		5698867bfdd1cf3469dcf71ae773a83d7bec71d8
com.siashan	toolkit-phone-parser	1.2.5		bc9eca8f016da6d5aadb042322a70801237460df
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0		3d82faafeafe34511a0b7eb7f2decbcd78e19443
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC1		dd8f4abe06f84a075861c266d7fe6d3df9051943
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC11		35601906dcfd0adf880eb475046f6c5f3a1518b9
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC12		c717107328ccae1d268305b29b0432efd145e78a
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC13		bc606611e7e0940869932ad3a6f192c23f309778
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC2		90fc59c9f0b46e370ff7d9e301a1b67cbe1022d6
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC3		08e55db6c4e6380dfe19f29ee43d824f21015757
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC4		7252c466dfa9a04ca12a87c4d1739bffbe898b08
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC5		9d82f2d734d6e37a1fb04162492af15a04f660bc
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC6		da97ab39d344ec1691967cdc2c1305f7965f3170
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC7		41e5242fae4350f2112be5904a6b09847d3fbcfc
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC8		992754f9f44439ce39f2659319d9eeee26c77762
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.0.0-RC9		cec30e36277d32c7999791d549ee05c7770277d8
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.1.0		cd0fca64208d75f1c8367311dd0818fb7eff541c
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.1.1		de95f7879f1b09e05d39e4ab1e5d8d2297131f56
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.0		24f0094e65b9a07142ae5fa98916b50fe558081d
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.1		29b7712d6a49c2edbb2eec0c942c0a1bb3d5e8c8
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.2		5cd7b39ec157dbd11aa70455d1ab127ea98c1d27
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.3		2c25eaebe2ae14509693d7b53db2a8af8fa388b2
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.4		6c501e2c3a6af5af20b25f5b6cbddb0c26dc2efd
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.5		f56244059d6342932475305fb6fc37d74d19525e
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.6		1a9f662ec95eae4e05054eeb5db4404912b79ef9
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.2.7		72c1c92ce8a6f1822e66dabcc42ff0ed47754521
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.0		8761fc54c7150ced1d790422b282e8db482eba58
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.1		e1c40810bc61182a8e6dcfc6a92ccaa59ac9e3cb
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.10		668c470201f73cd666ec679aa9be16253b42eba8
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.11		41312792e6513073a22fb99615b92e733f010a41
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.12		e0a8f890c67d5cdb6f6ba031255f62566d0ecbe7
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.2		43458662eff61f58bcd44bf033e9616981978971
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.3		27a68edca66b09e8dc5c2bd5514a4354efe4b7cb
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.4		f3b9d007982870e74892ca1caf502cda0ae0d32e
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.5		ac3ed67985cbf92a55798f82d32805eecee63711
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.6		67e20f6aa7c52822c8d1d2db96795e3cbb2172b3
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.7		6ac52eee9434e1fa088d80cee8af61bd2eaa4d31
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.8		5ffa2581f697d1da51e7f25eb81e713a5efbe872
com.softwaremill.sttp.shared	ws_sjs1_2.11	1.3.9		9e99fcbc8f17cbaaeb1ab03b89b2af0ab1c3b25e
com.soywiz	korlibs-compression-lzma-wasm-js	6.0.0-alpha2		N/A
com.squareup	sort-dependencies-gradle-plugin	0.1		d4f7567477a566e73c97fcaebf1d6c363cc6978b
com.squareup	sort-dependencies-gradle-plugin	0.10		b81441eaaffeaa0dc46bd07e4b1f99506e044663
com.squareup	sort-dependencies-gradle-plugin	0.11		624bd6eb0742a563f9b401c94329e4f76a34aa42
com.squareup	sort-dependencies-gradle-plugin	0.12		ff8026615e8e55b34b00e77b07e9f5f7cda307e1
com.squareup	sort-dependencies-gradle-plugin	0.13		a7e2c9a1f3db865e904579c9eec37712ab0fe348
com.squareup	sort-dependencies-gradle-plugin	0.14		35ed136a13f65dda26e4e2788ff0ae4ba1528e91
com.squareup	sort-dependencies-gradle-plugin	0.2		b18bb4a227ffa3e65d672200e043a5ca41135001
com.squareup	sort-dependencies-gradle-plugin	0.3		5f9894c3d06acb848760b3b8f56370eb86c8982b
com.squareup	sort-dependencies-gradle-plugin	0.4		037048d832fbba4db4cb12438491d1005427358f
com.squareup	sort-dependencies-gradle-plugin	0.5		02c26b4de4911c28c87423959e25b8c3c6929caf
com.squareup	sort-dependencies-gradle-plugin	0.6		9b86ed9998cb49fc8803eb71781a4fcbd07c4707
com.squareup	sort-dependencies-gradle-plugin	0.7		7d672b835bbc9376f139c0a0c1aa841f004b64b3
com.squareup	sort-dependencies-gradle-plugin	0.8		c4938502a5360d1e502247acdacb39ef875ea347
com.squareup	sort-dependencies-gradle-plugin	0.9		35fb17ad1bef6f45f19de2692d120c8210b2eb35
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.0-20-d89d71		b3f1ab70f85b4f6522f24ff6c7c11fb3ff61a8b6
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1		59a61fc12d8c6f8cefa24690d78733cd7fd84bb2
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-1-9c7dfe		afe6f2a69c59f34d43f8f740ae1e820e83544057
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-2-c71aca		99ad60fae75de19808b9092048b6b088d4c4d4f1
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-3-a7811d		87ed5c7f12d17b5ab61037b10970dda30f63e205
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-4-fa700d		277450b985238b67b15a6b2737be11e4b41dea7c
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-5-b2f9e2		64f6e09eb9267d1e2879578266a05b8b56d2e1a0
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-7-a6106f		be96ead1361f6456f5b17e84da522879dfb6b306
de.tototec	de.tobiasroeser.mill.jbake_mill0.11_2.13	0.3.1-8-2b39c8		7183e4fe6f352f811f5949bd6537ea5f71b4db4b
dev.icerock.moko	permissions-storage-iosarm64	0.19.0		N/A
dev.icerock.moko	permissions-storage-iosarm64	0.19.0	metadata	b11c6a5331092e0191a75d20b425278685841892
dev.icerock.moko	permissions-storage-iosarm64	0.19.1		N/A
dev.icerock.moko	permissions-storage-iosarm64	0.19.1	metadata	e2dfdf09c60d2cedf1aa7f46c01eab8d769a2b86
dev.lukebemish	linemapper	0.1.0		f1922480fa9c97cae4edfed9871e7ac7e33418fe
dev.lukebemish	linemapper	0.1.0	all	c014062eb43f04a36db41885353f188013e138c1
dev.lukebemish	linemapper	0.1.0	jst	9d40fef10adea7e55720c67478c08e8a0267ff29
dev.lukebemish	linemapper	0.1.0	jst-sources	e18ffe1bfc73dad4f78a5ae8c616f107f566027a
io.eventuate.examples.common	eventuate-examples-common-money	0.1.0.RELEASE		bd810aa90d7ba1870139adcecae2e360741befac
io.eventuate.examples.common	eventuate-examples-common-money	0.2.0.RELEASE		b5141a4b27036a0acc44d32b039a4d8c41a46b3d
io.eventuate.examples.common	eventuate-examples-common-money	0.3.0.RELEASE		6b6d08a4be7f49e1c1725174c36c0641fb2883e7
io.eventuate.examples.common	eventuate-examples-common-money	0.4.0.RELEASE		e3325e64179c1e029c93ac670e35d7877dd415e2
io.github.c-fraser	deferred-compiler-plugin	0.1.0		2832a1b4d36c2fbdbef3348a173b763c079e5c70
io.github.c-fraser	deferred-compiler-plugin	0.1.1		f1d56f29147b3bce10cf92b475cd31077c4c5b55
io.github.joker1007	embulk-parser-avro	0.5.0		e2969ed26dd5e41acd45e79d611bc9c1af2ae0dd
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.2		979ee1e222af9cd25950280c832eb6846d5353bb
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.3		f9fa9aac9ec56a3889651613d01ec1eff645a0c9
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.4		f9fa9aac9ec56a3889651613d01ec1eff645a0c9
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.5		f9fa9aac9ec56a3889651613d01ec1eff645a0c9
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.6		f9fa9aac9ec56a3889651613d01ec1eff645a0c9
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.7		f9fa9aac9ec56a3889651613d01ec1eff645a0c9
io.github.kashif-mehmood-km	voyant-voyagerx-jvm	0.0.9		f9f47846461cc40bb62ca1b763405f5fb888e735
io.github.luca992.getenv-kt	getenv-watchosarm32	0.1.0		N/A
io.github.luca992.getenv-kt	getenv-watchosarm32	0.1.0	metadata	ef86a665c11751b67fffe48a11266c2f293b1f9f
io.github.luca992.getenv-kt	getenv-watchosarm32	0.2.0		N/A
