avalon-phoenix	avalon-phoenix-loader	4.0.4		d22f2fd3e0277552af4e8b737cfa7ae6d3ea6eb5
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20201124.5709.0.dabd55d0		8289b7ded058ab11c87b3a3afc56d96c9999928b
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20201201.5776.0.4b91f2a6		8670e34ea89c73fd33a1dfdc656964d5f80aa382
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20201208.5840.0.38455e8c		9af597b9dd416022e3a64406cd29fda5138e8f45
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20201214.5841.0.a8ae8e4a		9af597b9dd416022e3a64406cd29fda5138e8f45
com.daml	ledger-api-scalapb_2.12	1.8.0-snapshot.20210303.5843.0.d443707c		9af597b9dd416022e3a64406cd29fda5138e8f45
com.daml	ledger-api-scalapb_2.12	1.8.1		9af597b9dd416022e3a64406cd29fda5138e8f45
com.daml	ledger-api-scalapb_2.12	1.8.1-snapshot.20210115.5842.0.59f5d407		9af597b9dd416022e3a64406cd29fda5138e8f45
com.daml	ledger-api-scalapb_2.12	1.9.0		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.9.0-snapshot.20201215.5907.0.a6ed34c5		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.9.0-snapshot.20210106.5986.0.c6995a9c		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.9.0-snapshot.20210111.6034.0.7855b023		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.9.0-snapshot.20210112.6040.0.7171cb38		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.9.0-snapshot.20210113.6060.0.9ed787cb		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.9.0-snapshot.20210119.6062.0.5b3663a5		4799660d26458572bc9b713195694a441f33c773
com.github.linyuzai	concept-domain-mbp	1.0.0		2c8245d65a308a51d7f82b1240dd97686aa6dc5a
com.github.linyuzai	concept-domain-mbp	1.0.1		bec7b5fcfdb03d4a47b74e5ce2e6ef654b127cb6
com.github.linyuzai	concept-domain-mbp	1.0.2		c5bcb970577944634a7b539143fb2e4e73dd0494
com.github.linyuzai	concept-domain-mbp	1.0.3		8a406d146e76817a80737011d01f75024095a3d2
com.github.linyuzai	concept-domain-mbp	1.0.4		1a665bb4aba6de4e7945b1bf05c50ff91987563b
com.github.linyuzai	concept-domain-mbp	1.1.0		caa609a04a81c6b38f571fb5de3daa4a3e86b383
com.github.linyuzai	concept-domain-mbp	1.2.0		2bd0cc3eeb9aa523489bfb30e941475724b59e1a
com.github.linyuzai	concept-domain-mbp	1.2.1		ca1ce4437d381423e8e866954bd790c7e3212602
com.github.linyuzai	concept-domain-mbp	1.3.0		2f343ae8d539b7b7710316cd1ec3fe2e3b0bbcc0
com.github.linyuzai	concept-domain-mbp	1.4.0		8406918e38c0c9aedcdf81e4d2ed5de8881a79ca
com.github.linyuzai	concept-domain-mbp	1.4.1		30889fac3c280fc43dbc6f14e405b72c73335250
com.github.linyuzai	concept-domain-mbp	1.5.0		07557cfcaf5f805de1f02916a5530c4ae43c5193
com.github.linyuzai	concept-domain-mbp	1.5.1		63934ca776b78cb8a2dff35bd9091308b0b8c2d6
com.github.linyuzai	concept-domain-mbp	1.6.0		180bfe7db819de7d4ec6961edae5eac57df2ed7e
com.github.linyuzai	concept-domain-mbp	1.6.1		c180d19db01db000c0b709a3427853f17ba0efdf
com.github.linyuzai	concept-domain-mbp	1.6.1.1		343b2672bdb491a5acdafb45fe57a34357e3fd05
com.github.linyuzai	concept-domain-mbp	1.6.2		bf3f891c14ae94b660e46ccb4db61af6594f7676
com.github.linyuzai	concept-domain-mbp	1.6.3		98358506d3c1c9098e6d9153c5032b351e801ed9
com.github.linyuzai	concept-domain-mbp	1.6.4		c4bd08ad848161e2b0021844c010e26ca21b3ffc
com.github.linyuzai	concept-domain-mbp	1.6.5		85cc2adea6137c80982d43a61cc87aa8306a2f68
com.github.linyuzai	concept-domain-mbp	1.6.6		17ed29471765b1dd59a626126fe7a560d15bfdf5
com.github.linyuzai	concept-domain-mbp	1.6.7		82c8e108a9b285ab694c3b2c4c0aef64474dd13a
com.github.linyuzai	concept-domain-mbp	1.7.0		affba7ffc9987be100192b60d85f2f1633f1bd1a
com.github.linyuzai	concept-domain-mbp	1.7.1		fe47de4b1df904fa8362c5f865e6970b9daa993f
com.github.linyuzai	concept-domain-mbp	1.8.0		8fc8c31b54de4069f5ac966492063dbffb5a9046
com.github.linyuzai	concept-domain-mbp	1.8.1		971695dd1fc57f05c5d9963461125c7044b07dcc
com.github.linyuzai	concept-domain-mbp	1.8.2		7a88293a6c07578ea3690c766c849bf53b9a968f
com.github.linyuzai	concept-domain-mbp	1.8.3		af6da62ccff1a52f76e9042a7809022c16eb6f8a
com.github.linyuzai	concept-domain-mbp	2.0.0		d5bd577f93e4cb231d6fc2d44e4451f34fe694cb
com.github.linyuzai	concept-domain-mbp	2.0.1		6e2b8f1174c958d5420ae95c18436548194a2de4
com.github.linyuzai	concept-domain-mbp	2.0.2		8b25377fcafad351d34b6644e2da883d506e0977
com.github.omarmiatello.telegram	client-watchosx86	5.2		N/A
com.github.omarmiatello.telegram	client-watchosx86	5.2	metadata	cbf3731913f47dfc119e5d9cc5c19ade32a26f2b
com.github.omarmiatello.telegram	client-watchosx86	5.2.1		N/A
com.github.omarmiatello.telegram	client-watchosx86	5.2.1	metadata	fa874dd209cde444c6b86af2872baffb7516e5a9
com.github.omarmiatello.telegram	client-watchosx86	5.3		N/A
com.github.omarmiatello.telegram	client-watchosx86	5.3	metadata	b8a4b349f4267b6f40710d5ffeb549e25596ce81
com.github.omarmiatello.telegram	client-watchosx86	5.6		N/A
com.github.omarmiatello.telegram	client-watchosx86	5.6	metadata	b02e4f34b2e2e2a11fd594e2d14213e210ce0ea2
com.github.omarmiatello.telegram	client-watchosx86	5.7		N/A
com.github.omarmiatello.telegram	client-watchosx86	5.7	metadata	d47230aa5c25ae8c4648eebed0cf66b9e7093130
com.github.omarmiatello.telegram	client-watchosx86	6.0		N/A
com.github.omarmiatello.telegram	client-watchosx86	6.0	metadata	59ced13b519db6e9f3b21a6371d1547453128b0b
com.github.omarmiatello.telegram	client-watchosx86	6.1		N/A
com.github.omarmiatello.telegram	client-watchosx86	6.1	metadata	91b7c045c567af2524e6627c802a8fbb67221a6f
com.github.omarmiatello.telegram	client-watchosx86	7.2		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.2	metadata	f8d7a0f79e1c6070603976454ebd4f5bce84d461
com.github.omarmiatello.telegram	client-watchosx86	7.2.1		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.2.1	metadata	d0bdb7a8fce5beee5e5886946ffaa9250f620198
com.github.omarmiatello.telegram	client-watchosx86	7.2.2		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.2.2	metadata	4224a2b244252fcf5d2248b8c8d1de097efd2f64
com.github.omarmiatello.telegram	client-watchosx86	7.4		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.4	metadata	5a2880d219ede326129f047fd37c0bb0d0216816
com.github.omarmiatello.telegram	client-watchosx86	7.6		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.6	metadata	ae4157296ff47522e5c4ae87f26261eac3e576e3
com.github.omarmiatello.telegram	client-watchosx86	7.7		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.7	metadata	cd3b69c5af899f23cc494d83aa494111ecfa3b74
com.github.omarmiatello.telegram	client-watchosx86	7.7.1		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.7.1	metadata	a88083336b1344834d9e0d690c83753d674806c7
com.github.omarmiatello.telegram	client-watchosx86	7.7.2		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.7.2	metadata	d1546468b21f4a887188d587fb0efa16fb98f382
com.github.omarmiatello.telegram	client-watchosx86	7.7.3		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.7.3	metadata	f2218b66560471a46a839b6f122b22ff51e8b246
com.github.omarmiatello.telegram	client-watchosx86	7.8		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.8	metadata	1df5d8f27280f0b3404bdd7187675ae471f2dee9
com.github.omarmiatello.telegram	client-watchosx86	7.9		N/A
com.github.omarmiatello.telegram	client-watchosx86	7.9	metadata	88160df8301985b2ee12bcc84b0c175c717653a5
com.github.workingDog	stixtoneolib_2.13	0.6		7125aacb3f0eadb98115fa4040c44475542d3055
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.1.0		b0b075aa0435724c68df16939d4147840867c761
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.10.0		f54b649fcbf84cc5a9d712b58a6cd027790d6b12
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.11.0		3aa99c01d5b36617ae0557335acc21de96b19a5a
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.12.0		51c91ae32bcfa62639825a1873f9ebc22d4d2f31
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.13.0		d4add5077c8bf5986c8df832b4a1430c8a5cec5f
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.13.1		8923ba7d4484aeddc8651b85750b63f4f9b8f9e4
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.13.2		24d70b5bc2ee46e72a653f8a9e90e0769b7edd32
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.13.3		d2d7e11f918e67e5c50d4578dc21bd46bf7af9fd
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.14.0		ba8d718b141086bbc8837ea880d2f20c8bdef5d1
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.14.1		c4c335251bc03c1a98f26249977840114a910f35
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.14.2		c10d9c3062ef72cf0a8abfe9e56d76993321bf53
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.15.0		81736f9432b4fdf9e01b7a5731eff6eb667b0b4e
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.2.0		0ab205ea9e73dba7eb9de29489a1b58a63bcab83
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.3.0		a54308251d51bf13f7ef10bec171b5c77129ffb8
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.4.0		62c69616bbceae80bc254f7f6da853d71122d3d7
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.5.0		d294d5d68130728080814d79b7ef07a77df745a5
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.6.0		8400b000056f9beaa21dc36ef62ab1f16828cfa0
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.7.0		cf7573095b35bb6bf1da3ebcdda23524065e1564
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.8.0		cebe6081cb0d94e0057bcec1505e4b41bac51e29
com.gitlab.cdc-java.applic	cdc-applic-ui-swing	0.9.0		b8b723c5c5f74399111e6b800ecf3d2e8958e82c
com.glodon.aecore	platform-sp-demo-utils	0.0.3-RELEASE		6e4e8a0c2de0ea32138625250600a0cdbcb7428d
com.hipoom.cli	workspace	0.0.1		43fcfd7bcf46115ccb94dfbe3c7dba47f5a8df2b
com.hipoom.cli	workspace	0.0.2		4216ea79b143ba0f44ca5a3b321fef943ccf39e8
com.hipoom.cli	workspace	0.0.3		42badb6523dd043ffd8fcfe7fafb9aa54c4220dd
com.hipoom.cli	workspace	0.0.4		476be8a6e13de986b55dc44c8c12bc061f8792ed
com.hipoom.cli	workspace	0.0.5		7bc40de5110e5c9ac073dbc784b385b577890abc
com.huaweicloud.sermant	springboot-registry-service	0.6.1		1ac94f2fe395b2e8c4c104169f30314005c00e8d
com.huaweicloud.sermant	springboot-registry-service	0.6.2		77e69ca13bedf909fa0818a210075054695a87d7
com.huaweicloud.sermant	springboot-registry-service	0.6.3		24a698580775fe8f01c81e800d726b2f05349f3e
com.huaweicloud.sermant	springboot-registry-service	0.7.0		6569766d520db0c36792ea9d4396b02fe1db51e4
com.huaweicloud.sermant	springboot-registry-service	0.8.0		05549ef0bd954029d52e6b7de9866cc8e664a3e5
com.huaweicloud.sermant	springboot-registry-service	0.9.0		360edbf008b7e299009c4beaeaa261f1484f2b29
com.huaweicloud.sermant	springboot-registry-service	1.0.0		b58d7d4eebca78bf9ee498cdd37301bf001ab457
com.huaweicloud.sermant	springboot-registry-service	1.0.1		5f3625dfdf867d134983009f37a7c0916304b236
com.huaweicloud.sermant	springboot-registry-service	1.0.2		0fa1515f81f2b2d1313f5226c4a8bb68ba5cd8d2
com.huaweicloud.sermant	springboot-registry-service	1.0.3		f4a8ffba720d8ccb7ffdbdbea9457402c043016a
com.huaweicloud.sermant	springboot-registry-service	1.0.4		deb12160e7b9b5fe647cc1cbf38ba11a376b762b
com.huaweicloud.sermant	springboot-registry-service	1.0.5		93cb982a60a4dd68c236b3c36fbab828d5ba29e4
com.huaweicloud.sermant	springboot-registry-service	1.0.6		7c7bdb4c22fc04793fc04c048078a1a5d6f8ab0f
com.huaweicloud.sermant	springboot-registry-service	1.0.7		67c3d72a762ea10f60b29c06f8cfca8e503dd495
com.huaweicloud.sermant	springboot-registry-service	1.1.0		561373ebedf47012ffbcd3fe955dcf0cdd78bf7e
com.huaweicloud.sermant	springboot-registry-service	1.2.0		e1b6610860866f9b776bd2f388d35920237154b6
com.huaweicloud.sermant	springboot-registry-service	1.2.1		4eaf1149df61efb6ac0f06c394394716aa526677
com.huaweicloud.sermant	springboot-registry-service	1.3.0		d596902e72d1bb40ab56c05bafd6d203ea264a14
com.huaweicloud.sermant	springboot-registry-service	1.3.1		1325aa898ba104865a8f21d3b683ba61ae9fbcca
com.huaweicloud.sermant	springboot-registry-service	1.4.0		681eb993e2fce8c5b297d5ee239090769ffd01b7
com.huaweicloud.sermant	springboot-registry-service	1.4.1		36666f89fb4b0555277082ade501be026b78f64f
com.hubspot	SingularityService	0.1.1		ff70310fee4fc6b95536dd7ba97d3fba828cbd29
com.hubspot	SingularityService	0.1.2		37f16e218336a3ece775d9d05d108345c31a0044
com.hubspot	SingularityService	0.10.0		a79ea936c87ea42afbb11c4ef8acaef3a5a5fc7d
com.hubspot	SingularityService	0.10.0	shaded	fe754b7304f7b3c824e9ae89786c4dd82fa09d21
com.hubspot	SingularityService	0.10.1		6dd017e2263852fdda2994df2cdb9f0e28fac96a
com.hubspot	SingularityService	0.10.1	shaded	7dda6746eacb616418f3e08a4d2fdaadb684a276
com.hubspot	SingularityService	0.11.0		27eeb0f33aeeb81e55c361f2e90900b91a2706e7
com.hubspot	SingularityService	0.11.0	shaded	170688ec1ae2c6a727b2fccd31a0ed8cb2a2305b
com.hubspot	SingularityService	0.12.0		f56248a38288522a053f52619b479eba0abbcea0
com.hubspot	SingularityService	0.12.0	shaded	7790f7f991ebb15d06c05127fd6d5f0bef67e4d1
com.hubspot	SingularityService	0.13.0		d7f93b88fd8267470d1cc8d06f6c9217df898f4d
com.hubspot	SingularityService	0.13.0	shaded	f38cae3ca49c18e0e205e749ceb3aebcc31d397a
com.hubspot	SingularityService	0.14.0		9a613cdf795e530ef46986c79ac6523a740c08d9
com.hubspot	SingularityService	0.14.0	shaded	4d9a3a9e3dea34d111c90b167fc851324f26376b
com.hubspot	SingularityService	0.14.1		efbeb06ed595a0b2fc2a5ea747405abb2011cba0
com.hubspot	SingularityService	0.14.1	shaded	640541ebad29b2b56511dcd0aae42716b96de053
com.hubspot	SingularityService	0.15.0		902e1c66bc34b683104ccf5fe9dcbb4afe0e955f
com.hubspot	SingularityService	0.15.0	shaded	18afa7efc7925adc5b36a2a19351801966112675
com.hubspot	SingularityService	0.15.1		5c85cde317ae5c60fe376ee404de4c8598177543
com.hubspot	SingularityService	0.15.1	shaded	e7281f461b027654046ee10dcaa6fb64c8798741
com.hubspot	SingularityService	0.16.0		329147e6b694416f8c24f5dad8f81b91296fcbbb
com.hubspot	SingularityService	0.16.0	shaded	00ebeedc248ec659ab2c7be072103457788b42cd
com.hubspot	SingularityService	0.16.1		339deb354dba60c45ccf825a92e566236d7437b2
com.hubspot	SingularityService	0.16.1	shaded	a2f30efe59f1363cc8bd131c4ed94b19819dc0e2
com.hubspot	SingularityService	0.16.2		732067eafbe534537ef4665b4c7161b3628e61e1
com.hubspot	SingularityService	0.16.2	shaded	21c8b45f66ca87c7d70a3dea513a70b388f36851
com.hubspot	SingularityService	0.17.0		ac2c94ff9909be3f5ce292468c3bc94718841e19
com.hubspot	SingularityService	0.17.0	shaded	84a3275e985aad48022b90bfd9fe8265e147980f
com.hubspot	SingularityService	0.17.1		7bd1238626d35e77192a8a4fb92312f62279fb6f
com.hubspot	SingularityService	0.17.1	shaded	2ca9012f9e5168913997c0fb531048a4555fc77f
com.hubspot	SingularityService	0.18.0		98ef09261243e7b8676671c22e8798ee59880c7b
com.hubspot	SingularityService	0.18.0	shaded	2454df88f9cd0a5576e9536ac0d0df66b16fabc4
com.hubspot	SingularityService	0.18.1		f7818206a7e9dc5c94bc12a8c0e0b013dafc6bf8
com.hubspot	SingularityService	0.18.1	shaded	1b60905a7af93ba18dade550a9278ef16ed32d20
com.hubspot	SingularityService	0.18.2		05f91575d94b3f0a55dcf3d5badebaafe7e4f6b2
com.hubspot	SingularityService	0.18.2	shaded	039ac0e046870dbad216de0eadd229724a702b26
com.hubspot	SingularityService	0.19.0		38d6a5c1d19ed6119547f76a94e35ed4867d63c3
com.hubspot	SingularityService	0.19.0	shaded	07de96bddf406eea42b9099b42d60a9e9d21b485
com.hubspot	SingularityService	0.19.1		07a5898c57a0ef6e7edd0029833d5e99e2b9784a
com.hubspot	SingularityService	0.19.1	shaded	368c1c635e1f75aa6e03f524a6eecaf5293cc3b1
com.hubspot	SingularityService	0.19.2		51f91f613d45bfcc6ff18a67c56d6990c14a78d4
com.hubspot	SingularityService	0.19.2	shaded	2c8172442b520fc2a87532faa3e00b6f9499bf42
com.hubspot	SingularityService	0.20.0		b2442c9ebc2f6b1e5b8e9565adea1a014d3709ec
com.hubspot	SingularityService	0.20.0	shaded	eac3519538ce5d777092fa955666d495ea242247
com.hubspot	SingularityService	0.20.1		9ff11455d2d5bdcc5e1daf605c3df0a5f6d45f0c
com.hubspot	SingularityService	0.20.1	shaded	e5d6b0d014522ee917d0ec685bb5e91fcceebdd9
com.hubspot	SingularityService	0.21.0		be5a7547fdf30d69517165d1f96ddfea24b68c0e
com.hubspot	SingularityService	0.21.0	shaded	0cf1467ae694ee15b2024f40bb8f7b93fa52aeb2
com.hubspot	SingularityService	0.22.0		d14b14d7672de59b9d30b447c7ed55f5a7e9777c
com.hubspot	SingularityService	0.22.0	shaded	02d2efeceeb7e279f20d92849f089595605627e6
com.hubspot	SingularityService	0.23.0		cbb326097c38809c6e61faf5953e10c972c23123
com.hubspot	SingularityService	0.23.0	shaded	5d67bf9e1b02cb025be6a9ccb3ae147593eeb53f
com.hubspot	SingularityService	0.3.9		14f910a94d3a522d0e92c73492dd26ad53a712da
com.hubspot	SingularityService	0.3.9	shaded	cc7d4c03c37076faeee21aa7921e98b7a9e914b5
com.hubspot	SingularityService	0.4.0		ec3a50766748b88c88da7ed76b5615b5046de66e
com.hubspot	SingularityService	0.4.0	shaded	6d726238ea420273d2ca0a3ee24762f6314ed4be
com.hubspot	SingularityService	0.4.1		c409b3715c1043d8d14bfafc120d6ff847cc1306
com.hubspot	SingularityService	0.4.1	shaded	6fb140447cd6f9dbdf1e582382b97074f19f8c4e
com.hubspot	SingularityService	0.4.10		76b3bb78ba2f1cd2380fd91f900abcf59d9e7231
com.hubspot	SingularityService	0.4.10	shaded	4d8a208e4da9e3e23993c86d2b6ee87cc98fc23f
com.hubspot	SingularityService	0.4.11		67197119b289c5ed14bea7bd435a5afbb0c46cea
com.hubspot	SingularityService	0.4.11	shaded	34535607f99ee2372d05c18b6e0147955f5cbccd
com.hubspot	SingularityService	0.4.2		4fb1de3b346d50f204008e99fff393c084bd174d
com.hubspot	SingularityService	0.4.2	shaded	9f5adbea245a4317b0fd141606e64a23cc8f5e1a
com.hubspot	SingularityService	0.4.3		e5744ae36448977c2a03be8145c42272f9a9c69f
com.hubspot	SingularityService	0.4.3	shaded	0b90b1b4fc6670d94cf91713756d2d46cfc33a67
com.hubspot	SingularityService	0.4.4		94e13d137bfa05f03e82c959ecc7636b1b8df867
com.hubspot	SingularityService	0.4.4	shaded	62854b555c37e20341e3bd08eaa69085b30cee8b
com.hubspot	SingularityService	0.4.5		36bc259b285daa24bdd8569eb507a82d731b73b8
com.hubspot	SingularityService	0.4.5	shaded	6622d7070252a73fd4afb6cf985f8246b6434877
com.hubspot	SingularityService	0.4.6		d337482174aee69e9a07c9e5440763d23b27cdc9
com.hubspot	SingularityService	0.4.6	shaded	663398918df6a417b29dffe928e12f0a7c87c932
com.hubspot	SingularityService	0.4.7		9a915b1b53607938bb624717e2069c5860e64434
com.hubspot	SingularityService	0.4.7	shaded	1f4ce17235225f9f0fc9f4c60bb50a55b08453c5
com.hubspot	SingularityService	0.4.8		c488a9d408e5f55c5b62845416d5648190932034
com.hubspot	SingularityService	0.4.8	shaded	370b06b7c2292223e490054e2cfc49ff8c381dd4
com.hubspot	SingularityService	0.4.9		0cb1a023c04ae621e646c91d7de207c50d0c2e00
com.hubspot	SingularityService	0.4.9	shaded	ad1101e071d0f8ee1b64bd5dd9b3e701cc1501c5
com.hubspot	SingularityService	0.5.0		905ba1593d8ecab884ec52d1967e0b0295411bd4
com.hubspot	SingularityService	0.5.0	shaded	d316f52cf1b99ef74168f95779b772a03de3a99d
com.hubspot	SingularityService	0.6.0		6e228184439ef9a8672f18cdd7453e13bb32e6c6
com.hubspot	SingularityService	0.6.0	shaded	dfa88282678206c170de348dc6599f75a56d28d0
com.hubspot	SingularityService	0.6.1		d17e41b246f069d606b462f50ea077e12df34eda
com.hubspot	SingularityService	0.6.1	shaded	862776bc6bc86bef1c04b12ac224de59baec34bd
com.hubspot	SingularityService	0.6.2		8f7b45df01cd23c3f9627e88b736ed6302e91927
com.hubspot	SingularityService	0.6.2	shaded	be658f4786a20e5cb2514ede69b94d72088294a1
com.hubspot	SingularityService	0.7.0		4dbec618de44bddc958ce755895c70dc684cdbcb
com.hubspot	SingularityService	0.7.0	shaded	3d596d3b4d13c4f6b87077c42a128e20ca8bcab6
com.hubspot	SingularityService	0.7.1		75e311875e996199ba0ee647258922ea86530e6e
com.hubspot	SingularityService	0.7.1	shaded	193081540f2c95f0164c87ea0b3032771cbc71ee
com.hubspot	SingularityService	0.8.0		5732cbf4381f0f3a1b1d86d455766f522c03dad5
com.hubspot	SingularityService	0.8.0	shaded	0573a1862063913c3ad3d71e850ac15c9e8ff391
com.hubspot	SingularityService	0.9.0		272776753b05d567a29314630d89505d46d1ad62
com.hubspot	SingularityService	0.9.0	shaded	3c9079462d5fc83dc70ed79e3e57ce70f2890c5d
com.hubspot	SingularityService	1.0.0		a6659215564e223c404e077a8d56949b79866208
com.hubspot	SingularityService	1.0.0	shaded	bcc445f6a6b0fe8f4588d4abb21412f3fb7f9b19
com.hubspot	SingularityService	1.1.0		8fd7b70dbe9460f5061abe55afd2707c4d872bf2
com.hubspot	SingularityService	1.1.0	shaded	e276db290daff923e4c81d5a703a01ccbfdd7dd8
com.hubspot	SingularityService	1.2.0		6a09eca7b9724b29ac1468279884433e9f46d2fa
com.hubspot	SingularityService	1.2.0	shaded	ba5af5f7ede374d3bd3aef580b8c55c36ea6b599
com.hubspot	SingularityService	1.3.0		51100229cdf3b6a23c2ecd7fe5b5f00d51d8bedc
com.hubspot	SingularityService	1.3.0	shaded	81da0ca04dba39696f7603b48a6bb3b65c212e2e
com.hubspot	SingularityService	1.4.0		f9ffd074314461ae9d700bd64fbb1f7cd49fb6e6
com.hubspot	SingularityService	1.4.0	shaded	73840db775ecbf2382fe6a74201e99ed672e81fb
com.hubspot	SingularityService	1.5.0		f8bb06f820a8b0b49290e3625f4ddb8be3c403f5
com.hubspot	SingularityService	1.5.0	shaded	f8f450ac4be2418f711454aa28f868e72d32db3b
com.jalalkiswani	smart-cloud-webstack-archtype	4.0.8		edbe88db890cee483880c2cbea850e1339cd5d1f
com.jalalkiswani	smart-cloud-webstack-archtype	4.0.8-1		d136d9d4b04be5e51746a53fd332f9dd6056d664
com.lyloou	component-tool-captcha-starter	1.0.14		b121e9416359fd4558e54e051116300c6a1f943b
com.lyloou	component-tool-captcha-starter	1.0.15		0ba01740533aa792c1f24c05187293fd0d1ca910
com.lyloou	component-tool-captcha-starter	1.0.16		7ba28343d3b15ed9d67409dbb711ea3359e2a323
com.lyloou	component-tool-captcha-starter	1.0.17		8a40dd8d625a0a3637e3621b42b2c6e6a10330a8
com.lyloou	component-tool-captcha-starter	1.0.18		ca7cf51fc53b6d17ed2863b53c7835568e1c365d
com.lyloou	component-tool-captcha-starter	1.0.19		a35dc75a559e9b7fb190dfaaa18a3e7f9d6d0d60
com.lyloou	component-tool-captcha-starter	1.0.21		3db7780debeca69dbbf5d5e818fb38fa30866bd9
com.lyloou	component-tool-captcha-starter	1.0.22		e1f887d3560ad1f96593c95f74042b07fcc93981
com.lyloou	component-tool-captcha-starter	1.0.23		3e228b78a3a85d5b621b97bda6a6321c4ad29baf
com.lyloou	component-tool-captcha-starter	1.0.24		f67d0495989328ff988cb2463b272a3bf34b5d62
com.lyloou	component-tool-captcha-starter	1.0.25		9869d091ed5eb30453adbd9821080396549893b5
com.lyloou	component-tool-captcha-starter	1.0.26		e126854247b721f31e285611f576e0b732133d5b
com.lyloou	component-tool-captcha-starter	1.0.27		3cf96dbe09dffec1f7f626a464a25083e6da6c84
com.lyloou	component-tool-captcha-starter	1.0.28		d013913346ea25b439582bc506924f49f60b2b79
com.lyloou	component-tool-captcha-starter	1.0.33		a288520d45eb3bc7b438e0e82bd9adcb45807442
com.lyloou	component-tool-captcha-starter	1.0.40		78c02dd46ad1285069003c7fa2bf1cddaabf1b11
com.lyloou	component-tool-captcha-starter	1.0.57		e6f49273c04fb02a3b31fbd9f2ad24406cc33fcf
com.lyloou	component-tool-captcha-starter	1.0.73		43f3a7a6408f835ba63c1db9fed574988fabe6c8
com.lyloou	component-tool-captcha-starter	1.0.75		e890d8bb6108f79d093ec4c5458ff48dbbc061c2
com.moz.fiji.deps	riemann-java-client	0.1.0		1a150aaf659b7994c25100708c4b522235175b54
com.moz.fiji.deps	riemann-java-client	0.1.1		2e127fb5d273e9b09e07388b31ffa6edf0c7f1ec
com.qvantel	spray_2.11	3.7.2		7c6f45ef6da5f8deeda3169320d52fd058a74455
com.rickbusarow.modulecheck	modulecheck-model-dependency-impl	0.12.3		b8ab00334c533504a42b2fa3757c9650721d8143
com.rickbusarow.modulecheck	modulecheck-model-dependency-impl	0.12.4		829223ae3b469aa6c9883041e4d3421184a925d0
com.rickbusarow.modulecheck	modulecheck-model-dependency-impl	0.12.5		bbdde24f4e6ba67ba7e7b05cad5c56465e774f19
com.sobot.chat	onlinesdk_x	1.0.2		N/A
com.sobot.chat	onlinesdk_x	1.0.2.1		N/A
com.squareup.misk	wisp-token	0.22.0		0a4dca543623f387a4453d39b7cc2b47740135e6
com.squareup.misk	wisp-token	0.23.0		f326695979ebc503c1d49de883eebab35a6e79df
com.squareup.misk	wisp-token	0.23.0-20211108.2134-3a0d6d3		7e767446eae12355bab6e0dbde28a689f0d9184c
com.squareup.misk	wisp-token	0.24.0		18a5906059e7263080d9194956a9c25c9a0aacfe
com.squareup.misk	wisp-token	0.25.0-20220427.1904-7803f66		b91c51fca76928f3097159c705a875e07f3c1acb
