ca.mrvisser	sealerate_2.13	0.0.6		9fcf4dcce13f8899323e0179a4dd9c6003e480c6
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.23		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.23	metadata	016bdfdddf492e6074ac2996c42cc50f32c9c590
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.24		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.24	metadata	2d604783f2183c04ad3ea0334417e80fe48318c3
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.25		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.25	metadata	cad1f54909fe33014ace8c22b2a6702269fad31d
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.26		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.26	metadata	b5ff2202ab2037d6cb3e0511b5a395d6295e164c
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.27		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.27	metadata	63baf675fee58fc7790c1cf5de058bfd302d846f
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.28		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.28	metadata	d3209f930f8abefaf49efaae56629ed086d5e6da
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.29		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.29	metadata	9efe4b4f0850db39733165f2ee3f44e8d71506f9
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.3.0+2022-05-16T16-21-58-758705Z		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.3.0+2022-05-16T16-21-58-758705Z	metadata	86884787af60112e7830df26751d209710f8c480
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.30		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.30	metadata	98d1198fc74a827b7d0868c8cad1adcbc8401dd2
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.31		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.31	metadata	4b3e55d7ed9d0a55efe62d5b40a2451365e71140
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.32		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.32	metadata	bf2737e72b8b4190905d77e14e5af723a21d3afc
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.33		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.33	metadata	363a309ff06832ac6e57a8ed4db2d966d675d973
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.34		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.34	metadata	3c0cade1d05e8892c1295cb4e0fc83d0d87b7cda
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.35		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.35	metadata	9c1d02c66cb8012f555c2440a0e8c1fdae1db947
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.36		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.36	metadata	258dfa4bc47d031e00329109fe58e1d0c1abc8fb
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.37		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.37	metadata	eeddd9d2e9b7409bc027d6c5b3acc1a643070eaa
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.38		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.38	metadata	f3668894d8e078d0bec9d40baf25f3caba0ecf75
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.39		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.39	metadata	4adb3297844a244d058c717163f6736ee7a3c86b
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.4.0+2022-05-17T09-11-10-723810Z		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.4.0+2022-05-17T09-11-10-723810Z	metadata	e4a291876f4fdd789ca505115a3990132e3e38c3
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.40		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.40	metadata	b64249d8106fcfd35565998d97abd8372e9f8735
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.41		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.41	metadata	7e1bbb2ab9cb40d71a297c3bf7eaa613db44156d
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.42		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.42	metadata	007e6fb81c142efd2824d21a026aa5fce0236b7a
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.43		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.43	metadata	9cdf4fc636b64c0d0c65c5ffcacea972c0266246
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.44		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.44	metadata	24f30e65ddf3b67cf1393cf8483dc82ffc873497
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.45		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.45	metadata	f1eecfd83c9c2cb3d04dbdbb7f8d5326c257e57e
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.46		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.46	metadata	65213a5bca9a22d2cf7aa0627fb349183a5b753b
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.47		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.47	metadata	8681dd306095b0340d4581be58c687f4535e6179
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.48		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.48	metadata	9821cecf44ac91ed7f45896714463b51a553f5b4
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.49		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.49	metadata	69ccaccdfc23431a7da49bc80e2ac3af0867ff0f
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.5.0+2022-05-17T11-44-11-714740Z		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.5.0+2022-05-17T11-44-11-714740Z	metadata	33ec492eb3901239d7e00441fa00895107cc533b
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.50		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.50	metadata	8877d9cb8acdcbb84985260e09f22b13372c9ae0
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.51		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.51	metadata	de632ea7492ce5aa5d5f050c3f2062e1bfcd895c
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.52		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.52	metadata	6dd5c34864f646e8157d431f68c190591a3ef0de
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.6		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.6	metadata	1e01039d1609c2301b39b1409b5c028d5f4c13ed
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.7		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.7	metadata	2ba411aad00963742f7a0da63daeebe004beb65f
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.8		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.8	metadata	2587d0e8b00d0645b850ec0a94f88d12dd5f506b
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.9		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-alpha.9	metadata	b720cd82e877a716cabae9ce193ab7a0d601979a
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-rc.1		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.3-rc.1	metadata	3945d0c0b68943c9855abcb8e0fe346f1648b3ba
io.arrow-kt	arrow-continuations-tvosx64	1.1.4		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4	metadata	fe98cc64cbc584fe0ae058f6a9f053e020648930
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.1		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.1	metadata	dee2cf04f4aa0ecbcd1debee52490f38a117a57a
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.10		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.10	metadata	d2638b7591890467b2a95a7ddcb054b89a77feb0
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.11		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.11	metadata	bb18fb4b41d27aac655300e1b6ee1479aa45ac02
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.12		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.12	metadata	1e2ef213940ec93b10170a8793ad8ebd95945b71
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.13		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.13	metadata	c9e668ac036a0530d7aeae837da6bd46a9ecc8f1
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.14		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.14	metadata	5fd4cb9185e4eeb8fe12113fa3032b6832a997f4
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.15		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.15	metadata	063fe3ac6828bf4dc50f76eb97de37fdd436abf2
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.16		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.16	metadata	99f08cfeded886b7146c4ff4486fa22c7e5818c3
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.17		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.17	metadata	be4ffea084738456207d3036146d49c6c794c178
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.18		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.18	metadata	e4f6cd4569dfa11c036599cbf26ab2be1ea8ac1d
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.19		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.19	metadata	5b152ffe2ade7ee3927f5335964af3074770c1fe
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.2		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.2	metadata	d56a8cb0a7d42bfca5e5ca8d62356258044c47dc
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.20		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.20	metadata	1184eb1504c4749c37f52d394f7fa1fb7df0e040
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.3		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.3	metadata	b76d02baeb8393d3995a90b5921a750c57525aaf
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.4		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.4	metadata	740fa593b6330feecc0232f9f31283ea03c44a40
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.5		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.5	metadata	1ab6fad76283a567e2c00bafa75df6499b483742
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.6		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.6	metadata	154ad7515aea479eeeb4efe604d886945c88755b
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.7		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.7	metadata	3e988aa92cd0e47305d40c9c4d009acccb89ca1f
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.8		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.8	metadata	1a7285f4049908e9937c3fa79c7b23f38b76f378
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.9		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-alpha.9	metadata	b5cc85ea5e8bdf2b8d367ce5a6ff3fd4faa671b2
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-rc.2		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-rc.2	metadata	20f0485fbdcc4cb6ca3eed7ac4d2093144ea986a
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-rc.3		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.4-rc.3	metadata	10a8f4a75945663f7e4a835b93ed1790237bb681
io.arrow-kt	arrow-continuations-tvosx64	1.1.5		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5	metadata	005a04d5aaed96c6e0778676137ffb1cde8b2ae4
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.1		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.1	metadata	3eef75a933374da853586922d105fc5722be990a
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.2		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.2	metadata	92e8551ac9eaf1f17f8c2ba0dc90678e03019ea6
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.3		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.3	metadata	fe0f96f04c0aae571bb817d854b47f70bf38bf7e
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.4		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.4	metadata	5994cef8568edade8f4bd74f98d4d67c581f3791
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.5		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-alpha.5	metadata	f50b6f5988851b2b5b9c6d9f744de9ff918e2a7b
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-rc.1		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.5-rc.1	metadata	9e806bd930c1b400a45a7933c9e60808338bd7d8
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.1		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.1	metadata	aafa1d9e2ba2fed51c0b035e1f6e0ba22e7de841
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.11		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.11	metadata	540b30ea54ebb2f70ad6add1d8bda8420b8a4134
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.12		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.12	metadata	a1164f7aa1853eef7ff40176542b0a2e697f6944
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.13		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.13	metadata	5a182998c9d22cbc60790eaf411107f267642f1a
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.14		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.14	metadata	5002910473305111b182803ade7b65609039a2dc
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.15		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.15	metadata	68d054ca3b81ed8710b3ba95acb0b1e2ef94d699
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.16		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.16	metadata	119e6c33fa8b0e8ef35cc8f8062ef6787ed6861a
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.17		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.17	metadata	bca300f2af408f8010be4824b267e44d81272da1
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.18		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.18	metadata	0f6371f2a5c26e58e9a65433b971b88bf9feee45
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.19		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.19	metadata	28608786d0b06ba918bbe52b5607099bc1bd680c
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.2		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.2	metadata	db975f5f791ca73e9f2bbfc9affd71125f33bfb7
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.20		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.20	metadata	62381583881672240e69faf1a26c22edc006f26c
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.22		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.22	metadata	9750d5aa989a5fdc1830a1a58a64aa229a6ac1ed
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.23		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.23	metadata	2d76b83b9fdcc162208ca659bca51d1705503637
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.24		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.24	metadata	dbd04fb5e35aed336e16ca1a26c4f88be6e566fe
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.26		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.26	metadata	ae83e95dd9134bcc5c9d8857a04b982555dd9767
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.27		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.27	metadata	63ee3e4e98036961e828039d7c9b7605edac904b
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.28		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.28	metadata	2396cfffe431daca4c25777cfd6123b422e5aee5
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.3		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.3	metadata	e197b99f8767f73145c7a2373151178744adcc75
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.33		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.33	metadata	ba24f309a02b9d68ce4f4f5373e0625a0f0ee48d
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.34		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.34	metadata	e2c2a631a1789e1dadc9eca47b46de6c2c05aed1
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.35		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.35	metadata	7ca633ee48a6cec6721a82a81577dc79bf08e39a
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.36		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.36	metadata	7e463b66f4b6e72bf154deb1e261ac3dd65b43ac
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.37		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.37	metadata	a6ab3162df499b8959e65136af5f646f1ed3994d
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.38		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.38	metadata	3814309ce5e7ce049c00bd0c3878c87ebe98f62e
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.39		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.39	metadata	7cbae807e833ef57946dbe1f280ebef8949f4ad8
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.4		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.4	metadata	5295e3bb36b18bf6702c4920409573771bed3559
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.40		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.40	metadata	0bb85ac43644f2315f417d181122a27122e5dc99
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.41		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.41	metadata	79747ac07176b8d0256e1ee8ce85185eba86804b
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.42		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.42	metadata	025ceacfa7712344a2ac9ea06442700dc6775f3a
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.43		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.43	metadata	158ad1420a67bc5206c88e52b0e9095460ced7fd
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.44		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.44	metadata	2069ae2174f6cc0c8f360c44bb6a861684b73a00
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.45		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.45	metadata	5e3259d4aace36c702510a6c85eee8c74855c9f9
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.46		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.46	metadata	d56f5b0807617566ab2e6e857c28b681e9f0295c
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.47		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.47	metadata	c4cbe38ea29939b0e715ab36d65b5e15904f51d6
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.48		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.48	metadata	24e38bb73fbc2c9fa14213569fca231a560dc0b5
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.49		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.49	metadata	6b3cc1843c24ad33ea382b4c508cb0179b9d7984
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.5		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.5	metadata	8216a18e4225eb62732890e4c36639a57c44b978
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.50		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.50	metadata	c9a399ac548b7cb583a109099d745039d76f9a63
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.51		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.51	metadata	70ca3c49ec7fe21d7e4c43df93ec2995d33bac1e
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.52		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.52	metadata	2d8d321c5a29dd8c8871ec002ba07608990af751
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.53		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.53	metadata	0a76be8d047870dba0b3d27bb216466ddcddba00
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.54		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.54	metadata	34a3af4daa0f2797d1b814edc1186127d1c3151b
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.55		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.55	metadata	6fd22a97308c5dd1ca00c757d4e69da0eb15a22e
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.56		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.56	metadata	c0c4d5899add6d680b60fd62de59fc375051aac2
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.57		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.57	metadata	64ecaba3c6c0ec5c325648e8c59b20e773aa95d8
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.58		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.58	metadata	64506a8b167f880f362ffb8839fe5765342c49d2
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.59		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.59	metadata	96cfa1d98eaba54661df33db4f709b15d24399aa
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.6		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.6	metadata	732dbbf463e0903e027a79a5a46ce5541dbb07cb
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.60		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.60	metadata	6481c345a9ae20e3de4a050cce97b2e68837f023
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.61		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.61	metadata	bb849163859664c9cdecc69539fa94e1bc1e0dac
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.62		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.62	metadata	d75257ceb7b07f38809f8d72f4ca715b75dd2cd4
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.63		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.63	metadata	a5433a8be2fc062fea2fdb5e057f64871f3f6ec8
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.64		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.64	metadata	ac269d9e6a4367fe0581ad637cf75dd540e0d1f9
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.65		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.65	metadata	5fc40bf65827e1dced9c3714c6d8202863c99114
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.66		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.66	metadata	5a2241b5573798b2f0edcca2b5e70cb489ac968d
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.67		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.67	metadata	0bb5d06df6b8c45aa1c4a5c1677c091c953c5f22
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.68		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.68	metadata	136e947faacff3e311a13a2c58fc93127248838d
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.69		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.69	metadata	fb89c84bc58c600747fb76625b5fd491b44d8018
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.7		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.7	metadata	a08c902056f26fceea5974fe6689cfe6cef75322
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.70		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.70	metadata	ecec8ed5122bb800d2ed10013378ecac61a1375a
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.71		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.71	metadata	6691dcbf4893cb658ae253b8493d605152eac4c6
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.72		N/A
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.72	metadata	653c7f1c5327d8e3ffd1d0a53ed7166525d5ddb9
io.arrow-kt	arrow-continuations-tvosx64	1.1.6-alpha.73		N/A
