cc.zhaoac	faith-tool-secure	1.1.0		6249520b934c3f4872305366b9c1e2fe90ca44f0
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.100		f6f6e5b69c192e82887f1d93b7d3f26ac555e732
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.101		14293fbd30588c4dc47e8814f589a66eafd9cab1
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.102		83ce816452b14588a0dab908e316f0dd9dd75430
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.103		624aec4d0409a35b34021bfb890ca08f157a5030
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.105		e3e5fc0aa22bb96c89278e35bde27a77ec8281f7
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.106		605ac03100e84cedd4b68902595b19b7b6ba82ff
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.107		5956d3b037f8436b253f4f72d3c51edf8783366d
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.108		5a8fb548fa4fc740f35c71b9f8917f25c0336e13
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.109		e8caef1e057c977a65f8227124457cfeae6b5b90
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.110		cfed997a513af6bf025197f97fd415efb97d4e76
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.115		aaf47447514031fbf7fa7ed7242e213c62bdfcb8
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.116		86f9b5b9830f9d106b2d6bc145a2bc8658349ec8
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.117		952580e42838fc98ef42cb5b5e22c67b901b2991
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.118		14622b012a9666a218d17d787e471521b8cdab78
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.119		13657c970ec22a9359c30e5e3d808b8e1bf366d0
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.120		d5af6d94317accdbcd0b6ef0f9ae91295cc4af6b
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.121		40260b0d1e822a6a8307405cd174fd884b19af33
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.122		0f8082d67b6ebf72fb5108294bfda0fa2c4d2e79
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.123		c0dd58677c3fcbd94f2b81194a9d9b3ea71bc665
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.124		5a4e960c186a495fcf85381c8f81cfd77fdf6599
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.125		f6953668f79ff08116703e6ab99c2cfc77497def
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.24		f03e16b35367aab6ed395d4d965c81608bf6b556
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.25		9f6ea6029c64174d469e0ba050e8b2cb437265e3
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.26		bad7106ca8e2d2582b39e2087b09390ee423d82f
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.27		d0abc0f2f5a8c597fb974e48ce239b9016022df7
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.30		6e92a357aa78285284192392af3b1a56ac067021
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.31		93021a87dd68949559c1a0347100d05c1685f988
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.32		c4cccdd9fc5cad5f71d873716478111a99bccc67
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.33		91859024b6bddce4a720f957d7447b72bb25345e
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.34		b319e2c7be6a162ba1c4f1c9ee2d6493c6b9d5e9
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.35		b6d2eaef5f963d896fb58c1b2d80826fbcfc2442
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.36		7e1ebe52c8d6d9ee520dc423416a92fc9c39c603
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.37		ded8d2480f6585e0add31fccb868d238f8338d57
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.38		b539b73debdde3af716e9b9b7bea6202039666ac
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.39		3b0c1f34684473ca70a9ef0e4c4aa8faf1a00b07
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.42		a63b7135b16f1742956ebf2eabcf0bf623a17f24
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.44		ff677ea43ff1f5b0145482aee11af4d6ba8749f9
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.45		3f6a1dd1fd7c084f1449fa052a55d36f4128f385
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.49		fe18e43f1c1b21e248894a7148333ebdaadea1a2
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.50		b3374f1229091903576eccf2219cba0471da57da
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.51		5ceb588d294e51dc4439cba7aab1f853735e1d03
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.52		57556a089cd97c93feca5a616f68e3f9f6bdcbf7
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.54		3e5b47757a7e2e775c95d652f2beb000b37bb762
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.55		c8e55c0d51e4a993ed792dde8d57dc745bfda95a
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.56		932c365bf4c3c5e5cb562180a982a11598d05ac3
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.57		8a90a5e52781700ee4ca58d04faac64d7b199c38
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.58		8e0114f81f6a96e82b85d4f76fd79a8a50204ad2
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.59		6b66a4266c0fc3910bf8fe0b09cfc320e2205118
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.60		8756c4ca1f9e307a59710e14b9fdb93e0e6639a9
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.61		bd3542229bd7bffd7216320b46fd92711071d584
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.62		558d2a0868881f0f35729772834bc85ecb9e9b87
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.63		6b823aa10dcf871f8efcd13389756280d6c9264a
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.64		493e36db0e3b488d554a20327bb41bf0fab7c72b
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.65		fcd4d1cddcb24021e3c7aef66322f66ec5a846d3
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.66		5b72ab47a2eb15c0932ef74280b9333fa9d4cee8
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.67		3e513f27be37de8500a08892750f156ee8ae76d0
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.68		47a425f109a3b5d6e318b8329504323678d68afe
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.69		ebb9fe84b26c93d8d8a08ac6de677469ab61745e
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.70		f31900113ef2f12e2fc6665885072823cae637bc
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.71		36ed3a479a248da3e759637096a8551f54b927de
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.72		0ba889ec34ae445e89eeb0b0f4931b00613f4f73
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.73		6fe2bbedf38c8c3ed0ed4e03fbec916331490d6b
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.75		29ce6c5f1370a7e7c58fb86259f980cf40ea0c92
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.76		da830e2533c2ef0f4cf7a599860164b4a2fb11d9
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.77		62fdacb0ac4597cb52d632ced89eadcacbd59892
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.78		ce11cfd62b93553d347d13fb45cee864b12db43c
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.79		ca6b04902d79b1e2a3581a37444a532ebd94b38d
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.80		a3ada61dc029e78e6531e8a66102b13d37dfce62
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.81		dc4b18f1209fdf1456a5a24eef793accb79d8856
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.82		a460971cc368cf3783abd67feab93277e8b7468d
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.83		ff627b1b8a1d794215917245bd5ba521792da153
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.84		9225e468002ca4aeaf3953b717ed2fb3586efbfc
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.85		96654f03e476474d354defc7e1cedd1ba952785e
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.87		be3e439d16e2342189759041ae8108a55203f8dd
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.88		1896817356291bce1fb63dbf40f846931fdebd8f
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.89		a57cfb438447c3f23c884ab407d6ae71208408b2
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.90		f58705dcd34361a9bad3a3502e92d5763900c8e8
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.91		d027a041fd8181ce716a18f2dfe99cc90fb3fac0
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.92		d6cc3bac8b93b1928d65b9afe6fbdb58c6645348
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.93		dda2fc70f3ab45ddc9e49820939fc02bb470cef6
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.94		8654b9363bdea797d3f0a7796b2025118ffadd36
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.95		3407d0ec932c833bd6a11065a100e6df75402055
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.96		9fd2397372e376bef801a7216977ed16bdaa4b13
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.97		d695392d000c6a21f61127bfee6b11ac397d9933
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.98		4599146872628a5f3a7299f2c09419ea98765a16
com.github.rhyskeepence	clairvoyance-scalatest_2.10	1.0.99		c6fbd44b424ac103596d50164b865a381a748b51
com.github.rworsnop	vertx-concurrent	1.0.0		15d955f25818a2083bb79831ce82e203abfc7542
com.github.skydoves	whatif-iossimulatorarm64	1.2.0		N/A
com.github.skydoves	whatif-iossimulatorarm64	1.2.0	metadata	20f32eae46e407817c1a5410636b39c1b5d0f769
com.github.skydoves	whatif-iossimulatorarm64	1.2.1		N/A
com.github.skydoves	whatif-iossimulatorarm64	1.2.1	metadata	a2db6f744eabaff87e80e9c738884bc211c4ba61
com.github.zhengframework	zheng-cache-hazelcast	1.0.2		774e156a4a9687d806e267fc40b5396491c0f187
com.github.zhengframework	zheng-cache-hazelcast	1.1.0		8ab2283a207a995b78cf9d760faa865aadf45849
com.github.zhengframework	zheng-cache-hazelcast	1.2.0		efe1873cd58f516dce232cae0a3c12119101a84d
com.github.zhengframework	zheng-cache-hazelcast	1.3.0		64b3c7bc086a9cbea15a6f62ac94b53ff142795d
com.github.zhengframework	zheng-cache-hazelcast	1.4.0		95e90113275108c37969c09e0a53b33b259d5361
com.github.zhengframework	zheng-cache-hazelcast	1.5.0		ab0fad493401050fc0609389b0d24b0ecff10d5e
com.github.zhengframework	zheng-cache-hazelcast	1.6.0		df64a01c5e5cc70fd2aabd0ff571b006304fabf0
com.github.zhengframework	zheng-cache-hazelcast	1.7.0		9b0eeec31ac3c5f1d2f5023991dc5a30c74a0e2f
com.github.zhengframework	zheng-cache-hazelcast	1.7.1		N/A
com.github.zhengframework	zheng-cache-hazelcast	1.8.0		N/A
com.jxrisesun	rs-framework-spring-security	0.0.1		b136f2546930eae764e9977769b9bccb57493943
com.jxrisesun	rs-framework-spring-security	0.0.2		a1205ce046b69def8e188dda3353bb5d238489a2
com.jxrisesun	rs-framework-spring-security	0.0.3		26d1152d4a865cd61bd0c316ad61ca32a41c40d5
com.jxrisesun	rs-framework-spring-security	0.0.4		e484ffb1a10f87c570b24807179c6a1a2f9d3846
com.ritense.valtimo	value-resolver	10.0.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.0.0.RELEASE	plain	369b39682c88970822dd66fcce182f5be8de32dd
com.ritense.valtimo	value-resolver	10.1.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.1.0.RELEASE	plain	a03c57bfd03674d7819eff31918c1285d8a98385
com.ritense.valtimo	value-resolver	10.2.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.2.0.RELEASE	plain	fc9d430601cf18e40ac56a5c6989bd00eba821f3
com.ritense.valtimo	value-resolver	10.3.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.3.0.RELEASE	plain	2587d0390e6439c389c1193d38f88152b95a1097
com.ritense.valtimo	value-resolver	10.4.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.4.0.RELEASE	plain	65b0531e92124f09ca9a8be77f0aacaa7226c47c
com.ritense.valtimo	value-resolver	10.4.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.4.1.RELEASE	plain	d65e519a6e201b9572d2916d206552d0ddaa6a02
com.ritense.valtimo	value-resolver	10.5.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.5.0.RELEASE	plain	030ed210a9e1afcb6e4b13dc25619c305a666eb6
com.ritense.valtimo	value-resolver	10.5.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.5.1.RELEASE	plain	4d410fc963aac27a2aa85c579850baa15ddac43b
com.ritense.valtimo	value-resolver	10.5.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.5.2.RELEASE	plain	117c408684a4c440da9aa9b94ab7e3456705369d
com.ritense.valtimo	value-resolver	10.5.3.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.5.3.RELEASE	plain	3db4c5274fc91d2c4ede21f021d8dffcb6a91600
com.ritense.valtimo	value-resolver	10.6.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.6.0.RELEASE	plain	4c1133c5d88bafd58b116919762a7480a306730d
com.ritense.valtimo	value-resolver	10.7.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.7.0.RELEASE	plain	3c0ee0ea35234baff1c0a73d3ff7ee30e4b19303
com.ritense.valtimo	value-resolver	10.8.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.8.0.RELEASE	plain	0377b5b1f124b9802427332ba8a80d0ef1bb809b
com.ritense.valtimo	value-resolver	10.8.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.8.2.RELEASE	plain	8d8df862555ef7b7bf5fc54325b7f309ec88da00
com.ritense.valtimo	value-resolver	10.8.3.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.8.3.RELEASE	plain	a1c1266354ddb307cd37de37826022bc77a2af4e
com.ritense.valtimo	value-resolver	10.8.4.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.8.4.RELEASE	plain	2a17e4baeaaa42be1580fc381ba6c8f89d37a992
com.ritense.valtimo	value-resolver	10.8.5.RELEASE		N/A
com.ritense.valtimo	value-resolver	10.8.5.RELEASE	plain	8e1be6c0e6b8ff230b0985cebd9b5216464b1df4
com.ritense.valtimo	value-resolver	11.0.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.0.0.RELEASE	plain	1b153775a3ad2cb0346a7b161bbab05fab719487
com.ritense.valtimo	value-resolver	11.1.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.1.0.RELEASE	plain	042beb62998f9780231c5e8c0c91b65848d2aff1
com.ritense.valtimo	value-resolver	11.1.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.1.1.RELEASE	plain	2a9ea8c183d5eee84dbc681c2383724177c24e9f
com.ritense.valtimo	value-resolver	11.1.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.1.2.RELEASE	plain	cd8145dcd7f4f7e2fbdc81c3b896376c88e47350
com.ritense.valtimo	value-resolver	11.1.4.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.1.4.RELEASE	plain	4cc56d7dc137f7cd893f4ea3311ab65542fa5b5c
com.ritense.valtimo	value-resolver	11.1.5.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.1.5.RELEASE	plain	29c8cfba6648fef3a065d4c38dd42edd4db743ec
com.ritense.valtimo	value-resolver	11.1.6.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.1.6.RELEASE	plain	da2aed9ea676f3459260d6a268778b3e6e74b19d
com.ritense.valtimo	value-resolver	11.2.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.2.0.RELEASE	plain	2317c6252970bd335e4900ed5fe45c9b4e48ec47
com.ritense.valtimo	value-resolver	11.2.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.2.1.RELEASE	plain	0cb25f6e3d1f0d694a5714fae5064c2286562e21
com.ritense.valtimo	value-resolver	11.2.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.2.2.RELEASE	plain	01b6171577f4159a80b0ba42c61c10722d237cab
com.ritense.valtimo	value-resolver	11.3.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.3.0.RELEASE	plain	a5ae385a4627d3903863e05f3653f399c379e8e1
com.ritense.valtimo	value-resolver	11.3.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.3.1.RELEASE	plain	11b84d1f1afe8aa2c08d9a58c7a8385c5fd624b4
com.ritense.valtimo	value-resolver	11.3.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.3.2.RELEASE	plain	535c4cb0262d1bafc57eec7629cb3e3bff778da9
com.ritense.valtimo	value-resolver	11.3.3.RELEASE		N/A
com.ritense.valtimo	value-resolver	11.3.3.RELEASE	plain	929d46e858da6d0a5dfab6034743b01cbf644c02
com.ritense.valtimo	value-resolver	12.0.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.0.0.RELEASE	plain	deb0847adbcff9a991bb7df1b655f67da816a198
com.ritense.valtimo	value-resolver	12.0.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.0.1.RELEASE	plain	7dc8ba02e1791b37ac3768e9a7dfb3b8d213e039
com.ritense.valtimo	value-resolver	12.1.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.1.0.RELEASE	plain	d028327a93d0c1fbc9cf569e36f96bbe560f3e98
com.ritense.valtimo	value-resolver	12.1.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.1.1.RELEASE	plain	8795c95de1cc8b20efbd1820aa3a66e29a79da7b
com.ritense.valtimo	value-resolver	12.1.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.1.2.RELEASE	plain	fc0db968b342f77c71c413ee37b9cb2ccea48c80
com.ritense.valtimo	value-resolver	12.1.3.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.1.3.RELEASE	plain	161ca08ac3d22492021b027e5381ffbdfc1185d6
com.ritense.valtimo	value-resolver	12.10.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.10.0.RELEASE	plain	f083856784a3b56149144814d8d9de392fe6f9c5
com.ritense.valtimo	value-resolver	12.10.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.10.1.RELEASE	plain	3885ca00a3f1b99b2768e5081a43274032df24ac
com.ritense.valtimo	value-resolver	12.10.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.10.2.RELEASE	plain	6878981416109d334428c65d11ae61fe0ac538b1
com.ritense.valtimo	value-resolver	12.11.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.11.0.RELEASE	plain	efdb1934dfd30f34314aae89d8d217d8bd6366c0
com.ritense.valtimo	value-resolver	12.12.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.12.0.RELEASE	plain	8d687a11f0531e929b6ffc7ddcfd14a963c41095
com.ritense.valtimo	value-resolver	12.2.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.2.0.RELEASE	plain	243e3ee3e64edcf71cd65abcbac725814da66196
com.ritense.valtimo	value-resolver	12.2.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.2.1.RELEASE	plain	bc2c24b52dcaded468832516c51dd57e9660d494
com.ritense.valtimo	value-resolver	12.3.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.3.0.RELEASE	plain	27fc7ca6f04fd63e7c2a1e5905b92167a35ec80d
com.ritense.valtimo	value-resolver	12.3.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.3.1.RELEASE	plain	17b39fb152c5ac82ed1a8c4b1d4e4289474094cb
com.ritense.valtimo	value-resolver	12.4.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.4.0.RELEASE	plain	c41cca74a9ef2e9f0d5b5b18d2dfabef31d4f35b
com.ritense.valtimo	value-resolver	12.4.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.4.1.RELEASE	plain	fb59f5f141a87540d39d560a9c7d7822aeb1dabb
com.ritense.valtimo	value-resolver	12.5.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.5.0.RELEASE	plain	1ab77259cfd978a0a280a7b0a36d05879998bdba
com.ritense.valtimo	value-resolver	12.5.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.5.1.RELEASE	plain	7c67287f662d85e30938d4dbdd071a720d95ca04
com.ritense.valtimo	value-resolver	12.6.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.6.0.RELEASE	plain	e565e588b05572a10bf0bf44293c1670d155c10c
com.ritense.valtimo	value-resolver	12.6.1.1.RC		N/A
com.ritense.valtimo	value-resolver	12.6.1.1.RC	plain	9d2fd2e048faa65561d24449289d9e14c9a12e9a
com.ritense.valtimo	value-resolver	12.6.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.6.1.RELEASE	plain	af93aa996742551cba3d94615f1041a72dfa913a
com.ritense.valtimo	value-resolver	12.7.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.7.0.RELEASE	plain	22cd148be9ad503e0a1046149d0a676436696430
com.ritense.valtimo	value-resolver	12.7.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.7.1.RELEASE	plain	a35a8607a6f0d0c81e13cb26ab5caeb2bbc78612
com.ritense.valtimo	value-resolver	12.7.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.7.2.RELEASE	plain	e37f25a1710f7019569474aea6852ded4d40094a
com.ritense.valtimo	value-resolver	12.7.3.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.7.3.RELEASE	plain	558f998cf39fa1f8acd051415b6e514eedd98555
com.ritense.valtimo	value-resolver	12.8.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.8.0.RELEASE	plain	42aeaf2918e94459cedf1425ded21556a2b6bff1
com.ritense.valtimo	value-resolver	12.9.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	12.9.0.RELEASE	plain	11c834d835588be3a99b8dd7ecadcda94970cb5d
com.ritense.valtimo	value-resolver	9.17.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.17.0.RELEASE	plain	f53642f1fb5a3ffc1eff6c642e9d9ba2bc017425
com.ritense.valtimo	value-resolver	9.18.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.18.0.RELEASE	plain	2674c6b53bb0109ad81315e33e86cff44a54979c
com.ritense.valtimo	value-resolver	9.19.0		N/A
com.ritense.valtimo	value-resolver	9.19.0	plain	11aa08ed8509d90e5e1397571321da7426c7871d
com.ritense.valtimo	value-resolver	9.20.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.20.0.RELEASE	plain	752c54075bb2926adf6de1d2480e7b6f9f0fd073
com.ritense.valtimo	value-resolver	9.21.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.21.0.RELEASE	plain	f35c2e47b233e8cacef7ee9a89ea12862161b2ac
com.ritense.valtimo	value-resolver	9.22.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.22.0.RELEASE	plain	0c5fa1a775ec1faea02263d6ce5f695333c1dd30
com.ritense.valtimo	value-resolver	9.23.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.23.0.RELEASE	plain	3afa800363f8af6712ef1ae58857c0de94f0ce09
com.ritense.valtimo	value-resolver	9.24.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.24.0.RELEASE	plain	033ac47aad7730211c498d8d4f7b335f09f069f7
com.ritense.valtimo	value-resolver	9.25.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.25.0.RELEASE	plain	3cdde3fb9e8f31f4a6923c336526a0f52b88907d
com.ritense.valtimo	value-resolver	9.26.0.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.26.0.RELEASE	plain	84087bc8f3338ae35ede8953fd436fd106c86cd2
com.ritense.valtimo	value-resolver	9.26.1.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.26.1.RELEASE	plain	4aea2a3ffb97c16ceed15ef4bd9ac966fd9d97a5
com.ritense.valtimo	value-resolver	9.26.2.RELEASE		N/A
com.ritense.valtimo	value-resolver	9.26.2.RELEASE	plain	6b90129136c5af901aacce046ede1813e7d96898
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	1.0.0		15d35d51a4e13165ff8acff41b094b4403aaeb6c
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	1.1.0		9d77786f1db0c0e3a2343499f999084ca59ec9cb
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	1.1.1		1f8d335caeafe885026090c2725ba30d207c6d50
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	1.1.2		2ec260d7a9c391a67f53a21475bf1d4c862f49bd
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	1.1.3		a098982da370dbfa120e531e6e063bc2648b062a
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	2.0.0		6b842c6e9111ba29b17a320c0743b6aef6a58b8a
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	3.0.0		cd595fdf1e4b9f75a14ce19b5d7618618abdb7b4
com.solace.quarkus	quarkus-solace-messaging-connector-deployment	3.1.0		97bef518a132fd98da2646a70b5bf78c65f745ed
com.soywiz	korlibs-ffi-legacy-tvosarm64	6.0.0		N/A
com.soywiz	korlibs-ffi-legacy-tvosarm64	6.0.0	metadata	880e5743bf80651379e15306977dbb0dceb41ceb
com.soywiz	korlibs-ffi-legacy-tvosarm64	6.1.0		N/A
com.soywiz	korlibs-ffi-legacy-tvosarm64	6.1.0	metadata	35d0eac0cceff612fb1a5ed9c72cec02b3177637
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-alpha.10		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-alpha.5		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-alpha.6		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-alpha.8		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-alpha.9		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-beta.0		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-beta.1		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-beta.2		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-beta.3		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-beta.4		N/A
com.toasttab.protokt	protokt-extensions-api-js	1.0.0-beta.5		N/A
com.woaizhuangbi	file-utils	0.0.1-RELEASE		b988499ddc75937eb8116f8e8d3f9d4f12e46bd8
