am.ik.eureka	simple-eureka-client	0.1.0		ff36495e0c1ab7aa5884c3fc9e7dfb5e5c8d046d
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.18.3		6894325777b2c004f6a40963476c82af3fbfdb56
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0		80b6e28879d9aa7cbc52e9310413a1b48a69b18e
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M1		6bd4c6b6ea7fcc513755c7a8bb83d535725c3bff
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M10		4e9edf00d0111ece2e3b5b32a0f48ea4190a4510
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M11		ef4bd7a8a474fe6f3be90ab74cf20e41fe82ddfa
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M12		46622890ef04a24f0f0d7da2bed0b9da519da6aa
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M13		f6cb06c36a89d0f5b8d055a366fd18e7bf192caf
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M14		b35ff1b765e758cc2ac495db41bf987638daecff
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M15		a474222b86263ed26a21ffffb0f7d17e8b43d263
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M16		b46a8222777461a1cb529683222d9798139d837c
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M2		e100055d8dbaf3d5ca7843475af8ebad57485d6a
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M3		d256f54eff7e39397449b6764b560cadcaa548db
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M4		c3c4faf51d5a16ee584c6f5768657b74165f4777
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M5		6a801e34e695d5424b56f348783836b91a7c4bbd
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M7		a5dd513b8e9fe093a69070ba19b739083428dc33
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M8		d1cdc21dd43fcae2d7f4d31864459e065e30a242
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.0-M9		c09e618b00d73ea14d2dd8174fc2804c2a034e3d
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.1		361300592ff70fdf14a28c4ebd2eccae941184ab
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.3		eb92451643da9ff24ebb85da5a67269d572d6114
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.19.4		f06c790848da6ea2f2ae31060bbf40510e56e0ed
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0		1e7b0d5d3c08798c9a8ae38be8603c68c20339ae
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M10		bb2b188a5cd3e0794342fd0f50aced63fd046526
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M2		d92a0c07ac18077a9701ed3b2013e215b901ad71
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M3		48d1f77954641e27168bb961606bb805c37d8240
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M4		921f6201212501751a21b21b44dd9f213064adb3
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M5		20426f286a6e100873efa7f4624a0f020f1e028d
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M6		51eb0482cdf66f476d8ca1beafda47d0d029f882
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M7		91a4bc4820ac35ca64a380661cf4d23b8e14174f
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M8		2a1abfcfb89b3e5eda0ee0aa4d0491f976aba7c5
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.0-M9		084d81a312136f768040c7f467a9be33f9fc0d62
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.1		1fe054478a31b28b761ffdf6d16d8b3c8f869fc2
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	0.20.2		edc96942d72c9882535ecd2c060244304538b261
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M1		5bad3f02ffa21eb4b047eab74faf574aac9d2f46
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M2		1644a3b945766a1707a3c981c266376c22e0b3c3
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M3		c346676d2c5f0973308d4ca8ee7a4b20215fd3a1
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M4		ab0266cdfe550fb0778c15c0d704b903dc33607e
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M5		c671bd2caaa952a2dc6ec991592b20f9ab99d334
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M6		7237b8366ec43be85eddc458d40b06efa7351df7
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M7		d5ec3c03044426fd4a1eec32c0bb711f88ad77a4
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M8		656a9b51bfaa91c29c84fcc362af7b2fd89d567c
com.softwaremill.sttp.tapir	tapir-asyncapi-model_2.13	1.0.0-M9		4a3a8e304043ae8b3c2890d5512e5a511b45a31b
com.sudoplatform	sudoentitlementsadmin	1.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	10.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	10.1.0		N/A
com.sudoplatform	sudoentitlementsadmin	2.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	2.0.1		N/A
com.sudoplatform	sudoentitlementsadmin	2.0.2		N/A
com.sudoplatform	sudoentitlementsadmin	2.1.0		N/A
com.sudoplatform	sudoentitlementsadmin	2.2.0		N/A
com.sudoplatform	sudoentitlementsadmin	3.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	3.0.1		N/A
com.sudoplatform	sudoentitlementsadmin	4.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	5.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	5.1.0		N/A
com.sudoplatform	sudoentitlementsadmin	6.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	7.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	8.0.0		N/A
com.sudoplatform	sudoentitlementsadmin	9.0.0		N/A
com.tapad.sbt	marathon-templating-lib_2.11	0.1.0		c9f937898002458b0a609916d8675f21d63d603a
com.tapad.sbt	marathon-templating-lib_2.11	0.1.0rc5		06e285d2659bb5b56debe932352c3a92e39774a3
com.tapad.sbt	marathon-templating-lib_2.11	0.1.0rc6		a7ed94bba5d91c8fb6b978ec4c315c5db7dd1a72
com.tapad.sbt	marathon-templating-lib_2.11	0.1.1		df51bc5f5e78953ffec073a20a11550a31061774
com.tapad.sbt	marathon-templating-lib_2.11	0.1.2		2de983fd93cb1d651b95937974336a8837419f4d
com.tapad.sbt	marathon-templating-lib_2.11	0.1.2rc0		1ce30b0ec654f7996fa7d949838d08dd7e759a39
com.tapad.sbt	marathon-templating-lib_2.11	0.1.2rc1		687ff8e4e3c7e9efe735610f980e74d9835b50e6
com.tapad.sbt	marathon-templating-lib_2.11	0.1.2rc2		d508f2da7bca4b873faf23d8f76b94c4d00574e3
com.tapad.sbt	marathon-templating-lib_2.11	0.1.2rc3		2f79e68c0a41c695cd58625a12549fce7d5fa9d2
com.tapad.sbt	marathon-templating-lib_2.11	0.1.3		a2d30665f442b2298d332f59e4f509caac768d65
com.tapad.sbt	marathon-templating-lib_2.11	0.1.3rc0		3f86f27bd418eb29d0de39a6ce787425559f503d
com.tapad.sbt	marathon-templating-lib_2.11	0.2.0		837dccea4630d9a4148d65dd89c03de56fe476d3
com.tapad.sbt	marathon-templating-lib_2.11	0.2.1		1f4335f673892bc0437214ff34a74052fd22e248
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0		8ea7e916f5282bdb256eadbeef3ba348f6dbd824
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-M5		68722ad5adb8041d01609c649fab2c7c5e2f2007
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC0		4393ec06427754534587989003a8ea540c02c754
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC1		610c81d48cc9cf6eacb647a1ab03e566fe251ea0
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC2		3adf12edae6d3bd3779ee8a7e79af5425fda428f
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC3		715243208d4b63d0fa4676614fc8470e2bf41c25
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC4		798d6a33e9f6ae299aef5f973c4582259c40a169
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC5		efba603cfb6b8a66398f2f8d0ef09a3a14c0d0e7
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC6		ef9211774d9c14fb372e802e0eb8e7d59b519f08
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.0-RC7		28b6c59258bf07d91b8f64d40ddbc5360a66592d
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.1		39246cb6b456d6028f05e1ca2a00b65249847816
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.2		3cf5fc1b97f541e0bfada3b9aab44e7bd4df066e
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.0.3		9538c4945d2b59f33a8b2945e0c2ff0957e9756b
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.2.0-M0		d8e3f6aa7f435fdc352eb513d5bb69927a72e3a9
com.thoughtworks.deeplearning	plugins-floatweights_2.11	2.2.0-M1		41ad65bf93b4065297fab352d8046de1eb9b3779
com.tourgeek.tour	com.tourgeek.tour.request.misc	0.8.2		3eeaecdf8101fa7b7a9c8a9f3b54a7f5a2ceda02
com.tourgeek.tour	com.tourgeek.tour.request.misc	0.8.3		d5da4727599fbeac571460a347e26eb6eb91986d
com.tourgeek.tour	com.tourgeek.tour.request.misc	0.8.4		3862ed26c4559f00f0f6e955301c14f80455d737
com.tourgeek.tour	com.tourgeek.tour.request.misc	0.8.5		9faa8fbed6f08754df2e3e18362bae8bc16a3600
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.10		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.10	metadata	55a18259dd8d2d7e197feadfe1264e45e05fc8df
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.11		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.11	metadata	c353f69db2b567f16c61adcf917bd46b4d2dd5fb
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.12		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.12	metadata	d88a6b651bb8651426e3af5ceead607025c5f518
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.13		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.13	metadata	cdac8e92229f6af76a338e3a5fa132d91db33c58
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.14		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.14	metadata	09f247038fb9cb6a4874c18a6e1578055b44dc45
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.2		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.2	metadata	04e06c3a5109a42dfc2fed2f176c533485bed767
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.20		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.20	metadata	fed0aab19d355bb11e35ace0d69d8c06ce556135
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.21		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.21	metadata	a5eea43c62f84bfbeb664b878a09101a4e1a283d
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.22	metadata	5bde492b2677afc3771dc382878bfce4391ab704
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.23	metadata	7ddd53b638a3ef028d6ca7ee4cd32d17bd572c6c
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.24	metadata	03275a12fdf03a689b47d2cfb377fc9dcd1d4274
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.25	metadata	1e0c123a0bffe784f8f73be2d42e5bc572bc603b
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.3		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.3	metadata	02411830a078941d0ee89a3cab81d3a103727932
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.4		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.4	metadata	649e0711d58c4742ca66461ea189e65ad5439072
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.5		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.5	metadata	ac0adbef27fc0880542bdfb4ff7009e2e220b13c
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.6		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.6	metadata	d74538deb9e8c1177411e1abc9b7fdf25786ff98
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.7		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.7	metadata	a3c4cbeba26c2b006fba8b585d0ee3a5bff49cee
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.8		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.8	metadata	0a63f8d14b17712d030a347a4acefe7a764684b5
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.9		N/A
com.tunjid.treenav	treenav-iossimulatorarm64	0.0.9	metadata	3959c6f19601dbf135e70923db2e583a10ea30ff
com.typesafe.conductr	play26-conductr-lib-common_2.12	2.0.0		e263c6306724bffba733576a3e75c064ab69e403
com.typesafe.conductr	play26-conductr-lib-common_2.12	2.0.1		0478aab47a544f371d3e183431746e0ec201d82a
com.typesafe.conductr	play26-conductr-lib-common_2.12	2.0.2		3083a2728627fb52633bb49c23e937e561a50e4a
com.typesafe.conductr	play26-conductr-lib-common_2.12	2.1.0		9945f6f3b27e07a51bd35612624f53b0da56fd2b
com.typesafe.conductr	play26-conductr-lib-common_2.12	2.1.1		5fdee23e8e0777f47ba0b50502120856470f8454
com.typesafe.conductr	play26-conductr-lib-common_2.12	2.2.0		5e8fea3efe11b7a9779894ea31ec36ca81bff68d
com.webforj	webforj-foundation	24.00		7c02c2117bcd2cec87e4d72d12406aed5e0956cf
com.webforj	webforj-foundation	24.01		97a203799caebf28608a4fb71c4493943425dbf0
com.webforj	webforj-foundation	24.02		8740ccf87e305a01a83b0e60b29be535d9b5e480
com.webforj	webforj-foundation	24.10		0fa87cecd128609e88476b112aa96f2c6e904b8c
com.webforj	webforj-foundation	24.11		abf69317d29ac327163b083757eae8c1e3cdece0
com.webforj	webforj-foundation	24.12		64e69c58e8442f66d3b002a5ed3e6b9eeb27a9ed
com.webforj	webforj-foundation	24.20		a5fdffef4ee96cb276bd70d2659d19613904638e
com.webforj	webforj-foundation	24.21		b211ceba6f288cbae3a6695b54993282df9a57de
com.webforj	webforj-foundation	24.22		959edd559f809886a6bd0581f6ff121a4d479625
com.webforj	webforj-foundation	25.00		1f93a96d7ede5b9b15481fc99005725936c30213
com.zaubersoftware.commons.web	commons-web-uri	3.49		f97ee0fe6c33cef4bff2bf0323fc2ec659734daf
com.zaubersoftware.commons.web	commons-web-uri	3.50		b78c913ed6a2463e34ab57ad7380099601960c13
com.zaubersoftware.commons.web	commons-web-uri	3.51		32bd10086ea8e65efbc064b2c0ea64cad72d5887
com.zaubersoftware.commons.web	commons-web-uri	3.52		28bb150767084a211c5bd579b454a1b7799812df
com.zaubersoftware.commons.web	commons-web-uri	3.53		d7d96ec48771b6843a41f6ebdf86f91f34399761
com.zaubersoftware.commons.web	commons-web-uri	3.54		fbf5d0446d628b2f31fea5399af49c68bf719bd0
com.zaubersoftware.commons.web	commons-web-uri	3.55		56b3f741dd63ceeec56e186df02fec5153e47187
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.10.0		N/A
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.10.0	metadata	616defaf06aa1c8e00ce7f290bae340f39507f1a
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.8.0		N/A
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.8.0	metadata	6a68bcf0eae673df842e37d590026d1bb29372a5
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.8.1		N/A
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.8.1	metadata	89f65e507e96b412dd70db922439de1f8245a445
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.9.0		N/A
de.comahe.i18n4k	i18n4k-cldr-plural-rules-watchosarm64	0.9.0	metadata	82d191507ba7a16d5bb278e4b326a304d423266a
de.cubeisland.engine	configuration	0.0.2		af569a932f1cfe36de81426ebeb06178e75522ba
de.cubeisland.engine	configuration	0.0.3		9e6b8165ace6c2381fdb047f00f0476c01b8a0d4
de.cubeisland.engine	configuration	0.1.0		6184fd9d33729bd4bbff9f11da85c7ea2a3a11cb
de.cubeisland.engine	configuration	1.0.0		c42f756ad042c50ca7b19b5e7c113c9e6f665549
de.cubeisland.engine	configuration	1.0.1		0df5a0cbb84e4c4de11bc73840678c309b7a091b
de.cubeisland.engine	configuration	1.0.2		fb7227dad00ba16b73e2bd5a7cd0274804bfae73
de.cubeisland.engine	configuration	1.0.3		bea154f5e0024a78d45c0eed437da46a75f7aaee
dev.tclement.fonticons	font-symbols-rounded-android	1.2.3		N/A
dev.tclement.fonticons	font-symbols-rounded-android	1.3.0		N/A
dev.tclement.fonticons	font-symbols-rounded-android	1.4.0		N/A
dev.tclement.fonticons	font-symbols-rounded-android	1.4.1		N/A
dev.vulnlog	dsl	0.4.0		76a920493c039e331e6b6d06bb96986000d549df
dev.vulnlog	dsl	0.5.0		f0d274f5b76652671fe5950a28e9bdb33c3e98fd
dev.vulnlog	dsl	0.5.1		8e42d83e641088cb13ec3952c32f535c720ef914
dev.vulnlog	dsl	0.5.3		4ebc1a3693324d3a473ddc481472f1b96c75862d
dev.vulnlog	dsl	0.6.0		1c6fdf8444a6428e528988668f00e2eb386ea55e
dev.vulnlog	dsl	0.7.0		8339b2e3f19de1ff4907d16e5fa463e88a75d7d8
dev.vulnlog	dsl	0.7.1		1defcaaa5f6280a38f0003dfc1a71f84c986aa2b
io.appform.idman	idman-auth-client-http	1.0		e8a2283afeed2f16e4e731ec5f9c874c4671481f
io.appform.idman	idman-auth-client-http	1.0.1		fdb83a822c6730fa18ff6f6a081e5243e0e7ed3c
io.bigconnect	dw-sentiment	4.2.1		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.2		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.2	metadata	b99f1b8946ddff2b3b6bb679e5b187caab13b1b7
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.3		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.3	metadata	6e83e081f60a1a4fc75ffef49908fae54e8405db
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.4		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.4	metadata	12352ffa0a84f6b2dd42ae2585f624a03e460255
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.5		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.5	metadata	08a82f0dde7aae045775b347e3145ba70457178e
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.6		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.6	metadata	39269992a0d491df7251e20c0a85b9bd47955ff4
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.7		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	0.10.7	metadata	24a057cf2123d760ab78058fe5e9ebee2cc31882
io.data2viz.d2v	d2v-geo-iossimulatorarm64	10.0.3		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	10.0.3	metadata	b96c4bbd843fd16f7f9b7f01f76e3e98f231c2d3
io.data2viz.d2v	d2v-geo-iossimulatorarm64	10.0.4		N/A
io.data2viz.d2v	d2v-geo-iossimulatorarm64	10.0.4	metadata	0b96196041324799ddb1dad1f519af676b94a3cf
io.data2viz.geojson	core-js	0.6.5		e87df2522cf6d01f1ef4500344a83dfc878f8c4f
io.data2viz.geojson	core-js	0.6.6		e87df2522cf6d01f1ef4500344a83dfc878f8c4f
io.debezium	debezium-connector-dse	2.2.0.Alpha3		786ffb74db271d744c7452bb4e1230236e1874f3
io.debezium	debezium-connector-dse	2.2.0.Alpha3	jar-with-dependencies	4ad34b5436289b2c1b4c88a4659afb3bd520354a
io.debezium	debezium-connector-dse	2.2.0.Beta1		ffd7e6e9dce0bebac2c491bf4aec01b6fe82f13b
io.debezium	debezium-connector-dse	2.2.0.Beta1	jar-with-dependencies	07de3b42aafe3fefadee33a3efe010a09d9e2560
io.debezium	debezium-connector-dse	2.2.0.CR1		24280a2c6cb91dd1d78383f9c0b0dbd2a60cc7f1
io.debezium	debezium-connector-dse	2.2.0.CR1	jar-with-dependencies	4180fb9432bd7c31a407f1a4f264723815d7267d
io.debezium	debezium-connector-dse	2.2.0.Final		e77365ffbd6b99f05813f3417579f1db5c3f5036
io.debezium	debezium-connector-dse	2.2.0.Final	jar-with-dependencies	2a8ffa4df612878dab864fc727f83d0bb65c61c5
io.debezium	debezium-connector-dse	2.2.1.Final		85f6588046771e173b4da703548ee30d11bc39f5
io.debezium	debezium-connector-dse	2.2.1.Final	jar-with-dependencies	ebbfbfa22972713b7c2e0fec37a33c3365a806f3
io.debezium	debezium-connector-dse	2.3.0.Alpha1		97bad604609491f460837ee4bd7c4f5d2ffab9cb
io.debezium	debezium-connector-dse	2.3.0.Alpha1	jar-with-dependencies	4d77b96659b5dadd2fc0fcf07a70b52793cca900
io.debezium	debezium-connector-dse	2.3.0.Beta1		68b582e65510a3c05b0d3bfeac5cf7b72970c6cd
io.debezium	debezium-connector-dse	2.3.0.Beta1	jar-with-dependencies	8eb6eb2e4c19323546a554e2601e6488fccf37fc
io.debezium	debezium-connector-dse	2.3.0.CR1		a482e85c5c768c23abc92aeb719376bef4c1c955
io.debezium	debezium-connector-dse	2.3.0.CR1	jar-with-dependencies	3ca91384603a0269693e733f104f13aa5685fd4d
io.debezium	debezium-connector-dse	2.3.0.Final		b0e35ca9948d76377aa84698d76df36a6693c147
io.debezium	debezium-connector-dse	2.3.0.Final	jar-with-dependencies	87d02d0048716b44c51be9a39e82cd4d0627d632
io.debezium	debezium-connector-dse	2.3.1.Final		88fae7414cf6abebcb0168a4b86abe8799b619e4
io.debezium	debezium-connector-dse	2.3.1.Final	jar-with-dependencies	c9dfdd907b511c3a5573a53defd3ad3b8a13bc95
io.debezium	debezium-connector-dse	2.3.2.Final		2efac28f68f70443834bd0284285644aef901e14
io.debezium	debezium-connector-dse	2.3.2.Final	jar-with-dependencies	89af973d085818b47eebd5c7e26b59e0baaf6450
io.debezium	debezium-connector-dse	2.3.3.Final		2091fe4d9892ee04642f148b8c77acb7f6040128
io.debezium	debezium-connector-dse	2.3.3.Final	jar-with-dependencies	3aabef7d7647369b60dc47b32125b849bc3c29e8
io.debezium	debezium-connector-dse	2.3.4.Final		962a4665a8b77a47dea95cbff2a353e9aa5633ce
io.debezium	debezium-connector-dse	2.3.4.Final	jar-with-dependencies	3cee6da90708d9e7e10f9c028da067ef8757af73
io.debezium	debezium-connector-dse	2.3.5.Final		abd1b8103905f452037bc9e29a0dc37b86c08965
io.debezium	debezium-connector-dse	2.3.5.Final	jar-with-dependencies	df398464d7d8fc87e75481b604298d702707764b
io.debezium	debezium-connector-dse	2.3.6.Final		6a4a5568044568896eefc599e06317269a46ed82
io.debezium	debezium-connector-dse	2.3.6.Final	jar-with-dependencies	9702527ca626354ff9580467ad2828393ac818ab
io.debezium	debezium-connector-dse	2.3.7.Final		379c696e1d0eefca7316a3f6cf9e08b97f5b57dc
io.debezium	debezium-connector-dse	2.3.7.Final	jar-with-dependencies	eefc4cac7c5020573f582a3d56efc8d20846d822
io.debezium	debezium-connector-dse	2.4.0.Alpha1		07194ed5b322c69a442fb87a74fa834c51c9f9ac
io.debezium	debezium-connector-dse	2.4.0.Alpha1	jar-with-dependencies	29a031ba3a916f3a925dd547703bca750a939c6a
io.debezium	debezium-connector-dse	2.4.0.Alpha2		0ae2f8058b28ede857f790b511e16ba709bd586d
io.debezium	debezium-connector-dse	2.4.0.Alpha2	jar-with-dependencies	4109e86cff6ef756024a610c64d74a615c4b49c2
io.debezium	debezium-connector-dse	2.4.0.Beta1		13cb083005c7b175ad5ca341f589c7b768f77b39
io.debezium	debezium-connector-dse	2.4.0.Beta1	jar-with-dependencies	e1b7db17c2bdd3e95571fd2890a5172464163dd4
io.debezium	debezium-connector-dse	2.4.0.Beta2		e8d7a83f92adf5185665f06f6bc30cdc644db0b8
io.debezium	debezium-connector-dse	2.4.0.Beta2	jar-with-dependencies	fcc793c251625a3f2ed205469bf1d582f7914b9c
io.debezium	debezium-connector-dse	2.4.0.CR1		82caa2e0a74e27726e12e903450c1f0b8da013cb
io.debezium	debezium-connector-dse	2.4.0.CR1	jar-with-dependencies	0ab341d4aac9123846fa9d4e679830eaa6a0c62b
io.debezium	debezium-connector-dse	2.4.0.Final		d0e92b44d3469ad1848e8a14482239138003c4e3
io.debezium	debezium-connector-dse	2.4.0.Final	jar-with-dependencies	477a631fba52a506e23f83c5c8b9c7e2f78f2b6e
io.debezium	debezium-connector-dse	2.4.1.Final		4dc18445cf3b58cd90bc17384b036ac87d4948f1
io.debezium	debezium-connector-dse	2.4.1.Final	jar-with-dependencies	c1165035db9ee1fbeb731dfcacce4ab6172e67f2
io.debezium	debezium-connector-dse	2.4.2.Final		160e1ef8d3eb7142f0cb834a12e275b6e9f26c99
io.debezium	debezium-connector-dse	2.4.2.Final	jar-with-dependencies	d646ea7f0f0a1cf0b09a775f7d2e7d3ea09b96fe
io.debezium	debezium-connector-dse	2.5.0.Alpha1		46ea746c76f32b88944f8488b23e8dd6cca356f0
io.debezium	debezium-connector-dse	2.5.0.Alpha1	jar-with-dependencies	981e2e4ed5ff236644f2e4f5f46decdb7838e3b3
io.debezium	debezium-connector-dse	2.5.0.Alpha2		f2086f83824379d30f75d245a6f30a22b8b46c03
io.debezium	debezium-connector-dse	2.5.0.Alpha2	jar-with-dependencies	82ff06dca4f91c4bcbd97ebd4a13f4a24de31131
io.debezium	debezium-connector-dse	2.5.0.Beta1		28e6671c252a7256dd1ede56fe654537b13eb72c
io.debezium	debezium-connector-dse	2.5.0.Beta1	jar-with-dependencies	b2a0569b2f9330b729187ca80e8e507fede24486
io.debezium	debezium-connector-dse	2.5.0.CR1		0a1e95845d5fcaf24ec50fcb7c335b807862e1ca
io.debezium	debezium-connector-dse	2.5.0.CR1	jar-with-dependencies	9a57e773498666f549a0b26da353bb62fe81ca12
io.debezium	debezium-connector-dse	2.5.0.Final		0896047419eca19100ff813727943e8eee3aecc1
io.debezium	debezium-connector-dse	2.5.0.Final	jar-with-dependencies	a320d7aa3a072c263b89f4a6cb95c574b583cbcf
io.debezium	debezium-connector-dse	2.5.1.Final		dbe3ffe87dd75052c541841745a6bff747fa8bf6
