activesoap	retroweaver	1.1	-	8de137dad861a59f75a1e7289553e0dc090b18dc
com.jwebmp.jre10	guiced-persistence-btm	0.59.0.14	-	a98fe2e2f08c39865f0e49dc4c6fcf4eb7a1b6ae
com.kaazing	enterprise.java.client.jms.demo	4.2.6	-	ee93987d6736c55d7c5ea0b829cf675bcd9896fc
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.14	-	7e0e3674e85247f10767bb05f252e47f87abf724
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.15	-	1fd349552a13d32ad34a09b9b5c57a10c840e635
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.16	-	affa82dd5c68860d76743a10a0cf1efee47e7293
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.17	-	54350c53115bffe41f58620b2cf3b1da6ccb9e42
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.18	-	60d2534c38c744228536ac59bda9c5cadb5bc87c
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.19	-	2a33b825f71bb7318a2bacb7a88448b986ed9f64
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.20	-	786ba34c5474d485323bd8748e98c16bd9af33ea
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.21	-	3de2266342e70c680e08afd278c1cd29812038be
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.22	-	ef35379c540f64f54f1bf1f89e629c1a61f1a90c
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.23	-	cd91dca186b9bee3bb4a58810e3bf68ca4089c58
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.24	-	8ccb78c2d964609461774204116a7b8333207213
com.kloudtek.kryptotek	kryptotek-rest-shared	1.0.25	-	41f7d595147b9bb37a7de1064445a1cde81e58b1
com.kotlitecture.kotli	kotli-engine	0.0.1	-	0f52dd5157803c1c6ec4ca0901b40196372957a3
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.0	-	278fa8cfa4b916b359bb0a81a058aa5c19b9f0b6
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.0	1.0.0-sources-commercial	f53b8a0cfc26eb3ad6767a865531b9dba55cf546
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.1	-	542a597c012d50777b6fee80cf6b5c05582f2ad7
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.1	1.0.1-sources-commercial	6c811531dc9b5c18fbf3d436901421c5d917c66a
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.2	-	333fd4f8be7c40bcafc16128da002146e8f8d870
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.3	-	941bcb02e6362aa77d5c3de8d6b0d739ea925a65
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.4	-	2ad27ae4c4cce96128f269c47c6d431de4a70a94
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.5	-	7945a84760c513ceadbf648f09d55c04657579b4
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.6	-	8f51fceb6e36e5d0b9fb6212f14ce2e0fde182a8
com.liferay	com.liferay.asset.tags.item.selector.web	1.0.7	-	1c8ef2b4f9ac7b33b3c2142c289f58628d613518
com.liferay	com.liferay.gradle.plugins.gulp	1.0.0	-	418264e3ecf25da5bbc141b6126dc81389744a4a
com.liferay	com.liferay.gradle.plugins.gulp	1.0.1	-	e337da337494c0930fb86eee02313b6c605d2946
com.liferay	com.liferay.gradle.plugins.gulp	1.0.10	-	bae70722f7f1ce8fa5dc3fb0e498a7f933100503
com.liferay	com.liferay.gradle.plugins.gulp	1.0.2	-	373f4c61ba0d79426cb1b25fc53e7c79ce5252be
com.liferay	com.liferay.gradle.plugins.gulp	1.0.3	-	204ae30c5605be764305ce483ab7d05582c2a8e0
com.liferay	com.liferay.gradle.plugins.gulp	1.0.4	-	cffc80ecdca5da494266f72bed8dc366d2a3f8a0
com.liferay	com.liferay.gradle.plugins.gulp	1.0.5	-	dc2d13e0f78191bc6dc2d130ef71721d45c4d668
com.liferay	com.liferay.gradle.plugins.gulp	1.0.6	-	f52a66ed3714d2ff52394acd923a67d44c57cda6
com.liferay	com.liferay.gradle.plugins.gulp	1.0.7	-	5925a6e3c9d32fb06d99b9483875b16ea3f1f988
com.liferay	com.liferay.gradle.plugins.gulp	1.0.8	-	cc4963660bfd73d190a0530478f846233b90224e
com.liferay	com.liferay.gradle.plugins.gulp	1.0.9	-	3f0d244f116ef6622f48d04658dbbc159123d8cb
com.liferay	com.liferay.gradle.plugins.gulp	2.0.0	-	e8a26bf23bbdbd915bbceea2ab13756fab7fcbd7
com.liferay	com.liferay.gradle.plugins.gulp	2.0.1	-	244c505101874430b65dde1f2f025e3686c42581
com.liferay	com.liferay.gradle.plugins.gulp	2.0.10	-	0e14afb3b991b868362e73fb4ffdf35200b713e3
com.liferay	com.liferay.gradle.plugins.gulp	2.0.11	-	e2c61b616157ba580784697ab250ba8a724ba382
com.liferay	com.liferay.gradle.plugins.gulp	2.0.12	-	6d6644f878e0b957b9710bebfd1d913f7551d174
com.liferay	com.liferay.gradle.plugins.gulp	2.0.13	-	4e22db6d409f4ca1537d91ad035047fb0fb917e5
com.liferay	com.liferay.gradle.plugins.gulp	2.0.14	-	cfd16539fd2d402cf641ccf0f510a4b5e2bcb244
com.liferay	com.liferay.gradle.plugins.gulp	2.0.15	-	b57a1cf9d29eaead4f9a1495d0339602d4655782
com.liferay	com.liferay.gradle.plugins.gulp	2.0.16	-	815085cdf807ad03286ef7da97150cb1818268a4
com.liferay	com.liferay.gradle.plugins.gulp	2.0.17	-	34cfeaed9e70b5775de341c8e4ef6068dad7e57e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.18	-	53f7718418d19f035883f532cb2578cbde9659de
com.liferay	com.liferay.gradle.plugins.gulp	2.0.19	-	68d1623b8317ca0c97688dea46d0eaefe6ccf653
com.liferay	com.liferay.gradle.plugins.gulp	2.0.2	-	9c6d87141f0d02fab353538b36ad558ac58f67af
com.liferay	com.liferay.gradle.plugins.gulp	2.0.20	-	da7c5aa09702ff595fb7171c4c129201d62204af
com.liferay	com.liferay.gradle.plugins.gulp	2.0.20	2.0.20-sources-commercial	f7db5ffb4eb244b35f712c7d55bccdc5baa3f981
com.liferay	com.liferay.gradle.plugins.gulp	2.0.21	-	3cae6f4f0d0085c6ab91b86bd3ecb7f9819f8b4d
com.liferay	com.liferay.gradle.plugins.gulp	2.0.21	2.0.21-sources-commercial	1e68737bd50f40bb722a14664db47ff51cf0f532
com.liferay	com.liferay.gradle.plugins.gulp	2.0.22	-	f77f38ef28b590bb5b51ad84cb02c1db8d3bb4a3
com.liferay	com.liferay.gradle.plugins.gulp	2.0.22	2.0.22-sources-commercial	beb4526ab234fff34a34ebf2107f0c4e08bfd50d
com.liferay	com.liferay.gradle.plugins.gulp	2.0.23	-	6e2c32762d5b35364cd51155d7f8eb2d439de63a
com.liferay	com.liferay.gradle.plugins.gulp	2.0.23	2.0.23-sources-commercial	a5284898b8bb9d4d26c80ab14752c44ad2d2f9cc
com.liferay	com.liferay.gradle.plugins.gulp	2.0.24	-	54f5e4b2e5a26486c044a9922db0fb2e03dc12ff
com.liferay	com.liferay.gradle.plugins.gulp	2.0.24	2.0.24-sources-commercial	70db544f0978fda9b352b6a3386aba1af69de2dc
com.liferay	com.liferay.gradle.plugins.gulp	2.0.25	-	993b6686a62fc7a06bd1382147443c3948219997
com.liferay	com.liferay.gradle.plugins.gulp	2.0.25	2.0.25-sources-commercial	d109c135fb1593599e4a311de9cc3bb1769c6fe0
com.liferay	com.liferay.gradle.plugins.gulp	2.0.26	-	5de81850628f7f5b2e3db47e8659a6e39c02ca59
com.liferay	com.liferay.gradle.plugins.gulp	2.0.26	2.0.26-sources-commercial	de5f0dddd93834730b8339682334675cb232b608
com.liferay	com.liferay.gradle.plugins.gulp	2.0.27	-	eabcac63dcd521c915c6b23e0ddcbc11d95a2c21
com.liferay	com.liferay.gradle.plugins.gulp	2.0.27	2.0.27-sources-commercial	5a2008888f3821ebfe44210144b47505af83f355
com.liferay	com.liferay.gradle.plugins.gulp	2.0.28	-	90104e587355b2e2223f79ab22ccec71a4d91b39
com.liferay	com.liferay.gradle.plugins.gulp	2.0.28	2.0.28-sources-commercial	6552d9233afaa0dba1b2e0608f64bbbf4ab03b86
com.liferay	com.liferay.gradle.plugins.gulp	2.0.29	-	6d28de84fdf17320800d88a35eecd1865fc33c66
com.liferay	com.liferay.gradle.plugins.gulp	2.0.29	2.0.29-sources-commercial	047b07d418ff8cd40395421e5be532658bfc4f91
com.liferay	com.liferay.gradle.plugins.gulp	2.0.3	-	8f2ab0de4659f80a5dfdf3ecc9cd4f5b105f87a5
com.liferay	com.liferay.gradle.plugins.gulp	2.0.30	-	0b97ef96a992028d2f1c0a5dad04c9b5231de502
com.liferay	com.liferay.gradle.plugins.gulp	2.0.30	2.0.30-sources-commercial	fc0d58e9092a190f90f4f8e8b9f345ebc1d1602e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.31	-	ce6134e3116a86bad637fbf9a77b11bf58e528e2
com.liferay	com.liferay.gradle.plugins.gulp	2.0.31	2.0.31-sources-commercial	5f3d83c64474303d1f564aff74cc7131878ee931
com.liferay	com.liferay.gradle.plugins.gulp	2.0.32	-	bfd2da6a56d5193da04c5fd20c2f6f1e114d8805
com.liferay	com.liferay.gradle.plugins.gulp	2.0.32	2.0.32-sources-commercial	b0c4513e2b8e50fe11922ed0cc6053fa96800651
com.liferay	com.liferay.gradle.plugins.gulp	2.0.33	-	5f0613c2c3aca37e7c782fe68a5a1c03b249be40
com.liferay	com.liferay.gradle.plugins.gulp	2.0.33	2.0.33-sources-commercial	cb4bbe3c6e4437b86d2c14f0a4c8e1363970cdd0
com.liferay	com.liferay.gradle.plugins.gulp	2.0.34	-	8b400008a6d2e7592f276b6f759844d2e88b4265
com.liferay	com.liferay.gradle.plugins.gulp	2.0.34	2.0.34-sources-commercial	618356b120575310f31782d00e0c431d828ca91f
com.liferay	com.liferay.gradle.plugins.gulp	2.0.35	-	9b60b80dc5ca81d3785aa972b9270f2e50817c35
com.liferay	com.liferay.gradle.plugins.gulp	2.0.35	2.0.35-sources-commercial	a6ff5bd27ac172973a4523759d17e791314ac22e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.36	-	c64b5e5ec5da4c09b2cbf4e09e1e99ace2417338
com.liferay	com.liferay.gradle.plugins.gulp	2.0.36	2.0.36-sources-commercial	09b5fe30de78cc8a65b375f067badca539026987
com.liferay	com.liferay.gradle.plugins.gulp	2.0.37	-	2e92b9354c56eeb4677894af79ba6e2755b2e892
com.liferay	com.liferay.gradle.plugins.gulp	2.0.37	2.0.37-sources-commercial	5d423a2f05384df1ff1dfa6fa835100ce32a533c
com.liferay	com.liferay.gradle.plugins.gulp	2.0.38	-	a719acf4da197be965b546b602099067e6ee621a
com.liferay	com.liferay.gradle.plugins.gulp	2.0.38	2.0.38-sources-commercial	8b94ef390325586e1f732dfe69f39c2673a741b4
com.liferay	com.liferay.gradle.plugins.gulp	2.0.39	-	ef9760274566575e6bdea6b869945ba4d679c476
com.liferay	com.liferay.gradle.plugins.gulp	2.0.39	2.0.39-sources-commercial	148be4639767af7779a06fb9fae4faa37d4eafaa
com.liferay	com.liferay.gradle.plugins.gulp	2.0.4	-	8527552ec422b29ea915019430d681bfaf651573
com.liferay	com.liferay.gradle.plugins.gulp	2.0.40	-	b0ebba0a593b1b325a1985de865e483698576147
com.liferay	com.liferay.gradle.plugins.gulp	2.0.40	2.0.40-sources-commercial	aca5c949349078dee050d7f0cfe675bce13c5ac5
com.liferay	com.liferay.gradle.plugins.gulp	2.0.41	-	5fb2cefef710b112e168024f332e8282a90e2530
com.liferay	com.liferay.gradle.plugins.gulp	2.0.41	2.0.41-sources-commercial	f2fe3abe6dfd942304631be6d501467d242e9c49
com.liferay	com.liferay.gradle.plugins.gulp	2.0.42	-	390b6f80b8044660f60a8858cd65c1a3d245a718
com.liferay	com.liferay.gradle.plugins.gulp	2.0.42	2.0.42-sources-commercial	11e6235e9e5548c9652570f4443bd69d2f3eaf8e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.43	-	152f88f2f625f508edc79e99b7c83ed51be7023f
com.liferay	com.liferay.gradle.plugins.gulp	2.0.43	2.0.43-sources-commercial	8340d91d68c9cb79c40e0f7f2ddd45e9ca86b434
com.liferay	com.liferay.gradle.plugins.gulp	2.0.44	-	76c1602a93901146fd737429482be9f4cb4c6a6b
com.liferay	com.liferay.gradle.plugins.gulp	2.0.44	2.0.44-sources-commercial	9a403d9a59bf812d969fc94f9fa1a374a88a0ef8
com.liferay	com.liferay.gradle.plugins.gulp	2.0.45	-	1eb542dfbaa16ace112a33991b99a502603c06c2
com.liferay	com.liferay.gradle.plugins.gulp	2.0.45	2.0.45-sources-commercial	2348a2d066336824a9182fd83b4c2ba2390abd28
com.liferay	com.liferay.gradle.plugins.gulp	2.0.46	-	71b2d437ce12fae0c5fbffe4348aad275e463527
com.liferay	com.liferay.gradle.plugins.gulp	2.0.46	2.0.46-sources-commercial	3f8bc01e099aeb32c484ee1848239ad6d2781407
com.liferay	com.liferay.gradle.plugins.gulp	2.0.47	-	f510c0a3727881cd28a164254202213e55c6edf4
com.liferay	com.liferay.gradle.plugins.gulp	2.0.47	2.0.47-sources-commercial	a0b9f0be29d5e592fe2e1819df0d0ad625cdbb9e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.48	-	edb5228695f40f41aba6b04bd851750bcdd4fb13
com.liferay	com.liferay.gradle.plugins.gulp	2.0.48	2.0.48-sources-commercial	422de4c3203ba12767cdee26a2999419d289e2f1
com.liferay	com.liferay.gradle.plugins.gulp	2.0.49	-	60ef191a1cc1d744073ade50b99d851c0f01cae3
com.liferay	com.liferay.gradle.plugins.gulp	2.0.49	2.0.49-sources-commercial	980883a9d54a798f8723cfec6317cf56f7a5d051
com.liferay	com.liferay.gradle.plugins.gulp	2.0.5	-	ae2a3bad1f45e319e0bcf4da72710774134b564b
com.liferay	com.liferay.gradle.plugins.gulp	2.0.50	-	c0ed729d2fed091443aaf18f523dd87d70c63432
com.liferay	com.liferay.gradle.plugins.gulp	2.0.50	2.0.50-sources-commercial	954842af6a07f553e645a14656609d6ea73fdbcc
com.liferay	com.liferay.gradle.plugins.gulp	2.0.51	-	7848d7996c5718d239ae07195a745ffce6d60b38
com.liferay	com.liferay.gradle.plugins.gulp	2.0.51	2.0.51-sources-commercial	9797a97a5f7d62af48846724c7738a7f83c5416e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.52	-	b3628a7369bcb5314703b2077575da275ce94440
com.liferay	com.liferay.gradle.plugins.gulp	2.0.52	2.0.52-sources-commercial	ea09139002b19e9e7fd3672c9df4a9414664bfb7
com.liferay	com.liferay.gradle.plugins.gulp	2.0.53	-	14404b287eb7764b02d0ba6f923942a79fdb0522
com.liferay	com.liferay.gradle.plugins.gulp	2.0.53	2.0.53-sources-commercial	46d3dc983ca1c348323f8dd603cc96ad4bf473d9
com.liferay	com.liferay.gradle.plugins.gulp	2.0.54	-	b95db35639e61ba120ee7b7496f6c12c01bcc429
com.liferay	com.liferay.gradle.plugins.gulp	2.0.54	2.0.54-sources-commercial	4f9563cf99228ec64db459671e988894ca1ffe8d
com.liferay	com.liferay.gradle.plugins.gulp	2.0.55	-	419573a9ac0a71096c0298fab05f9d09c58dbe59
com.liferay	com.liferay.gradle.plugins.gulp	2.0.55	2.0.55-sources-commercial	6cb34216554267078c4f6156340c66c69614b243
com.liferay	com.liferay.gradle.plugins.gulp	2.0.56	-	c2495dd08f6182db2b2ca9d2beec71ef58782122
com.liferay	com.liferay.gradle.plugins.gulp	2.0.56	2.0.56-sources-commercial	cf0476950b532e3734291aa24eec58537b863a5b
com.liferay	com.liferay.gradle.plugins.gulp	2.0.57	-	2fd417f29358c426287f25a4cdc43b6c2f2bc1fd
com.liferay	com.liferay.gradle.plugins.gulp	2.0.57	2.0.57-sources-commercial	9df503634228729d207a7bbf4340ff8ec3ba6f13
com.liferay	com.liferay.gradle.plugins.gulp	2.0.58	-	3ec747553fe5aa84c64fca505bd928e755af91de
com.liferay	com.liferay.gradle.plugins.gulp	2.0.58	2.0.58-sources-commercial	634487fc4e632a19c1ddc7c68f01d99cd0bc72e6
com.liferay	com.liferay.gradle.plugins.gulp	2.0.59	-	938e3d7409bc6ccef1042f088d41b49cec378afe
com.liferay	com.liferay.gradle.plugins.gulp	2.0.59	2.0.59-sources-commercial	11cc75725d1eaf897f83460cb8a3bf4d6f5379d3
com.liferay	com.liferay.gradle.plugins.gulp	2.0.6	-	9913ec12b5f3772157a00a43bf813b73f7840129
com.liferay	com.liferay.gradle.plugins.gulp	2.0.60	-	37a7a2e23573ae1e999508f7ee5718463d8df0f0
com.liferay	com.liferay.gradle.plugins.gulp	2.0.60	2.0.60-sources-commercial	4f64e5e2ca30a9d41dc7dac62d1f2f3832b5d756
com.liferay	com.liferay.gradle.plugins.gulp	2.0.61	-	9abfd0b9cdd487513014e9e15ffbefd65228b054
com.liferay	com.liferay.gradle.plugins.gulp	2.0.61	2.0.61-sources-commercial	3ecdf0398c1dcc1e25146b6d4263e933912b7372
com.liferay	com.liferay.gradle.plugins.gulp	2.0.62	-	e0ce3b1d33929e0581286cd14743013e6e06820b
com.liferay	com.liferay.gradle.plugins.gulp	2.0.62	2.0.62-sources-commercial	83648247fc32f56c7b717b18f535612484c48b64
com.liferay	com.liferay.gradle.plugins.gulp	2.0.63	-	11ed679c76e55f67db4d24cea0f561d687de656e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.63	2.0.63-sources-commercial	2770de7efd189631de2990dc0cd46d3dbaf191a3
com.liferay	com.liferay.gradle.plugins.gulp	2.0.64	-	1d224074e4aa4e3baad2a256e4f4dc6db7b5bc63
com.liferay	com.liferay.gradle.plugins.gulp	2.0.64	2.0.64-sources-commercial	c30dc878fcdeb2e6f5505bf305460f0e93c0d6d1
com.liferay	com.liferay.gradle.plugins.gulp	2.0.65	-	c8b9b0f3875050caa21b007e27b411d984acdd18
com.liferay	com.liferay.gradle.plugins.gulp	2.0.65	2.0.65-sources-commercial	b225643b0b9cc53490c4ed09f2572d19edd2e2a0
com.liferay	com.liferay.gradle.plugins.gulp	2.0.66	-	ceb6a66ee41c1fd43de5cb52c5555ff530a46f32
com.liferay	com.liferay.gradle.plugins.gulp	2.0.66	2.0.66-sources-commercial	140bd89080540f4ef31d700df2d01fcea98c203d
com.liferay	com.liferay.gradle.plugins.gulp	2.0.67	-	0aaa4d7324a6dcd72ebfaafb9a54d538e6e375b2
com.liferay	com.liferay.gradle.plugins.gulp	2.0.67	2.0.67-sources-commercial	a8ca739554531e67cd38f918e690a256a6f613e2
com.liferay	com.liferay.gradle.plugins.gulp	2.0.68	-	19ac7d95e8c69dd6e3c460477278f95531138cde
com.liferay	com.liferay.gradle.plugins.gulp	2.0.69	-	e31f600fd983c4c7d0fe53c32e65ab44e7e409cb
com.liferay	com.liferay.gradle.plugins.gulp	2.0.7	-	0e1c25c114306a9feff66bf6e65a3a833300cb35
com.liferay	com.liferay.gradle.plugins.gulp	2.0.70	-	4d4f5fc54da181426a9a00490fc1d406eb1f1b5a
com.liferay	com.liferay.gradle.plugins.gulp	2.0.71	-	2a81bd5c3f59cc93c9e9023fa2bf574b11425759
com.liferay	com.liferay.gradle.plugins.gulp	2.0.72	-	a5a17a614290976adc0a954d554a9e1b9a53a150
com.liferay	com.liferay.gradle.plugins.gulp	2.0.73	-	0390f32f46318959f40789708669dab32ea5137e
com.liferay	com.liferay.gradle.plugins.gulp	2.0.74	-	d3b49acd805c28e5fb074a3223b9f9d6686440cf
com.liferay	com.liferay.gradle.plugins.gulp	2.0.75	-	fe824dd146fa7152f71686f8fe76d963371690c7
com.liferay	com.liferay.gradle.plugins.gulp	2.0.76	-	b494078be4477c5c0e06f88063947545bd88a2bf
com.liferay	com.liferay.gradle.plugins.gulp	2.0.77	-	bb6f3e76e52a52b67dc134a5d4211bf0b38b6346
com.liferay	com.liferay.gradle.plugins.gulp	2.0.78	-	dcf9fd4b1311c73686e0dcffc62bc8eef494eaa1
com.liferay	com.liferay.gradle.plugins.gulp	2.0.79	-	71b3ef4b58024b599a6e6175b29aceecfdc40eb7
com.liferay	com.liferay.gradle.plugins.gulp	2.0.8	-	b97cb1e9706489ef12fdbac97fc3d7f7e1f71761
com.liferay	com.liferay.gradle.plugins.gulp	2.0.80	-	e14f257f5ab24b9eec8b4b76ceb31aad642cea8d
com.liferay	com.liferay.gradle.plugins.gulp	2.0.81	-	5a7c7f9ee5da13d6be62f062234480ffebb70aa6
com.liferay	com.liferay.gradle.plugins.gulp	2.0.9	-	4570c69c05ba30848e3ebcd6b7bd381e670f4749
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.10	-	0175a47d636f998f09e58a86304ba9f4ea24fa96
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.10	1.0.10-sources-commercial	b797f2c1eadae48a8267d81f7ad5acfeef319ba1
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.11	-	ffebf2357281d26bbd4b983b126708602b3fbf4f
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.11	1.0.11-sources-commercial	b8d02a01369b868a0cf9eba71a371b5f8b8dc909
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.12	-	6be09da8d67fc22a5c894a9e702e65ade35067e1
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.12	1.0.12-sources-commercial	55df0c60e421547746832bb16a3baa048a14893e
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.13	-	3f16e060fc6459938bcc07185214a73bc59acadb
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.13	1.0.13-sources-commercial	3ae7a1ee51e059d4193c555c1fdeee1793999e5e
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.14	-	cab9d80cc45aa08ce59cf40d58260a37bee59316
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.14	1.0.14-sources-commercial	2f7b6060efdbb3440cc2419d54e098192c244014
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.15	-	d31faae186d316bc968b5b9680c0cdf6b934d4a9
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.15	1.0.15-sources-commercial	6932e1d2bcce83db75d52c864d19c6f9eae71435
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.16	-	f87b710f4cf46c95a68206b62237fa5f60fd3a84
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.8	-	c15d87c63b50468a1ba559b223e444a318161e6d
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.8	1.0.8-sources-commercial	12c5f1c4e22c38bc433a7791021fa518f429fd14
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.9	-	2557e0d3e6875ff32d2f946141fb571b9d1b5e83
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	1.0.9	1.0.9-sources-commercial	5b95b445d486669e75ce30bea425dea2da0ef9e7
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.0	-	8c197fdfe983562ffb21a96ec55203e1ce158099
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.0	2.0.0-sources-commercial	43049f3c88243a1b92f260e759803e53e8496360
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.1	-	aab2771884ef13eeeb170706ee24cf9e50e9428c
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.1	2.0.1-sources-commercial	c93d1f403b785651aacac3beec682582922af30b
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.10	-	8ff2c4dc3400b106208785a5fda8fd9003ec0a8f
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.10	2.0.10-sources-commercial	6bd60faaa616ce9184aeef2661a97e65f44ba2ff
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.11	-	07d56ee78ee4d4ce1acb19aeba92ce616f3d87c6
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.11	2.0.11-sources-commercial	183a0805d6239153cd58d49b77457451b56cf827
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.12	-	275f4f907a1576ebc56ec94c6b33df838de6799d
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.12	2.0.12-sources-commercial	6b4e97fed6f7380fe048c6cc514f975b7b8a5e18
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.13	-	ab17253991b4d0e137a60d568781a67a02c97ea9
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.14	-	24339aa8c05205387f8dd4f7cc254ba2410a2369
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.15	-	a6b3b1b6b2fa708b6fb426a92a50029a2a00c320
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.16	-	e0a291b82aa862d2d2aa00aaae04fde64fae032d
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.17	-	8fa7087d8da93ba04b59832b8140aedace1b1877
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.18	-	1aea57a3b79100513a82a211b8add1533533eecd
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.19	-	897753ab48f7c83cbf7e2bda0fdbda2a49e43030
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.2	-	d3f743086334bbdd01677881774c798ef054c3de
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.2	2.0.2-sources-commercial	1968aa9419ad7421ba00c38420e6db168fd8f7e5
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.20	-	98f894b756008511de5808ff019b3594512f09ab
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.3	-	8a58f37e69ddab174fecbefa698cc6264fe47026
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.3	2.0.3-sources-commercial	8bca539285a5acb6883f31593fac0ecf673b56cf
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.4	-	96802d27fe0390459cf55a512ad9cca72bfe8ec5
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.4	2.0.4-sources-commercial	3081021e7688f794f9a5b31b4e70839447889426
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.5	-	f5d4b31170bb18fece89f9cd9b9b51552da35bf5
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.5	2.0.5-sources-commercial	88f20cde4c529c87d0727a00f199cdf4d6a22ba4
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.6	-	c930cc8915560331ba3bc5a1c75c5aedcf422520
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.6	2.0.6-sources-commercial	961f999ecc4be0ca040740d2bc8a7ec1202ae17b
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.7	-	991e5c4b42924bf203f5098986dd25034afdeb3e
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.7	2.0.7-sources-commercial	30639a01800f7fc070404f700137a6500eed5558
com.liferay	com.liferay.portal.workflow.metrics.demo.data.creator.impl	2.0.8	-	59f074ff6bbb0612c3bddff2e976ff2debb3f2f9
