at.released.tempfolder	tempfolder-sync-jvm	0.1		5709b2cc7007b0faa6448f8f49384e30a9a8ef2d
com.mikepenz	aboutlibraries-core-js	11.1.4		N/A
com.mikepenz	aboutlibraries-core-js	11.2.0		N/A
com.mikepenz	aboutlibraries-core-js	11.2.0-a01		N/A
com.mikepenz	aboutlibraries-core-js	11.2.1		N/A
com.mikepenz	aboutlibraries-core-js	11.2.2		N/A
com.mikepenz	aboutlibraries-core-js	11.2.3		N/A
com.mikepenz	aboutlibraries-core-js	11.3.0		N/A
com.mikepenz	aboutlibraries-core-js	11.3.0-b01		N/A
com.mikepenz	aboutlibraries-core-js	11.3.0-rc01		N/A
com.mikepenz	aboutlibraries-core-js	11.3.0-rc02		N/A
com.mikepenz	aboutlibraries-core-js	11.4.0		N/A
com.mikepenz	aboutlibraries-core-js	11.4.0-b01		N/A
com.mikepenz	aboutlibraries-core-js	11.5.0		N/A
com.mikepenz	aboutlibraries-core-js	11.6.0		N/A
com.mikepenz	aboutlibraries-core-js	11.6.0-rc01		N/A
com.mikepenz	aboutlibraries-core-js	11.6.1		N/A
com.mikepenz	aboutlibraries-core-js	11.6.2		N/A
com.mikepenz	aboutlibraries-core-js	11.6.3		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-a01		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-a02		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-a02+compose_1_8		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-a03		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-a04		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-a05		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-b02		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-b03		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-b03+compose_1_8		N/A
com.mikepenz	aboutlibraries-core-js	12.0.0-b03+compose_1_8-2		N/A
com.mikepenz	aboutlibraries-core-js	12.0.1		N/A
com.mikepenz	aboutlibraries-core-js	12.1.0		N/A
com.mikepenz	aboutlibraries-core-js	12.1.0-rc01		N/A
com.mikepenz	aboutlibraries-core-js	12.1.0-rc02		N/A
com.mikepenz	aboutlibraries-core-js	12.1.0-rc03		N/A
com.mikepenz	aboutlibraries-core-js	12.1.0-rc04		N/A
com.mojolly.scalate	scalate-generator_2.9.3	0.4.2		1c3c40d3c1b17d125e8a16bc51646169da568894
com.mojolly.scalate	scalate-generator_2.9.3	0.5.0		4462882589e649fd6b8b207a66d39a31fca01613
com.monovore	decline-refined_native0.4_3	2.3.1		427dd203fa326aab8318024cd30972560cb2acd1
com.monovore	decline-refined_native0.4_3	2.4.0		1d659f5538ec8aa1bdfcaafb90ecbc0585978872
com.monovore	decline-refined_native0.4_3	2.4.1		087743060bb0d74303de8b1b45bf6fe924dc59fe
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.10		a05362288af36208b46d7cf76f97ad61a5cb9c35
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.11		6c7bef2451206dec55f6819c9ac60924643acbea
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.12		b2e3fcda9a572a37adda8630d144696829ef0493
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.13		501f2e953e4057625fb8a6518acbabf05c59d692
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.14		df8f2af5e9e01404b90119eb45adf1d566efbdbd
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.15		485dc6ad73019a911d20cf555ff3c8731b43a734
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.16		07f690a0f100106de9cbbb6c29757ff8df3aaf17
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.17		eefc8d176e3cc907a27270a98af7802033056482
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.18		e3aae1800601c18a76fcd1114be5631ed17356c6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.19		b3beda93a24fe90c138bb3446a5451f08b16708f
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.20		b78bb49e027a697fa39650cb38655184045032ae
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.21		884f48ec0b94ddf4ef1c5ee8ed3c53b03dec21aa
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.22		e4453536321ddb5753cd970bab802ca87d7aa5d6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.23		e70496023c897a262a5c06ffebf48b7bd7cdde04
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.24		de3c1517d4a3f1193ab511261696ebcd578a4a3d
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.25		532db2f35cb3228bc8ccbbb9081cd714412822a6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.26		cd30c05d3a5252035c86a468e3d040114b3d832a
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.27		e9a303682a4dde75fc7bcda7add0ef765ec2036c
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.28		8098c865a4c0d040450e58bb1e4a95983b84e025
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.29		f98de09054eba43839d16d8353c673ebc3411329
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.30		ec6a2d874c50d6f43a59b75c2143dc2db14cc362
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.31		e71f3d79d1ca5834bf4a14c826255db51b4273e9
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.32		7b994672bdba1e7ca79015da8e1b98f5b7f0c02b
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.33		fe5397531724dc318494373cf270deb691404d7e
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.34		0e8a24f863b8141cd13a438e6bcd9fdbe12b13cf
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.35		3756e9de50bf624922858dae39ddaa09febf4fde
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.36		a5bef814b68c274f73cd07e08b0ecc6c8ab04f66
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.37		980ac072ef3df43ef500d94941bcf12f9e0c10aa
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.38		f0083c7d394eaeab821be476f5509bcaaee14c7d
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.39		be756edeeb2460e4c0c9af4cd88441e4bfec5f07
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.4		3a9ec3948c365765c99507bc77edc7f6388d515a
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.40		a8e589941a53bf3fb8361658bf823f4abf55199f
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.41		fb8b0184587268409cfd849b633223359a99abdb
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.42		14c8fc6a0ff278b0ef518717c4dfe578fdb1b46e
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.43		33ec4ed42ca1dda0b1407e1fa9dff858ef2d1d9c
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.44		ca291a27876f112d98b4ee29b699cb2df1d785f7
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.45		f29447997ed82cf62bb3c487b7d41e4a106d1faf
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.46		82317cb741ea118eefb63357e4daada1650234d3
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.47		3dd4d4cf5c997a91acea4db6f6315bb0ef1a50e1
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.48		67a0198db744f0f7cd784e5cb703b1fa8ff0db71
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.49		0dc2780b028829717e79229b7e1695bf45e76ebd
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.5		377c1e392914ef82616fc8248b4a996fc13102a3
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.50		f6df7f5ccd6c182a298d3b3f18e0eefec97b0aff
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.51		2fedf6b33fea60763d5a76c05d926fe48d624f59
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.52		4d7c8d8d62631dc87068cf87c63447d02d4d5675
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.53		76380d41a21fe44572ce357e8b3cffe3b58b3311
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.54		010994c13c7cd9f37cf5784d9e935e212910c90c
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.55		a9990366908affe2ea61a658882805f1f44a673b
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.56		c8d0b23f189ec0fff72013233a817015b0f2ca86
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.57		597f506ffbfb1df31618a1a564290aa03ab50bfe
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.58		e4373fc584a0cafb9e206469aa68bf843e145fa2
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.59		415c93b20bc64eefbdb9740b3d6bf83cb4bc42b6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.6		1a3a15e68efa85ae4ff822a1b3d4714c78154386
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.60		5fc4a8be5c917e65ec484ed8df60e4bc3145c202
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.61		de392891f1850634670696c4ca17c0c663594716
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.7		9b7584e2b02c27e5615dc2b2b346d56ac1006e12
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.8		e77290a08c0aaec4a8b23d6efb84da5bbd3391da
com.netease.nim	camellia-dashboard-spring-boot-starter	1.0.9		990ab5a766b7c3903856b9d9b95ed771960e6fbb
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.0		76e59f3652ff84587c0d226f6dc2ed23063c5547
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.1		4f6ce756e3bc17a8943580d8f2820c4b9f3e707e
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.10		8fe5700d5b262dd2c12d7c3311b957470527c6cc
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.11		012a4c27789aaaaf57f82ccc297c0d9bcfd0d684
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.12		067da333954c933fa0dafd7e37e96d7ea99cc29f
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.13		a8cb8a586f2356a7f8a31e10b45b80148b6e0094
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.14		6b88af70631b7d31c9deb878c2ba28ff6d154b4f
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.2		d0f15a7dc31e1b4ef58b0208c1b6aa2f8a85ded2
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.3		36234a11a79ab54a548ae50f3038556a61cbb18e
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.4		7f7734ed6741a40583a22cb7eec6f7352bb0ae49
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.5		f3043bd29f7780c025b11459516414c11060d9e8
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.6		a4c81ff100658284652f639e7be6fded3c71b062
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.7		58189475038c954c58aa3095c4163961543d853c
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.8		813b1c9be6d19ca2e6145f2263bae61af574fb2e
com.netease.nim	camellia-dashboard-spring-boot-starter	1.1.9		fac0f005ec5f48ca312a8071e02dcd129cae9dc6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.0		4a1420dfba4506c330f4f2f2e8ba07e512b11f48
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.1		6edbbdefddfe92cebc87e7facc7175dc289d8072
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.10		95b921611340705a9fc187f75c3e238b53b6bee7
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.11		2e64296d948cd07b4e257ae07e9c873b42b32c82
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.12		372fe7ae84ce668b1bdfe774fb352dc9980d77b7
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.13		1bce7eb95cfc0a92e02f87963a903436783b58bf
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.14		a78c29c8afb5fbdeb914d9acbfa005a20bdb80b7
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.15		2c80144c967cd66dfe0be26ac34008031dcf9363
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.16		034b6edaf3476ce46e5cd800d3a145abeabcf90c
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.17		6c13ef0f84525d2a6e2d37951e25b46e9e83fe38
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.18		0b42a981e2c6851b21697b35fe0fb679d228a2bf
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.19		84583e2ed6254561bed316ddfa6fce01054b0126
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.2		21f96ef2acc0522e1ac6bd4df760d108431a3c1f
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.20		05dc3620b55eae4f79f120c926ee1a32c5b85b4a
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.21		bbaac140a2422f24b492b5f08b6605328107b455
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.22		72af08cfcc9550a3ddb8cf3115db2130e65795bd
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.23		91b6bd2001cbbd77b3193b21a1ec744cde9c28d0
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.24		6e09864896ad5316c724dc37efd1198849ea18b1
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.25		464b4d4565c236a2a0cb78c3f22f0b1d3228ded9
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.26		34d085ebf66cd1d70a0cf0062b94d524055abd43
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.27		376c76abd0a97778962949c8a819ea3182636489
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.28		7df9925f67add7b890900fe768fed287b9be3fd2
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.29		94b19eb76a4df49dd15d5a101284307c968b7d5a
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.3		71f01576c722ebc7784c8dc537488a366f8a4265
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.30		835ba94a6e01bd13ad51166044bee58e27cbb890
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.4		d9adcfaaba439947cbe18a02b835f41e0db11eea
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.5		9c10a184b53b6591fbae080b2aa10bbeaac5f5e6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.6		3c074acd8ba8bc9edd5e93af5bcaa6183cb9123d
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.7		d97ab158600e9671ece04f106dc334130a84fe7b
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.8		dbda8979c4a052073a76a4da45a765037f944004
com.netease.nim	camellia-dashboard-spring-boot-starter	1.2.9		fec1bc7760f90681049604da12a261a45f0a6d4c
com.netease.nim	camellia-dashboard-spring-boot-starter	1.3.0		1c796d96afa883aedb46e174fa29114304650470
com.netease.nim	camellia-dashboard-spring-boot-starter	1.3.1		20249d522ed075b29382b592ef764b38660d9f85
com.netease.nim	camellia-dashboard-spring-boot-starter	1.3.2		bd26a1009b35ca40be655a1be3ea0ec38c447edb
com.netease.nim	camellia-dashboard-spring-boot-starter	1.3.3		09879193e8297624342ef30b011665f1ae521378
com.netease.nim	camellia-dashboard-spring-boot-starter	1.3.4		73ba73f4fbbcd32f1ef3ba427be55bf09fe7ebf6
com.netease.nim	camellia-dashboard-spring-boot-starter	1.3.5		3629c8e7d6ca750192bac5f5e061704d9e540784
com.oracle.coherence.incubator	coherence-processingpattern	11.0.0		f2715621baabdc653a7e3c40f7587529d972f130
com.oracle.coherence.incubator	coherence-processingpattern	11.1.0		bc8d8c3ca1145730d4f503b288c1a58838b8fa37
com.oracle.coherence.incubator	coherence-processingpattern	11.2.0		23cf7d34f22ae1697c5a2d66cf0dcdabb0f27cd4
com.oracle.coherence.incubator	coherence-processingpattern	11.2.1		cf4d6956941220406c15fda66ced60fc3ede3b65
com.oracle.coherence.incubator	coherence-processingpattern	11.2.2		8e03aca4e59bd3df42ff74d3a33c2ed798c809eb
com.oracle.coherence.incubator	coherence-processingpattern	11.2.3		527a62a93a24b21e639a734749469f5de0f37b12
com.oracle.coherence.incubator	coherence-processingpattern	11.3.0		c3433a603f8fd501e1c0f59133602b1ece107e4b
com.oracle.coherence.incubator	coherence-processingpattern	11.3.1		2bca091618666f32390303ae3e9c58c843e61d8a
com.oracle.coherence.incubator	coherence-processingpattern	11.3.2		5ff3f4a5bc7f95dbe8508940eeeda75934eff735
com.oracle.coherence.incubator	coherence-processingpattern	11.3.3		6c1c486327276fa527addb50f7edbf7a97da47ab
com.oracle.coherence.incubator	coherence-processingpattern	12.0.0		9c89b007c634b7560580ade1c8cf3d3f60c67850
com.oracle.coherence.incubator	coherence-processingpattern	12.1.0		ab0a2c0532590668555fbb18d484fe13b7bc6437
com.oracle.coherence.incubator	coherence-processingpattern	12.2.0		38059b73744f495d410f7e8d05cd3f9d4abb8283
com.oracle.coherence.incubator	coherence-processingpattern	12.3.0		72f8749495fa2d87be35c6fae3000e27138ac754
com.oracle.coherence.incubator	coherence-processingpattern	12.3.1		468e6e4b70ffcd7ba234070992e7272219f51c8f
com.oracle.coherence.incubator	coherence-processingpattern	12.3.2		f90c3f0ef0ccca496b5db13e7b36b1d73dfe6909
com.oracle.coherence.incubator	coherence-processingpattern	12.4.0		2dc89815a4b9468bb5ae2370df74cd8ee49088b1
com.oracle.coherence.incubator	coherence-processingpattern	12.5.0		ee983eb8a282e5839ee55b898a6d8a27be9d520c
com.oracle.coherence.incubator	coherence-processingpattern	12.6.1		5b326760977ac0e015c9bb0dfc22b1697b8b70f3
com.oracle.coherence.incubator	coherence-processingpattern	13.0.0		876e339709ce367cd8eb7251518bddb1aaf8ed16
com.oracle.coherence.incubator	coherence-processingpattern	13.0.1		9bcb79d18caa143bb9728187501cddeec3334d70
com.regnosys.rosetta	rosetta-integration-tests	9.30.0		2a55b27932b1666a6c712049f0d5561fd6e39510
com.regnosys.rosetta	rosetta-integration-tests	9.30.1		2379e2418303e722dde911a09bdaf4d05cdbcb32
com.regnosys.rosetta	rosetta-integration-tests	9.30.2		1db22966cef3a97b557fa71baa40993edbc12fb9
com.regnosys.rosetta	rosetta-integration-tests	9.31.0		36db77c43aca10adcdf2bc95e0ace35bd44c5474
com.regnosys.rosetta	rosetta-integration-tests	9.32.0		efa1e95dcb40f4e5c7560c38544280c23bc45c7a
com.regnosys.rosetta	rosetta-integration-tests	9.32.1		729c9dd33195576b6b1a2a8085be9648a304e0b3
com.regnosys.rosetta	rosetta-integration-tests	9.32.2		f2eb4ed660bacedf5acdd4b6f52110fd00054241
com.regnosys.rosetta	rosetta-integration-tests	9.33.0		721c04356dc8b1293e9143579f83d3af3f8c4448
com.regnosys.rosetta	rosetta-integration-tests	9.34.0		925ab5dcc7d1800350c5e72e078655a87f4074fe
com.regnosys.rosetta	rosetta-integration-tests	9.34.1		390e3f9a5753fdbcc15e970b77b15ab5dfe0e2cd
com.regnosys.rosetta	rosetta-integration-tests	9.34.2		8f75d93b69f7c9b6823b02ea8c698a2a73522294
com.regnosys.rosetta	rosetta-integration-tests	9.34.3		9a8f1fc31eabed2b2142be4a0f2b8e2a49fbd78a
com.regnosys.rosetta	rosetta-integration-tests	9.35.0		32377f42f92d3bf8a8666f9c18f67f7208947ada
com.regnosys.rosetta	rosetta-integration-tests	9.35.1		008cd4e6f761b3110211c22ba6f3db5334766931
com.regnosys.rosetta	rosetta-integration-tests	9.36.0		6daa3bcc5f4cb09a81f3ca69755770830a617575
com.regnosys.rosetta	rosetta-integration-tests	9.36.1		a0a23d69af980cf52b817651da6d53c036990686
com.regnosys.rosetta	rosetta-integration-tests	9.36.2		9b812f87cedab5734be544b54cf0d3f5108d2444
com.regnosys.rosetta	rosetta-integration-tests	9.36.3		b67c49fc32760fda7770e2d6816365be96de6b47
com.regnosys.rosetta	rosetta-integration-tests	9.36.4		c91c4c8b4c4e58746a4a7c37bbd38cbc382b3f4b
com.regnosys.rosetta	rosetta-integration-tests	9.36.5		994eea3d0729793c675a3cee1854ca4ea5479121
com.regnosys.rosetta	rosetta-integration-tests	9.36.6		482b7431ab0c85cf20dccc05d11747259fbce0a1
com.regnosys.rosetta	rosetta-integration-tests	9.37.0		3c239243758fc5c6835db3a00d387ba05801d39a
com.regnosys.rosetta	rosetta-integration-tests	9.38.0		c67236923daa4a85d580c3d5cc6d15697d534f0f
com.regnosys.rosetta	rosetta-integration-tests	9.38.1		e1e3475469bc8a82ffca27d75100e4557e0218a6
com.regnosys.rosetta	rosetta-integration-tests	9.39.0		44ed8ba65a4d49355a4f668b0a9cbf0e267bf5d1
com.regnosys.rosetta	rosetta-integration-tests	9.40.0		6feb40e1cc4c7c34720bbc234a38010e2199d76d
com.regnosys.rosetta	rosetta-integration-tests	9.40.1		42d9131bbcc1638fa2bcb1897e8ca81b02113d3d
com.regnosys.rosetta	rosetta-integration-tests	9.41.0		470f5391193e14cb4f92aeab681e5f64bf4166fd
com.regnosys.rosetta	rosetta-integration-tests	9.41.1		847d104599abcd9c94a2c8c01d3b8b9c139dcd6a
com.regnosys.rosetta	rosetta-integration-tests	9.42.0		dba772f211056fbe5e7d5614449f4e51648e92f1
com.regnosys.rosetta	rosetta-integration-tests	9.43.0		ea8150ace7f1c923f716fda713b489a342e20e85
com.regnosys.rosetta	rosetta-integration-tests	9.44.0		e297228f76fa6aa0dbe111be4194c036be92307a
com.regnosys.rosetta	rosetta-integration-tests	9.44.1		15c87491362c9f5ebfe85e335f0db74f6412bfcd
com.regnosys.rosetta	rosetta-integration-tests	9.45.0		93e8b8bfbbd65c70e37e2f6e99125b9394ea7b45
com.regnosys.rosetta	rosetta-integration-tests	9.45.1		1236a69e0c9e9e7615dde59f94200653fc6c15a0
com.regnosys.rosetta	rosetta-integration-tests	9.45.2		3343c26f98e15a5c8bde6eec3ba9ce11ea4d6007
com.regnosys.rosetta	rosetta-integration-tests	9.45.3		a9c2324067dc4834acf0f360ab937cbee74efff9
com.regnosys.rosetta	rosetta-integration-tests	9.45.4		9ff25e3319bc7fdace9a14fda855d5ee6d8adf30
com.regnosys.rosetta	rosetta-integration-tests	9.46.0		654363cc3e1a1cd67ca369d1931bbf92ca6152ee
com.regnosys.rosetta	rosetta-integration-tests	9.47.0		e6c360e271be389fc80fe0afa452d253955e501c
com.regnosys.rosetta	rosetta-integration-tests	9.48.0		bab4e5180e5ee3be9c54dead2e8b19e42ecf54f6
com.regnosys.rosetta	rosetta-integration-tests	9.48.1		bd5fce018292109b7d2d1a280debdb653e1351f5
com.regnosys.rosetta	rosetta-integration-tests	9.49.0		688517c750a2d8b4dd57d2293015964863a76620
com.regnosys.rosetta	rosetta-integration-tests	9.49.1		0722846578aa0de1af9c8aa843e880434cd5f4e1
com.regnosys.rosetta	rosetta-integration-tests	9.50.0		83c1cb8875cee96f6a173e9dcf1c01da4fe49534
com.regnosys.rosetta	rosetta-integration-tests	9.50.1		c2ac2aeb86c9a2deb71e2bdd62dde474a8182471
com.regnosys.rosetta	rosetta-integration-tests	9.51.0		2538014f76b43afbdf6c82018fd08d27618f49af
com.regnosys.rosetta	rosetta-integration-tests	9.52.0		b1a3a1637ff610cfcd03c1860970fcd9cc18ef9c
com.salesforce.cantor	cantor-common	0.0.2		02512a67f04c0d28be3d134d869cdc06f18384c5
com.salesforce.cantor	cantor-common	0.0.3		a58a08e6fec247a79e6be679ce7005551cb44406
com.salesforce.cantor	cantor-common	0.0.4		85729bc587f54036f8b6492a981c5cb1581f810c
com.salesforce.cantor	cantor-common	0.0.5		92d5fcb0affa97e31456ecaac98c7bee351335d2
com.salesforce.cantor	cantor-common	0.1.0		4d31efc5794599e4f3d274496ba880e6855a6c3c
com.salesforce.cantor	cantor-common	0.1.1		8c5ef8f87e32233b4ed43e6b08769c7e5b1844f4
com.salesforce.cantor	cantor-common	0.1.2		ed813718149f0a663f416357421a2935855c0887
com.salesforce.cantor	cantor-common	0.1.3		aa42131ff21b42fa6472947dce070c7cd1f5e98f
com.salesforce.cantor	cantor-common	0.1.4		0089d434fd1aed49834516aecb5e45ca7a1406e1
com.salesforce.cantor	cantor-common	0.2.0		d6beb41c6bf0e5fdbb5b7d873d8a268e20512b0d
com.salesforce.cantor	cantor-common	0.2.1		879afc32c163dcd5b2eba58f12a76456b2ff2956
com.salesforce.cantor	cantor-common	0.2.2		460707f3b466b5f4cd0d796fbd88e0aedbe9ef3a
com.salesforce.cantor	cantor-common	0.3.0		4317b7986b27dda3092033f95f14e5bc329f0099
com.salesforce.cantor	cantor-common	0.3.1		dc9dea3e4abed8c43a930fe115644913ae0cd7f4
com.salesforce.cantor	cantor-common	0.3.10		d7316c6b297057428c0a35ce55df2109f76ebfa2
com.salesforce.cantor	cantor-common	0.3.11		c5c2d8d98cfa8d985d136e023d63ed6dcc51e9ff
com.salesforce.cantor	cantor-common	0.3.13		406b104b74ecd0371dac3519568c7543a3cc28bf
com.salesforce.cantor	cantor-common	0.3.14		e71143b7e7e0b624e36281dec4d1175745cf4912
com.salesforce.cantor	cantor-common	0.3.15		8eb7d232bd692519196eb0995e4688b05e8d1cb9
com.salesforce.cantor	cantor-common	0.3.16		3bbadf9bd54b3dbad64c68ac94a72890a91eae10
com.salesforce.cantor	cantor-common	0.3.17		6b2581f4fd2b0c3acdcb0609a7b3b76327f5d5c3
com.salesforce.cantor	cantor-common	0.3.2		3e3168a97682903c6a4da4ab27aec7730c559cb5
com.salesforce.cantor	cantor-common	0.3.4		ecdbdcf8de835cc1fbb3bf6cf4864b986da8627e
com.salesforce.cantor	cantor-common	0.3.5		2ecbb82aeff2deb302767f0ce4245681c1be50d2
com.salesforce.cantor	cantor-common	0.3.6		1b863cddbda2f11478f4ef76f7be6365405be946
com.salesforce.cantor	cantor-common	0.3.7		77e9afc18d34d773d6953a7dcfe2d1f6b6dfc777
com.salesforce.cantor	cantor-common	0.3.8		5116a24c6638d52c3f409a8b186b23f8aaced414
com.salesforce.cantor	cantor-common	0.3.9		90847955f1c0b65ee81901ef6c45f22673823492
com.salesforce.cantor	cantor-common	0.4.0		c211de8075c577f7d25704c993ea7dc6ac848adb
com.salesforce.cantor	cantor-common	0.4.1		9248aa2b796e3996ed904e1e991b26c2fac27e52
com.salesforce.cantor	cantor-common	0.4.10		bca665fc120ad69076ad4a39084b89c0bdd136fc
com.salesforce.cantor	cantor-common	0.4.11		deb1a98ddba4580d782b75b5ffeb83333d05bb7e
com.salesforce.cantor	cantor-common	0.4.12		465762af39e3937675c4e43410d7992ec96fe93f
com.salesforce.cantor	cantor-common	0.4.13		dc5f709ea15e9b8e38c04567d6009154273f0ebe
com.salesforce.cantor	cantor-common	0.4.14		983b8f670bed6764969014b76931cffd64529c4c
com.salesforce.cantor	cantor-common	0.4.15		15b818b462de1893b3c2084f54e9115f871cbd8b
com.salesforce.cantor	cantor-common	0.4.16		f134f5b82e5a3c80b461459219e3b62da2e9e855
com.salesforce.cantor	cantor-common	0.4.17		0b63f1018138e4c5f44dab16fb68f98d5517188f
com.salesforce.cantor	cantor-common	0.4.18		e670622b54f09ef1b260189e80af6316ecd16a18
com.salesforce.cantor	cantor-common	0.4.19		d6b64be046ccb6691c8b37e3dfe1b05dbf671fbd
com.salesforce.cantor	cantor-common	0.4.2		2fb6a7ac266676f54041b1b21447a9a83a372995
com.salesforce.cantor	cantor-common	0.4.20		71457098b63d75f9cb300c8336ca75777f20e73c
