cloud.caroline	caroline-sdk-store-encrypted-jvm	0.0.1		dc2b576a646e30527e3e7cdb9597e8702d2cb12e
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.30		5c2c1c3bb5321cd8b9b93457d7762b1826318c16
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.4		f056c27047282b9e17ae419468f6996ceb196f76
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.5		2df6e0533f527cd1c9d6b6b98166e71459cc8bd7
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.6		552a929b2c61522e8ec4bd1be1bf5f18d4d0dbce
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.7		1562d8b7849156419cef36de3a9df100378da16e
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.8		d16cfe328c45cd7e7eba5caa276f77984f986138
io.liftwizard	liftwizard-servlet-logging-logstash-encoder	2.1.9		89e18381ad2ede35d190e461ee1ce11b6de0b2e4
io.quarkiverse.primefaces	quarkus-primefaces	2.12.0		e7f9bea9ff46b69ed0dd9a19553768ad9d79a0f0
io.quarkiverse.primefaces	quarkus-primefaces	2.12.1		1dbea78f36c8e23181bdbdbbb8d32db5a09ad2a5
io.quarkiverse.primefaces	quarkus-primefaces	2.12.2		4bd3c5d3bed63d2aaf12298fe1b8fb6455123439
io.quarkiverse.primefaces	quarkus-primefaces	2.12.3		625df46ea5b32d4970ab96e18ae0a1e7bd979ebe
io.quarkiverse.primefaces	quarkus-primefaces	3.12.0		d22202d627659af34448e3a61a25c9ce91296b8a
io.quarkiverse.primefaces	quarkus-primefaces	3.12.2		13d00aac0c09952861f17b7f15102c23c7b98f2f
io.quarkiverse.primefaces	quarkus-primefaces	3.12.3		ac0700d5083ad0e45701006cd68560e4fbdcbe21
io.quarkiverse.primefaces	quarkus-primefaces	3.12.4		1c165aa3e27be84cd8a33bd36ea1f8cede90159d
io.quarkiverse.primefaces	quarkus-primefaces	3.12.5		931e553509f8a2e482a00b4d6ac777965a9e74ef
io.quarkiverse.primefaces	quarkus-primefaces	3.13.0		8b4f2c96e407d8a567d20addb8eb388989245a5f
io.quarkiverse.primefaces	quarkus-primefaces	3.13.1		66e799dff888e97ec89eb8fec7cc2ba16813e8ad
io.quarkiverse.primefaces	quarkus-primefaces	3.13.10		4d3ba548c89efbda04d5d4ff3275516cb3d4d731
io.quarkiverse.primefaces	quarkus-primefaces	3.13.11		3400ccc2d7079c0e1ee1c82a8553dac088d00555
io.quarkiverse.primefaces	quarkus-primefaces	3.13.2		9763e6deb141ab6c892a4bc3f2317b39ed09612c
io.quarkiverse.primefaces	quarkus-primefaces	3.13.3		a83bab1456673b425886540894f2a5845e619ebb
io.quarkiverse.primefaces	quarkus-primefaces	3.13.4		3a5ab9a6bbadba83c1366216c2b17691b98e2fef
io.quarkiverse.primefaces	quarkus-primefaces	3.13.5		f684d2f2ef445cb71f023ffc055afbbbd68483e9
io.quarkiverse.primefaces	quarkus-primefaces	3.13.6		6d51b082d955abf5e56459f750a20a2ab03b53d5
io.quarkiverse.primefaces	quarkus-primefaces	3.13.7		7ba5859f0fc4897a856cef1a156020d399e15197
io.quarkiverse.primefaces	quarkus-primefaces	3.13.8		c33c7330b402250562f223fd32a816402b3e0400
io.quarkiverse.primefaces	quarkus-primefaces	3.13.9		54c3f07293c492d9289f74e80116eade2bd92768
io.quarkiverse.primefaces	quarkus-primefaces	3.14.0		b27eb2d1ca16d83395c60652974bd4e06990e3a3
io.quarkiverse.primefaces	quarkus-primefaces	3.14.0-RC3		32ed54f1adf8b84f874e54962d3a2ec07a1c8389
io.quarkiverse.primefaces	quarkus-primefaces	3.14.0.1		82d499f6f1342ecfc9f0726d2a85a0e17314cdb5
io.quarkiverse.primefaces	quarkus-primefaces	3.14.1		73a4f0a1b35761a74d16c3412028ac4a3bf72dab
io.quarkiverse.primefaces	quarkus-primefaces	3.14.2		3836978844bd58ec4684a48bfb66582e44e9cc48
io.quarkiverse.primefaces	quarkus-primefaces	3.14.3		e81d9efe435cc9bacc884f51c5c545063c6b2231
io.quarkiverse.primefaces	quarkus-primefaces	3.14.4		d0bb4ee7f3db1aa1138e1b291341189866668cad
io.quarkiverse.primefaces	quarkus-primefaces	3.14.5		c77e6ba3f70f533ef35c2614b73bb59eb0450a5f
io.quarkiverse.primefaces	quarkus-primefaces	3.14.6.1		a6bd4d51fcc0c8784a9693b832b7ddb4757fceee
io.quarkiverse.primefaces	quarkus-primefaces	3.14.6.2		7eefae265b5198c7a9bf27fa9b831b0cca93b956
io.quarkiverse.primefaces	quarkus-primefaces	3.14.6.3		86da8a3beb44f18ef045e782be36044d342a25ad
io.quarkiverse.primefaces	quarkus-primefaces	3.14.6.4		5d7e03f730a6f454c2db5ec1d57365a745825859
io.quarkiverse.primefaces	quarkus-primefaces	3.14.7		b41bfdbd98ef207e560c4574d4dac50a875e373d
io.quarkiverse.primefaces	quarkus-primefaces	3.14.8		ea0ef86e3037223c65074f85bacc0142fdac9c09
io.quarkiverse.primefaces	quarkus-primefaces	3.15.0		f7c6f364cd60939547fd18adbd96751c5d63f0a1
io.quarkiverse.primefaces	quarkus-primefaces	3.15.0-RC1		7a88c219cb5c4a5f27d9c5e5bb4ca85566f61bbf
io.quarkiverse.primefaces	quarkus-primefaces	3.15.0-RC2		840e7b2828dfbfb8e7e9bfcca274c43a16bc6eba
io.quarkiverse.primefaces	quarkus-primefaces	3.15.0.1-RC2		ab8c0c5942f84744f14bd9d96afd9af93a3c473a
io.quarkiverse.primefaces	quarkus-primefaces	3.15.1		1af5dfe3266323767779e937f48d7b5fb8f24ce5
io.quarkiverse.primefaces	quarkus-primefaces	3.15.2		1a4dd184f2a179021caf110e1c3dc412628ef8ed
io.quarkiverse.primefaces	quarkus-primefaces	3.15.3		986d551ba3f6c41cc213cb981b9442071c442dec
io.quarkus	quarkus-web-dependency-locator-parent	3.11.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.11.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.11.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.11.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.11.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.12.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.12.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.12.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.12.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.12.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.13.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.13.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.13.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.13.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.13.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.14.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.14.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.14.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.14.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.14.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.14.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.3.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.15.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.16.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.16.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.16.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.16.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.16.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.16.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.5		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.6		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.7		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.17.8		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.18.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.18.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.18.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.18.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.18.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.18.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.19.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.19.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.19.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.19.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.19.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.19.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.20.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.20.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.21.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.21.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.21.1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.21.2		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.21.3		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.21.4		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.22.0		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.22.0.CR1		N/A
io.quarkus	quarkus-web-dependency-locator-parent	3.22.1		N/A
io.streamnative.oxia	oxia-client-metrics-opentelemetry	0.1.0		ae64ac5bb00e433a90b564ed21e9a924458c81c5
io.streamnative.oxia	oxia-client-metrics-opentelemetry	0.1.1		5899e57e3ebb713bd657c51e040d7a109442b13d
io.streamnative.oxia	oxia-client-metrics-opentelemetry	0.1.2		8da32941488251af25088fd434212d1b69f4e7d3
io.streamnative.oxia	oxia-client-metrics-opentelemetry	0.1.6		3f2da1ed779a0b1b8f5e1a7cfa06322595ff3b7f
io.syndesis.integration	integration-runtime	1.10.0		4c5d432595b4688c0274daa06b3d90333ea45198
io.syndesis.integration	integration-runtime	1.11.0		ac1e0d19a8fdd258ebf3b7e266bb39861c64a5ce
io.syndesis.integration	integration-runtime	1.12.0		31ef10339a9f98f553b1b5d50fada4dfe705add5
io.syndesis.integration	integration-runtime	1.12.1		ddaf9ff0e70c86febd627b4fb5080b05851c5107
io.syndesis.integration	integration-runtime	1.13.0		e50955de56570aeff6da28ae5d8e071f48ea17ec
io.syndesis.integration	integration-runtime	1.13.1		b53ac00774f10f80f2db47bb85e6c73cee308a1f
io.syndesis.integration	integration-runtime	1.13.2		e2048df49ec0e829f979546c8a0b11e0d64adff5
io.syndesis.integration	integration-runtime	1.3.0		0d0460393027ad8a7cc3c5091c5325bd038e4254
io.syndesis.integration	integration-runtime	1.3.0-20180301		eab28398bcb2c891a57c477baec320e8642cb545
io.syndesis.integration	integration-runtime	1.3.0-20180302		bd4741f8f50e8679b63f146cd281a7b8792749e8
io.syndesis.integration	integration-runtime	1.3.0-20180303		6ee5144f34d27fcb204819c709bbdb6d0b1d87cc
io.syndesis.integration	integration-runtime	1.3.0-20180304		e72ccf2e72532213aaf4ce27160607688254601f
io.syndesis.integration	integration-runtime	1.3.0-20180306		1f264459684cc447470c14ed85117df28e3477d4
io.syndesis.integration	integration-runtime	1.3.0-20180307		891743f98c3fc91acb231d1715fb5c6deb76c051
io.syndesis.integration	integration-runtime	1.3.0-20180308		e10c72fd47a4d27fd82c12f9b127c2c62520b178
io.syndesis.integration	integration-runtime	1.3.0-20180312		4ac054ffe795a1c1f11124b6667cd0acb1baf8f7
io.syndesis.integration	integration-runtime	1.3.1		912f9fcbc3f4d1231cf0fd08bf91b247c2839577
io.syndesis.integration	integration-runtime	1.3.10		475c3b68f4b81a7c4dae1f490becc5dfc62a6295
io.syndesis.integration	integration-runtime	1.3.10-20180515		a6933a6bd440f3355979f3be19a161077ee35127
io.syndesis.integration	integration-runtime	1.3.12		c196392445a714d2eb9d3af35f140a0a4392e1ad
io.syndesis.integration	integration-runtime	1.3.2		a32ac2ce685344d6f32a2a51af40aa82eba49a61
io.syndesis.integration	integration-runtime	1.3.3		42768c74ff8631454ef50522ac95ab31cc2185ca
io.syndesis.integration	integration-runtime	1.3.4		0ab1ea8b98d6e31a03e5c39215c405335151266b
io.syndesis.integration	integration-runtime	1.3.5		566107c15ac37fe67c9e1ffe9e919d68b9bb4f8a
io.syndesis.integration	integration-runtime	1.3.5-20180405		f04480a2486c842fbe7360fb84a9e8ba81c59784
io.syndesis.integration	integration-runtime	1.3.6		71cf367550e29b3510b00c21bc9cd12fe4bf164a
io.syndesis.integration	integration-runtime	1.3.7		528ef6ea28d75ce74fe35488b1c5baa2cdba36da
io.syndesis.integration	integration-runtime	1.3.8		1fa7c8d5f187782941ca817c3b6b6c0f57c0a773
io.syndesis.integration	integration-runtime	1.3.9		fc5db51fcac82cadda129dab38458202b13bd810
io.syndesis.integration	integration-runtime	1.4.0-20180720		521fef797cc4462c5ef31e20272699121bbf7215
io.syndesis.integration	integration-runtime	1.4.10		7060d4e7e50e7fb5b01c1962c20bba5991cc1be9
io.syndesis.integration	integration-runtime	1.4.2		bc77aa51db823103ae0723f00f28c66ff58302ad
io.syndesis.integration	integration-runtime	1.4.3		433a33c195aff26d4deb4d0643b92faacf96c1b6
io.syndesis.integration	integration-runtime	1.4.4		f8e5828e4fb52126018ee0b4bf669644e9bf5f7b
io.syndesis.integration	integration-runtime	1.4.5		6c9b01406b916825e4fe96926eb283c321f3948a
io.syndesis.integration	integration-runtime	1.4.6		809b45af9dabcb04616774d5116d8253fd3db1f4
io.syndesis.integration	integration-runtime	1.4.7		34429d6423448bdda793fce86c00387e3105cd46
io.syndesis.integration	integration-runtime	1.4.8		42a181be8d804b142f0726f4e9877593152b1398
io.syndesis.integration	integration-runtime	1.4.9		350af076420b4a3b8fd1091230e92e63bc7011df
io.syndesis.integration	integration-runtime	1.5.1		a9804863fe0916e24c6de8eccd22dcf3cae58979
io.syndesis.integration	integration-runtime	1.5.10		1f2d05a73d358ed0cb26952ff3dd790521630584
io.syndesis.integration	integration-runtime	1.5.2		73a41eebdd631b067cb140b50a2b8dbdfc178c86
io.syndesis.integration	integration-runtime	1.5.3		eadb53d0ab08bddbace18bfd688b1adcf6e67909
io.syndesis.integration	integration-runtime	1.5.5		b45c3911a444b4ef44280c82cf23b9338e8c419f
io.syndesis.integration	integration-runtime	1.5.6		17d6cbc342816d150c6fc69edca331f25b1aa348
io.syndesis.integration	integration-runtime	1.5.7		6739410ed24030385ace69131e6e4e5209226463
io.syndesis.integration	integration-runtime	1.5.8		fe6766f7706b1dd684545249cc95ed4c63b9b0d2
io.syndesis.integration	integration-runtime	1.5.9		10100d5345c78e71bbff92f2c038c2c369471968
io.syndesis.integration	integration-runtime	1.6.0		0cae7d2b9c06d0baceec72802a0c0e22a83a0f1c
io.syndesis.integration	integration-runtime	1.6.1		7fffef89cf4429845eb43ab6cbec65dceda93b8b
io.syndesis.integration	integration-runtime	1.6.10		8fc7343dbd229c564b481bb3644b60fdb90505fc
io.syndesis.integration	integration-runtime	1.6.11		701483b0e6f4a8d8140402a08ac7dfb3904d4652
io.syndesis.integration	integration-runtime	1.6.12		c97380c3ccc6d675344c66cd83d7e7b85376918b
io.syndesis.integration	integration-runtime	1.6.13		b568fe81e5c298b897e71455bdff5202eec7eca5
io.syndesis.integration	integration-runtime	1.6.2		35b6eec2a621da3edf46efa94f5c36641fb512b2
io.syndesis.integration	integration-runtime	1.6.3		381b68f2cdf64358ad80551e799aa1b3c3aa09e8
io.syndesis.integration	integration-runtime	1.6.4		b01f7bba9800c8cc31f4fe0391ab77d9c3bf830e
io.syndesis.integration	integration-runtime	1.6.5		94cc38df4f9e3692c30b0e76a000babad1282a9e
io.syndesis.integration	integration-runtime	1.6.6		533ee6db2fcd6b55821913b3cb0eeb951dc60914
io.syndesis.integration	integration-runtime	1.6.7		45d2234cd6d17ab1c358cf8cd9df202731f06a02
io.syndesis.integration	integration-runtime	1.6.8		25346321bb952e44d98ecf771a97427c42c3b2ca
io.syndesis.integration	integration-runtime	1.6.9		aea69321d913741ae3ab07666e1b08b036153be7
io.syndesis.integration	integration-runtime	1.7.0		81b7f6d5d54f9de0885e876af990ed39cc2d618b
io.syndesis.integration	integration-runtime	1.7.1		c0de95f351ced5dc7f59a8293103eb73b3103ddb
io.syndesis.integration	integration-runtime	1.7.10		40263901dd45647c04744039e8ec2d1e8c5f1f5d
io.syndesis.integration	integration-runtime	1.7.11		e2e16edd7ca84f79edc68ef75b97befe6bded76e
io.syndesis.integration	integration-runtime	1.7.12		a472c1c8eec9691be5b24a961b1e0f0b896a375a
io.syndesis.integration	integration-runtime	1.7.13		c149b6bc6b1394a0c052c9c1c31705881c6f1aba
io.syndesis.integration	integration-runtime	1.7.2		9ebd38e0787359bd4c1e49311e101adfa0945cb1
io.syndesis.integration	integration-runtime	1.7.3		0f4857be2f04dafba03dce2fa329ac24f9d3e184
io.syndesis.integration	integration-runtime	1.7.4		b88042875015bfafdc9b3e44f8e308661dd904eb
io.syndesis.integration	integration-runtime	1.7.5		e33caf685607d4a3a28b33f1dffe4a8e1a552487
io.syndesis.integration	integration-runtime	1.7.6		6245e5afe8223895e39a9f05a810f71831a549b4
io.syndesis.integration	integration-runtime	1.7.7		c80261461adbfd03c6d277795677641c3dfbc627
io.syndesis.integration	integration-runtime	1.7.8		27253ce3e327753adb7c0a522301bb67b3efee97
io.syndesis.integration	integration-runtime	1.7.9		d51b831cb1926f5a80ce1b9f4d0edc67483610f1
io.syndesis.integration	integration-runtime	1.8.0		71b0ce1d7b97b36b3e0d38f68584336442a5d73b
io.syndesis.integration	integration-runtime	1.8.1		abdee6e007ee22afb06fd7659e35f01368dadd38
io.syndesis.integration	integration-runtime	1.8.12		6cad7d08edadf4072011fef5d91b0eec3ce7d55e
io.syndesis.integration	integration-runtime	1.8.13		3cf698815cdbff77389fab402df92624308f87dd
io.syndesis.integration	integration-runtime	1.8.2		ecda27f4d55223ecdf7ccf6a98b1b46fab3271b8
io.syndesis.integration	integration-runtime	1.8.6		2b894b906c0ad3a86b6e804659797d4584cdc27d
io.syndesis.integration	integration-runtime	1.9.0		61d9d42126754441b2a6768b020418aa4497bc4f
kr.jadekim	chameleon-core-type-jvm	0.1.0		1d64cd69b9169d692c8af766a546a8be824534fa
kr.jadekim	chameleon-core-type-jvm	0.1.1		1d64cd69b9169d692c8af766a546a8be824534fa
kr.jadekim	chameleon-core-type-jvm	0.1.2		1d64cd69b9169d692c8af766a546a8be824534fa
kr.jadekim	chameleon-core-type-jvm	0.1.3		1d64cd69b9169d692c8af766a546a8be824534fa
kr.jadekim	chameleon-core-type-jvm	0.1.4		1d64cd69b9169d692c8af766a546a8be824534fa
kr.jadekim	chameleon-core-type-jvm	0.1.5		1d64cd69b9169d692c8af766a546a8be824534fa
kr.jadekim	chameleon-core-type-jvm	0.2.0		f1f9aecdf2eb76564350c8c04907fc2bb2c41fd9
kr.jadekim	chameleon-core-type-jvm	0.3.1		f1f9aecdf2eb76564350c8c04907fc2bb2c41fd9
kr.jadekim	chameleon-core-type-jvm	0.3.2		f1f9aecdf2eb76564350c8c04907fc2bb2c41fd9
kr.jadekim	chameleon-core-type-jvm	0.3.3		f1f9aecdf2eb76564350c8c04907fc2bb2c41fd9
kr.jadekim	chameleon-core-type-jvm	0.3.4		f1f9aecdf2eb76564350c8c04907fc2bb2c41fd9
kr.jadekim	chameleon-core-type-jvm	0.4.0		8909314039378024076c3aaa6122a0766bd907f2
kr.jadekim	chameleon-core-type-jvm	0.4.1		8909314039378024076c3aaa6122a0766bd907f2
kr.jadekim	chameleon-core-type-jvm	0.4.2		8909314039378024076c3aaa6122a0766bd907f2
kr.jadekim	chameleon-core-type-jvm	0.4.3		8909314039378024076c3aaa6122a0766bd907f2
kr.jadekim	chameleon-core-type-jvm	0.4.4		8909314039378024076c3aaa6122a0766bd907f2
kr.jadekim	chameleon-core-type-jvm	0.4.6		8909314039378024076c3aaa6122a0766bd907f2
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.2.7		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.2.7	metadata	64b1e62802d2316c83910d8402488a7449b96989
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.3.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.3.0	metadata	162cef0e242c27209c92bd16e66b9fae4ccbd13c
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.3.1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.3.1	metadata	fb4d61b108575849a7cf78c4ac62f8f2affd7076
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.4.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.4.0	metadata	87f21ba6f41afbec25bd17127413410a367505e8
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.5.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.5.0	metadata	946fb69944185ac405ce071fd2e2428350302082
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.5.1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.5.1	metadata	1090fd4113eac822c551700f869785f374f8fca6
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.6.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.6.0	metadata	544059b5499cc5c1e69ffae984c386e7871305ff
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.6.0-beta3		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.6.0-beta3	metadata	303b1c359f9cc8cfa8570cb06b03a9e523eb28c3
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.6.0-beta4		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.6.0-beta4	metadata	375ffaa1c9ca5996433e491aa4c8a3da54b1ce42
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.7.0-beta1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.7.0-beta1	metadata	adf61ebc131742ed32bb23431f7bc9c0ccbae945
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.8.0-beta1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.8.0-beta1	metadata	b93bd47fc1ffd42aaafbe3232b7504b39bad9843
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.9.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	0.9.0	metadata	c745d43d3d7144973dcf022f10336dbd9dfaa231
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.0-0.9.0-dev1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.0-0.9.0-dev1	metadata	bf9249db0a6f90ada17b8c169bf986dab23d2b02
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-0.9.2		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-0.9.2	metadata	d96ca8dadd7cd197b0457911cc54186333f88e7f
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-0.9.3		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-0.9.3	metadata	c17110ed324f63143518fef8d6aad6a22e61f52b
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-0.9.4		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-0.9.4	metadata	9b48d3a967b8aa3d7088e7f9abbc4a560ec14bcd
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-Beta1-0.9.1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-Beta1-0.9.1	metadata	3fb3ce28c76809837ecda37466da72f6c688eb99
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-Beta1-0.9.2		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.0.20-Beta1-0.9.2	metadata	2577851ec27475a01f07d37b73ebfd0277b7748b
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.10.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.10.0	metadata	8c91414a420d3b3d8e04dbe83fccd87279987f3c
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.10.1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.10.1	metadata	3c5a3b7f4e6625d175c93f2da3354c1bd4441a75
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.10.2		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.10.2	metadata	71054954b62192bafd8bd9e6a1f6eb90872faa0e
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.11.0		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.11.0	metadata	26948297e4ab1c033116576d40c8669f5803de01
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.11.1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.11.1	metadata	a83899af5677ef7f8e4d469d8ea44c36dc7cca44
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.9.4		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-0.9.4	metadata	e53f7f93f13502175a110699064a365b0c3fab57
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-Beta1-0.9.2		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-Beta1-0.9.2	metadata	40405e1e464cfe16e1b70e0b63437a5e994bd654
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-Beta1-0.9.3		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.0-Beta1-0.9.3	metadata	07d2a3cd2cdb00a4a8046f6c61bbc2e8661a55d3
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.20-0.11.1		N/A
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.20-0.11.1	metadata	d025c689db93e8fda653db21bc2d44b5dee07263
love.forte.plugin.suspend-transform	suspend-transform-annotation-macosarm64	2.1.20-0.12.0		N/A
