ch.ethz.origo	origo-issue-notifier	1.0		99176e98135dbe5956c37b315644150545689822
com.google.api.grpc	proto-google-devtools-source-protos	1.20.0		c981ded8358ed5c32977dfd962224e9591c71421
com.google.api.grpc	proto-google-devtools-source-protos	1.21.0		957f6dfc56e565ce492c2d35439dd73ce499733d
com.google.api.grpc	proto-google-devtools-source-protos	1.22.0		a02c07bb9fea67e01889fecd5d87d5f26c33153a
com.google.api.grpc	proto-google-devtools-source-protos	1.23.0		83f72bc2562ef1b85eb79757e448556e48cfa7da
com.google.api.grpc	proto-google-devtools-source-protos	1.24.0		f127691c4bcdf1cb2d7333bd97bd03b80dccd010
com.google.api.grpc	proto-google-devtools-source-protos	1.27.0		8fa73d10910027e3d2eba0d8bdd1455de916daff
com.google.api.grpc	proto-google-devtools-source-protos	1.28.0		882b6ccde6c39540636b6f5a25141b364de59e19
com.google.api.grpc	proto-google-devtools-source-protos	1.29.0		2d280b20d1015a339027b6ff7fa2b8bc50eeeacb
com.google.api.grpc	proto-google-devtools-source-protos	1.3.0		26a2e4414df53167a714b5a8bd7a064f8b63732f
com.google.api.grpc	proto-google-devtools-source-protos	1.3.2		9846794b7c7dd8946f87cb995cbe7a075a57c1ca
com.google.api.grpc	proto-google-devtools-source-protos	1.3.3		9df41afb7ef74118069ce50ed8dbebdcc0f8f0e8
com.google.api.grpc	proto-google-devtools-source-protos	1.3.4		520876c32b4bf45e67cb3115093a685526970c2a
com.google.api.grpc	proto-google-devtools-source-protos	1.3.5		5f4413ac1464e1efddeac42a8d99c0f492a74199
com.google.api.grpc	proto-google-devtools-source-protos	1.3.7		78f3afa0097f252529e55273055a5763b5a72f05
com.google.api.grpc	proto-google-devtools-source-protos	1.30.0		b75e17e61a98a81ff7aebf67c638c656c8694f19
com.google.api.grpc	proto-google-devtools-source-protos	1.31.0		2bb4eaff0fe7f327ba24498697c304d86af326d4
com.google.api.grpc	proto-google-devtools-source-protos	1.32.0		d3bc981b75d030cec372ab4513d0d626fd7a25cd
com.google.api.grpc	proto-google-devtools-source-protos	1.33.0		d0c299a7f9390659f9a16edf2b75d73494f13376
com.google.api.grpc	proto-google-devtools-source-protos	1.34.0		2333bf0ccc6aa974925ff399d14d76d628ef3b46
com.google.api.grpc	proto-google-devtools-source-protos	1.35.0		81cdcf2847d929658aa180a14be2750736a210f4
com.google.api.grpc	proto-google-devtools-source-protos	1.36.0		f852161ca17d19f750dd3eae706317cb12db9731
com.google.api.grpc	proto-google-devtools-source-protos	1.37.0		395fe5fe8015d14586a3c193df66f97611444f59
com.google.api.grpc	proto-google-devtools-source-protos	1.38.0		2eee404e0ed3dc66c982a952dd7a0ad6f54f3f3c
com.google.api.grpc	proto-google-devtools-source-protos	1.39.0		fb248c86628ca1465037b3bffba0f73b939b6d1b
com.google.api.grpc	proto-google-devtools-source-protos	1.4.0		8971e4550c086bb97f1e5aceb9de406a311c0ffc
com.google.api.grpc	proto-google-devtools-source-protos	1.40.0		869705d59ce6b8882bcaf42c48a75fb8010f5926
com.google.api.grpc	proto-google-devtools-source-protos	1.41.0		89ed6419df14fb068f75b85540467e9c8c479885
com.google.api.grpc	proto-google-devtools-source-protos	1.42.0		17f316d51663bf0b09f9c70d095d241b82ca0a5c
com.google.api.grpc	proto-google-devtools-source-protos	1.43.0		33beb5931ddf0f8753d5db8e083efd6d9b54b6c6
com.google.api.grpc	proto-google-devtools-source-protos	1.44.0		602f59e59b897eb0e8a00606e5f9be11dae12ab2
com.google.api.grpc	proto-google-devtools-source-protos	1.45.0		22ebe8d371cc3c2cc7b501d98d9abb5d8acf5091
com.google.api.grpc	proto-google-devtools-source-protos	1.46.0		56122176a740f7c4e2f2eb36f08698e7dc2678f2
com.google.api.grpc	proto-google-devtools-source-protos	1.47.0		c58b77f8e7da587b7ad01a6b9883b285ecaf1eef
com.google.api.grpc	proto-google-devtools-source-protos	1.48.0		fdad86020998bb14d24d4392c1ef05c8e7dd245f
com.google.api.grpc	proto-google-devtools-source-protos	1.49.0		91ef6db8e86a31d5b00f2cc58216db076c4ae3d8
com.google.api.grpc	proto-google-devtools-source-protos	1.5.0		8015fe6da1b47b44b01138f045e5dfe00916795a
com.google.api.grpc	proto-google-devtools-source-protos	1.51.0		50be4f11dbc1a2c1b9d727b5860ecb62d1d6b91a
com.google.api.grpc	proto-google-devtools-source-protos	1.52.0		a91566f832bdcf91d23dd096940980520c169201
com.google.api.grpc	proto-google-devtools-source-protos	1.53.0		9d79435d7250269568b51d9d2f38a58d30d4896e
com.google.api.grpc	proto-google-devtools-source-protos	1.54.0		7b9259066ecebe9259a2e186bec73cb53729482c
com.google.api.grpc	proto-google-devtools-source-protos	1.55.0		c105b12fa9f3aa62d948d442d312ced662faee65
com.google.api.grpc	proto-google-devtools-source-protos	1.56.0		5c600bea3f9967d62beb8970ea2df447ae93fc32
com.google.api.grpc	proto-google-devtools-source-protos	1.57.0		d16527aaad2766337d049d6b320fc41792a56dd8
com.google.api.grpc	proto-google-devtools-source-protos	1.58.0		14524b870272f65cd19b311549d81bd0de0469f8
com.google.api.grpc	proto-google-devtools-source-protos	1.59.0		91edb49d8e3797e224078b619de242c32900c066
com.google.api.grpc	proto-google-devtools-source-protos	1.6.0		f1cb1c269bf8883ab21524bbbff74e17449f5146
com.google.api.grpc	proto-google-devtools-source-protos	1.60.0		9bed32e4d885aeaab1a88ffd7749e62c1b24638c
com.google.api.grpc	proto-google-devtools-source-protos	1.7.0		b317f409710a1ff426b424ccd9085dfad79011bb
com.google.api.grpc	proto-google-devtools-source-protos	1.8.0		d663fa64cf01796ad77df9faf383c1052695a1b2
com.google.api.grpc	proto-google-devtools-source-protos	1.9.0		cc79e489d6e2dca0c7ac6fa35e468125246b44c2
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.1.0		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.1.0-alpha.13		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.1.0-alpha.14		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.1.0-alpha.15		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.1.0-alpha.16		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.1.0-alpha.17		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.2.0		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.2.1		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.3.0		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.4.0		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.5.0		N/A
com.javiersc.kotlin	kotlin-test-junit5-androidnativearm32	0.6.0		N/A
com.jdroidtools	jdroid-java-core	0.16.0		b7dc1afbe11ea045ae3029af8a8497340afbd758
com.jdroidtools	jdroid-java-core	1.0.0		a78f6feae7854b7d85a4f876e7ac39419f662266
com.jdroidtools	jdroid-java-core	2.0.0		69377397c8e48d3efe6c393b6024b62afeb4647d
com.jdroidtools	jdroid-java-core	3.0.0		f4c14619f1aecbd15669936b366cf303ba071b7a
com.jdroidtools	jdroid-java-core	3.1.0		bed4c10d4c8699b223a65c4f079890664deb2252
com.meliorbis.economics	ModelSolver	1.0		dca50dcf557b8a2ee47c61616bf728310ac5fe1c
com.meliorbis.economics	ModelSolver	1.1		db969eac1b9a5500f480f84c6bfb1753dee89738
com.okta	okta-maven-plugin	0.1.0		d8a751cc054042c60cf8f6e59d42c52e8482a374
com.okta	okta-maven-plugin	0.2.0		24b2a8c428608d91efb09dff0ab561daff1183f0
com.okta	okta-maven-plugin	0.3.1		62c124bb4ebf28885bf070eed1265ddc07dafb30
com.okta	okta-maven-plugin	0.4.0		f4aafcedfb10d026d02f89cd15f333d5c6301b56
com.olegpy	shironeko-slinky_sjs1_2.13	0.1.0-RC5		a294c82b86227980ce4b9b59fe13ea63dc114cab
com.olegpy	shironeko-slinky_sjs1_2.13	0.2.0-M1		48ab40e224e52f2f0f30658c032542ea5b91ad95
com.olegpy	shironeko-slinky_sjs1_2.13	0.2.0-M2		11f8a27978f193918e2d943d2dfa9846ab6c124c
com.piiano.vault	hibernate-encryption	0.9.1		3e5c0f9478521516ac30acffb47d3b063cd18ad0
com.piiano.vault	hibernate-encryption	0.9.2		57340fd7185ef0c65616b42d94f9582b71f02010
com.piiano.vault	hibernate-encryption	1.0.13		9b66fed73c8ebf4a67aa7c88f64d85ece312265a
com.piiano.vault	hibernate-encryption	1.0.15		1c6f106f65432a2be4b75d7e60ef0d0a529ad5a7
com.piiano.vault	hibernate-encryption	1.1.0		72c16b824a4136dcf47df94701b7792aa0d7c9a5
com.piiano.vault	hibernate-encryption	1.1.1		3fedeb9a4fd8c374efcf7a19798c6388fa518e27
com.piiano.vault	hibernate-encryption	1.1.10		1fc6a9903b1251f2b5275a8b3e9893411d7b3476
com.piiano.vault	hibernate-encryption	1.1.11		b0cd85c251c71276eb7393ba28da93eb2bcadd1c
com.piiano.vault	hibernate-encryption	1.1.12		e0741a2972135530697236b0a4afa0ee71345c15
com.piiano.vault	hibernate-encryption	1.1.13		e4016f09fa1579c53f24e7a116458dae30c70fa7
com.piiano.vault	hibernate-encryption	1.1.14		886098311c3e95afce5c9ff027870992b6218d0f
com.piiano.vault	hibernate-encryption	1.1.15		947d46971445907a11d363893ba08e254a46c2f0
com.piiano.vault	hibernate-encryption	1.1.16		755c516e1aa82e78de2a6f1cc1f1c5b7de078cab
com.piiano.vault	hibernate-encryption	1.1.17		aea27408d21fd6f3a80444892902d95019fc8ef0
com.piiano.vault	hibernate-encryption	1.1.18		e754bef6e50949dc7716198c1a101e4b08d74ede
com.piiano.vault	hibernate-encryption	1.1.19		12953a1ddd566208df401d4d991b3250929e5584
com.piiano.vault	hibernate-encryption	1.1.20		93dc33a3ae8860fc412ccd9ebee540884e960743
com.piiano.vault	hibernate-encryption	1.1.21		eca2dfe521a0a3d3d070fb6dece42c0a6dcb7f15
com.piiano.vault	hibernate-encryption	1.1.22		fdfb90ee012acbdd3e2508ae45b07f07c4ce3f50
com.piiano.vault	hibernate-encryption	1.1.23		efa54a2423a9deb071ff3eafd3207623c5d8b73a
com.piiano.vault	hibernate-encryption	1.1.24		362c67526d6bf416437c074c4950260923417145
com.piiano.vault	hibernate-encryption	1.1.25		1f6573b285bb43642fcb7413b5941b0bd4bfc9de
com.piiano.vault	hibernate-encryption	1.1.26		1ba15900fe3183fed8ea153f0923ecd83db4cdcd
com.piiano.vault	hibernate-encryption	1.1.27		eb9b75517130af4fb3f5c6940beb4f15e758aa62
com.piiano.vault	hibernate-encryption	1.1.3		5628a77c0d5afd9ec346a5fc9fce17409ba46ae1
com.piiano.vault	hibernate-encryption	1.1.4		ec821600104a10710d464a1fe5978995c99cd782
com.piiano.vault	hibernate-encryption	1.1.5		4723e1172d4e7ac0152ec8ab5d6073e2ab2f1a3f
com.piiano.vault	hibernate-encryption	1.1.6		505429d97fd50d9aa5e94142d21a817efca241f4
com.piiano.vault	hibernate-encryption	1.1.7		aa58eb61faa0b7b52595ecfdc293274920e45237
com.piiano.vault	hibernate-encryption	1.1.8		e35b273f1d2fc504d462c2b788aeff661cd8b922
com.piiano.vault	hibernate-encryption	1.1.9		de4a05a2b2afb338116a87b53aa2b716c8d38238
com.piiano.vault	hibernate-encryption	1.2.0		8650d0dcc0ceb2221d69a491c2d045937670fef7
com.piiano.vault	hibernate-encryption	1.2.1		95645a1d0135045b4c94829e5cb848839b3bcc18
com.piiano.vault	hibernate-encryption	1.2.2		33d90eddcff1a89dd84f482436089f8f228e3d04
com.piiano.vault	hibernate-encryption	1.2.3		1acf4fa7ada5c9ee2630383d4d7de2f59a6ed648
com.piiano.vault	hibernate-encryption	1.2.4		73656a06f9145fec02ae6eb02f70555419b12faa
com.piiano.vault	hibernate-encryption	1.2.5		223bb9dd86b49a1bc7f64823542348b0a7586e58
com.piiano.vault	hibernate-encryption	1.2.6		19f72842bea1f44e8121930f7cc8a4637feff386
com.piiano.vault	hibernate-encryption	1.3.0		6a49b904f4ce5797d1f9802610949e5652c4ce29
com.piiano.vault	hibernate-encryption	1.3.1		808b315b936531feec95542e966aecda7f22ab3d
com.piiano.vault	hibernate-encryption	1.3.2		dfab1d3d57d5545fe0e59f83126e66521f64d2dc
com.piiano.vault	hibernate-encryption	1.3.3		fcb1416618b941850d419cee229f3adc0a914922
com.piiano.vault	hibernate-encryption	1.3.5		4a74196bf567321db0e636ac519a2fa675ff3736
com.piiano.vault	hibernate-encryption	1.3.6		da9b67de7ad5af91a50aa350ed0ca0b9b1f47b6d
com.piiano.vault	hibernate-encryption	1.3.7		ee2d435157d73a6eb27b603fc36fe4bfe64ff5b3
com.piiano.vault	hibernate-encryption	1.3.8		4cf3d539dc292287712279ebd77eecbc1d92f610
com.quhaodian.discover	discover-album	1.8.1		1665cc3e10f68ead2085ec04cec0a49f63fe09af
com.rezzedup.util	constants	0.0.1		c672ea5ec8a99a7b1146caf094bf02a5fbb40b0d
com.rezzedup.util	constants	0.1.0		4933bf57b9941109f816f383fe9a07672f980f64
com.rezzedup.util	constants	0.2.0		721e203f671a5919fbd00c86285f1cc465c6541b
com.rezzedup.util	constants	0.2.1		acbf15e41b8825072055a19f93d286c308548dbb
com.shr25.mirai	mirai-core-utils	2.15.0		92ef9688ce4e790cd642f170585aea65c505972f
com.softwaremill.sttp.shared	core_3.0.0-M2	1.0.0		35126f91c735e2dede9cc57910bed0e1634dc30c
com.softwaremill.sttp.shared	core_3.0.0-M2	1.0.0-RC11		1250d28d2c45785f8c5ac34b8b1e47bd66c6bf06
com.softwaremill.sttp.shared	core_3.0.0-M2	1.0.0-RC12		b6af906c6bf38afee4a7f06eb0b767c96f97406b
com.softwaremill.sttp.shared	core_3.0.0-M2	1.0.0-RC13		28df8852b878ba52d04985d5bc52b51e9994dd3d
com.squareup.keywhiz	keywhiz-server	0.10.1		3a545ba7d3a5ac3a33533863f3a8f6a321ae0f9e
com.squareup.keywhiz	keywhiz-server	0.10.1	shaded	c1a420da7fd5556f70424262daf7e5d82e17f8f5
com.squareup.keywhiz	keywhiz-server	0.7.0		57eff8cb760bf760ed8e41faf272258616542ddc
com.squareup.keywhiz	keywhiz-server	0.7.0	shaded	b3252dc7b5a57e9ab6ab93b1de08291911bc992e
com.squareup.keywhiz	keywhiz-server	0.7.1		dc45a5dc2e22651fd94609d1c8191846c1a9c9c7
com.squareup.keywhiz	keywhiz-server	0.7.1	shaded	ea4d4a9ee88cc472220d752dd67b059b8bd772b7
com.squareup.keywhiz	keywhiz-server	0.7.10		12297b129d0b2e1f590baf740eca7ffaca60cf51
com.squareup.keywhiz	keywhiz-server	0.7.10	shaded	751b50d81df9b2e245b0eb7721bc4fd6ba282c3b
com.squareup.keywhiz	keywhiz-server	0.7.10-mysql		fa9e08123e92a6c2764871c311c4137783e14dd2
com.squareup.keywhiz	keywhiz-server	0.7.10-mysql	shaded	05aee12a0b14c6b3cb32af4abcac292110501282
com.squareup.keywhiz	keywhiz-server	0.7.2		bf8da1a9a6075e47e1b484e3cc66ce80011031a2
com.squareup.keywhiz	keywhiz-server	0.7.2	shaded	2e39813f688a1d54dc01d875bf9a412066f72366
com.squareup.keywhiz	keywhiz-server	0.7.3		bb8bcd946a751cc3ad90dfdc478980b778e4d65b
com.squareup.keywhiz	keywhiz-server	0.7.3	shaded	5d09b25b6ab813f7393bf842fc5b221c907bfe1b
com.squareup.keywhiz	keywhiz-server	0.7.4		a33df499e5d2fd8cb2856d5dea49da682ab68136
com.squareup.keywhiz	keywhiz-server	0.7.4	shaded	dcb79ecc1d419e610a20605f3e66388ca40bf133
com.squareup.keywhiz	keywhiz-server	0.7.5		211d8d3b9ccf3b2a82b5305b3ac347ac9caea03f
com.squareup.keywhiz	keywhiz-server	0.7.5	shaded	7f509216f47eced6a6f714b69601657d73ffe5a0
com.squareup.keywhiz	keywhiz-server	0.7.6		dcee2cdb7961f6d90f58fd5abe78af93bf077e5c
com.squareup.keywhiz	keywhiz-server	0.7.6	shaded	d8ac7b7e60338e92359dea28f166cd4bd7598534
com.squareup.keywhiz	keywhiz-server	0.7.7-2		d977d13fe32d355106d20e4828bf703530690ef3
com.squareup.keywhiz	keywhiz-server	0.7.7-2	shaded	f16b9c42a055be3b669f9aad291b5236e5da53c1
com.squareup.keywhiz	keywhiz-server	0.7.8		a561abc51778559e88c7a9e38e93402f1d544121
com.squareup.keywhiz	keywhiz-server	0.7.8	shaded	83ed1cd6327d07fafa51767873b27f9fe3a98bb3
com.squareup.keywhiz	keywhiz-server	0.7.9		dc42117138fb34cff9d808706944862148b1b292
com.squareup.keywhiz	keywhiz-server	0.7.9	shaded	33611aadb0231c46fc465e453cfcd6aa3ca66981
com.squareup.keywhiz	keywhiz-server	0.7.9-mysql		7906a547c3894bdf9e41d0959111780c14ac4663
com.squareup.keywhiz	keywhiz-server	0.7.9-mysql	shaded	666c81bd6b6c5826a13b235134547333ed7cf996
com.squareup.keywhiz	keywhiz-server	0.7.9-sync		d3cb59ef36d33e7fb8d38e0404e5e4e66c19d983
com.squareup.keywhiz	keywhiz-server	0.7.9-sync	shaded	12df7ab9ccc9c8c2a82df808387f4e4c9bac6dd1
com.squareup.keywhiz	keywhiz-server	0.8.0		5f6d563e74f2da41702ac009c118b8fab4fe808c
com.squareup.keywhiz	keywhiz-server	0.8.0	shaded	51b2b0fc19f63ae43048ebf033a422d05bff388b
com.telenav.kivakit	kivakit-network-core	0.9.6-alpha		f096068a70f7989338d5564dda6b3588e7c6ae48
com.telenav.kivakit	kivakit-network-core	0.9.7-alpha		c95d696dea3bb152b990146dd1c9b20ddafde5ce
com.telenav.kivakit	kivakit-network-core	0.9.8-beta		82ccb1482f905d12be0ccf971e0dc63fbca4d8e6
com.telenav.kivakit	kivakit-network-core	1.0.0		f8883290b66e294bcfccaff06871160594a892fd
com.telenav.kivakit	kivakit-network-core	1.1.0		eb48836785b92ffa1d425e30be4b16ba7dc88d88
com.telenav.kivakit	kivakit-network-core	1.1.1		c5734d94f4739df97aa100bae4a76db7e4671bc7
com.telenav.kivakit	kivakit-network-core	1.1.2		6d16e70b38b1be17f4ee81afcb5d003627a3f087
com.telenav.kivakit	kivakit-network-core	1.10.0		e355c427766dcb78e1f3d9eb61d7d0a17ca0cab7
com.telenav.kivakit	kivakit-network-core	1.11.0		044d56e1f613f32eddee026aac7b83fda8b15c89
com.telenav.kivakit	kivakit-network-core	1.12.0		554d53b423b2f475aa726267372515addf015bdd
com.telenav.kivakit	kivakit-network-core	1.13.0		112eb39d16c43bbe6266c2603064ef0feba03e1d
com.telenav.kivakit	kivakit-network-core	1.14.0		fbe08e229b7201922bbd3f5c1fda90fefd9abd5b
com.telenav.kivakit	kivakit-network-core	1.15.0		3853ea69faca4d1f1a3657a025ba88bbc216f69a
com.telenav.kivakit	kivakit-network-core	1.16.0		08ed7aec1bb2cb8c2720624a89dfaad84b916f7e
com.telenav.kivakit	kivakit-network-core	1.17.0		eb5ecce3185cde96d10d845205b842fd05fcc083
com.telenav.kivakit	kivakit-network-core	1.17.1		fab7297e3c33ab80d0f3927adcfd74e3b7745571
com.telenav.kivakit	kivakit-network-core	1.2.0		ce5ab34bfdcb6a7eff41579bcb06822255777057
com.telenav.kivakit	kivakit-network-core	1.2.1		8751651ebb20ffed400d69aae16aa1d9b9603f3d
com.telenav.kivakit	kivakit-network-core	1.2.2		d6ed55c91c5d80fbbe30570515be0bdb7c08d406
com.telenav.kivakit	kivakit-network-core	1.3.0		9e3d2845335030edb7716f1b58fe0d9d4061af17
com.telenav.kivakit	kivakit-network-core	1.4.0		da2ce8074875391c94fed011a61fad24282a25e4
com.telenav.kivakit	kivakit-network-core	1.4.1		b4191f5c35cc386e8a36238410a872d689504600
com.telenav.kivakit	kivakit-network-core	1.4.2		689b776274ec1ff54fcbdd31cce904117e0cc2b6
com.telenav.kivakit	kivakit-network-core	1.5.0		763c3d123e9ac1ee0983c12b790ba9a61587693d
com.telenav.kivakit	kivakit-network-core	1.6.0		f7aff56790b08a79bbca5dd88717ed66b2eeff84
com.telenav.kivakit	kivakit-network-core	1.6.1		8a0b90a1f3ca0a266c85cb9eab260465766dc0db
com.telenav.kivakit	kivakit-network-core	1.6.2		b0bc9d780a37a7db53ecb10fdc6c4d71925ccec7
com.telenav.kivakit	kivakit-network-core	1.7.0		93bbcb24ab9b3968bdb08c53b6e843b1a78961ce
com.telenav.kivakit	kivakit-network-core	1.8.0		e4a0daa2c6ff3d632bda1e58051a4823164dbf49
com.telenav.kivakit	kivakit-network-core	1.8.1		e87888e8c57f32c344f89a1116d70f0b8778ef8d
com.telenav.kivakit	kivakit-network-core	1.8.2		af05bc4979d28a0bc6aaf3a7ae0afb8e9567e5e4
com.telenav.kivakit	kivakit-network-core	1.8.3		dee8d8b01934c3d694db5516d520a7c8d5e7d08c
com.telenav.kivakit	kivakit-network-core	1.8.4		6065826de37093c78e90b5d567d6617c9dd62744
com.telenav.kivakit	kivakit-network-core	1.8.5		580587cb0d927a29ade689627ee4bcc0c2d1aada
com.telenav.kivakit	kivakit-network-core	1.8.6		5fcc4df9bc722df188273c0cd668f4a2c3a0ad91
com.telenav.kivakit	kivakit-network-core	1.8.7		db8d8d10b261f114887828be90f3126128728ced
com.telenav.kivakit	kivakit-network-core	1.8.8		e58b55da566b52ab4464b2bd827b05505fc09ef2
com.telenav.kivakit	kivakit-network-core	1.8.9		cfcc64e25c51a3f9dea946cba4c723c086ec142e
com.telenav.kivakit	kivakit-network-core	1.9.0		1a39ff928fe1b2161de4280ced0baae054195f04
com.typesafe.akka	akka-cluster_2.12.0-M2	2.4-M3		a2b9dba1fa4206fb86e47daa28f7d7ce0409fd6c
com.typesafe.akka	akka-cluster_2.12.0-M2	2.4.0		3bd1179fd893f82dc1e6f22cb1e911ea69063cb9
com.typesafe.akka	akka-cluster_2.12.0-M2	2.4.0-RC1		93646f59b0f91feda3fe1c36e054816591b23afb
com.typesafe.akka	akka-cluster_2.12.0-M2	2.4.0-RC2		e17a74eeaca947bd78c672068d941dcdd7e35a48
com.typesafe.akka	akka-cluster_2.12.0-M2	2.4.0-RC3		cee7605e25a48683b51c213af5c888748997eb2f
de.code-sourcery.maven.buildprofiler	maven-build-profiler-server-common	1.0.3		c7820da3063a3700e4d31f21538acc4547cc53d8
de.code-sourcery.maven.buildprofiler	maven-build-profiler-server-common	1.0.4		681c9e5990d91ca3b590f141366f94fe97b87171
de.code-sourcery.maven.buildprofiler	maven-build-profiler-server-common	1.0.6		43c072c6db4becd914509d3d318a0b10e57ce440
de.flapdoodle.wicket7-java8	de.flapdoodle.wicket--examples	7.0.2		N/A
de.flapdoodle.wicket7-java8	de.flapdoodle.wicket--examples	7.0.3		N/A
dev.zacsweers.anvil	annotations-optional-macosarm64	0.4.0		N/A
dev.zacsweers.anvil	annotations-optional-macosarm64	0.4.0	metadata	c79b6a9db9bf4ce9c2d0e7d0dd07ea73649a6221
dev.zacsweers.anvil	annotations-optional-macosarm64	0.4.1		N/A
dev.zacsweers.anvil	annotations-optional-macosarm64	0.4.1	metadata	80355e86b1892c3343b03ad9e4b7d0aede1d88a8
eu.timepit	refined-scalaz_sjs0.6_2.12.0-RC2	0.5.0		42c453c3b323348ad20bd2906b20e6992a4db71c
eu.timepit	refined-scalaz_sjs0.6_2.12.0-RC2	0.6.0		add4b9f94129204d0bdb039f28a9471e587d009d
eu.timepit	refined-shapeless_sjs0.6_2.13.0-RC1	0.9.5		0a83f470960a47b383a6f6e573f12f045ad1817d
io.github.dreammooncai.yukireflection	api-kotlin	1.0.1		20841632885535c42c9bf31aca92d2dc92f6c1bf
io.github.evanmi	distribute-lock-db	0.0.1		713dfdc2aeda0751b64c8aa69fc97e9f54252e63
io.github.evanmi	distribute-lock-db	0.0.2		a444896a7b55bc2714f0fa44db45b5feb3c1ea8f
io.github.evanmi	distribute-lock-db	0.0.2-jdk8		481c65792f6831b26a9037014326b8dd07f1905d
io.github.matteobertozzi	easer-insights-influx	1.0.0		71c3e908c0b2ca9db21a3844553ceb1eb8047270
io.github.matteobertozzi	easer-insights-influx	1.0.1		a64f7df1fd9b2d46bc6b5687596e5686fd5fdcc1
io.github.matteobertozzi	easer-insights-influx	1.0.2		cd1ed49221336583a0784c31848b7d1cf60ee185
io.github.matteobertozzi	easer-insights-influx	1.0.3		c665a4210e7ed0784d76f6b302ea062d822f9a18
io.github.matteobertozzi	easer-insights-influx	1.0.4		f3f3a61bc21104ed3431f0ba25560400ebf84af8
io.github.matteobertozzi	easer-insights-influx	1.0.5		e9f51ba90f828dd12d333084b3dc7ec20fec531b
io.github.matteobertozzi	easer-insights-influx	1.0.6		a7213684fc6f917ac30f9a3f35b58007485e8f0b
io.kiota	kiota-http-jdk	0.0.10		05a94465cca9558f8ae3c528a1ac5635e870a269
io.kiota	kiota-http-jdk	0.0.13		4a1234ad279b0bba214e1c58589ae00aaf30e77c
io.kiota	kiota-http-jdk	0.0.14		579bc9e61f1032898f2660f862f72d67ddab3fff
io.kiota	kiota-http-jdk	0.0.15		0c888dae4ceb7ae6a3fe5ad7ea1ceeb79a6ffda0
io.kiota	kiota-http-jdk	0.0.16		0bd4b6db8392764e9e0f3f7e9e3a67c8b02e2ad3
io.kiota	kiota-http-jdk	0.0.17		69080324bfd938729337e0da1b62b43ef2be135e
io.kiota	kiota-http-jdk	0.0.18		182fda5d4476dea3c3cde8a4a9496226f30d00e0
io.kiota	kiota-http-jdk	0.0.19		a684f4198845309adfe96799e03918d50dd6f8b6
io.kiota	kiota-http-jdk	0.0.20		4bfed15201394ccf0935a66e3456549da262f9db
io.kiota	kiota-http-jdk	0.0.21		3bd8df547a5d50dd5d23a5be51b2f046a9c774aa
io.kiota	kiota-http-jdk	0.0.8		cda75919debe771e521d4f1851b54f27d25f972e
io.kiota	kiota-http-jdk	0.0.9		62616b33203ecf88e0b78133aab9822c4035b8fc
io.norberg	auto-matter-test	0.10.0		b9262ac1fa58940e4bf68c15edf1cfcdcde91f62
io.norberg	auto-matter-test	0.10.1		a8ac2e802e9c37e3d8aad791ea0308c79f77a8f7
io.norberg	auto-matter-test	0.11.0		cf0da2cb525bc0065a62215a8b7a7f26a314e91f
io.norberg	auto-matter-test	0.11.1		0e2c39d24c0a2eee1f8fc43103cc043049735082
io.norberg	auto-matter-test	0.12.0		0f5248f5d398692933701b7a66179068f5a33143
io.norberg	auto-matter-test	0.13.0		c6f0c301f5d6587364ebc650894b3e9851cf9a7d
io.norberg	auto-matter-test	0.13.1		bb01e1a1e41fcb1ac3bdf3e342e595ab597b51be
io.norberg	auto-matter-test	0.13.2		a8e816d5bc2321aeeea485f098c45d4d2e7629be
io.norberg	auto-matter-test	0.13.3		2a2f94f7aa542f6ff5caea4293177eedb3869b31
io.norberg	auto-matter-test	0.14.1		2745d8232336fe18b8a8691c897350ce4dc307cd
io.norberg	auto-matter-test	0.15.0		cdaa7af756d1fc497bc1045944db33e1119a1b42
io.norberg	auto-matter-test	0.15.1		8dd15516cac4ba93d0cd6227adb4ef8c18523a11
io.norberg	auto-matter-test	0.15.2		13f88255e85ac0c1f15a34e83dfc6387203f680b
io.norberg	auto-matter-test	0.15.3		f1dd280817583a5a929ce0129b8232f2520a5ae1
io.norberg	auto-matter-test	0.15.4		456ff097c1cfead042f34bc39ce306fae2d9f439
io.norberg	auto-matter-test	0.16.0		a197db9d8ff07bda988e01e282b1a0197000aa25
io.norberg	auto-matter-test	0.17.0		ae2a19fa5bd0fe06c521176cafd2b3e2964f519b
io.norberg	auto-matter-test	0.18.0		78bcf47d56436b894cf048da94630d0607931dfe
