ca.pjer	sqlper	1.0.0		0cec536a63e204dbf137ceac244d250e537281bb
com.redhat.lightblue.client	lightblue-client-hystrix	5.1.0		383ff3bb300aeb69e4a00b9974cac8fb1d171a2d
com.redhat.lightblue.client	lightblue-client-hystrix	5.10.0		eba97e6e6377b24c59999afbfbd0a3e77d3063b7
com.redhat.lightblue.client	lightblue-client-hystrix	5.11.0		b193df3c874f0a147288dc955307d2a9e00fe8ba
com.redhat.lightblue.client	lightblue-client-hystrix	5.12.0		7b5d521e913f32a80fed975e542f8f6770663c1e
com.redhat.lightblue.client	lightblue-client-hystrix	5.13.0		ba0a93660e8cdbac90e076557e294651b26c194f
com.redhat.lightblue.client	lightblue-client-hystrix	5.14.0		a28dacf88e28dac689f8f90c87a3afe3ae52fbde
com.redhat.lightblue.client	lightblue-client-hystrix	5.15.0		c7de520578f68361266a39ef3cb326f2d66ed0c1
com.redhat.lightblue.client	lightblue-client-hystrix	5.16.0		9f495ad36d34385b47212c2e84ab8004a6db2f5a
com.redhat.lightblue.client	lightblue-client-hystrix	5.17.0		129cf6a59354cf65598a15451826dac4e72c0fa4
com.redhat.lightblue.client	lightblue-client-hystrix	5.18.0		8404c92ce6056ce888b62c147b9088668dad7dfe
com.redhat.lightblue.client	lightblue-client-hystrix	5.19.0		af489344c9bf9cfae657dc38ff4c39dc408f1044
com.redhat.lightblue.client	lightblue-client-hystrix	5.2.0		14aeaf610911393a6eb4a01ce223a9e685b394ed
com.redhat.lightblue.client	lightblue-client-hystrix	5.20.0		7bd515e86861d7911363f85b1b8bedd04a38bab9
com.redhat.lightblue.client	lightblue-client-hystrix	5.21.0		6bbf19479509a51c16e87ff556714ef670325317
com.redhat.lightblue.client	lightblue-client-hystrix	5.3.0		527528f26f5586d289fba482202d2ee4a30f9274
com.redhat.lightblue.client	lightblue-client-hystrix	5.4.0		c795b669fa0c8de8f5c7c0389d341f7f4d98dc28
com.redhat.lightblue.client	lightblue-client-hystrix	5.5.0		dde9cbf694a5fcf363735c464a7b79242ec77f8d
com.redhat.lightblue.client	lightblue-client-hystrix	5.6.0		7b3f59c1ddf1d4f22d004c62a278dd668cf18de1
com.redhat.lightblue.client	lightblue-client-hystrix	5.7.0		b817873f64cd082f10b49156aa836bb95fd6d59b
com.redhat.lightblue.client	lightblue-client-hystrix	5.8.0		b6ac05d8d2d5cd141adb3337b7cf0bc400df5425
com.redhat.lightblue.client	lightblue-client-hystrix	5.9.0		e74beb7278b86426b61f4a39a21c0caf44fdf8a4
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.10.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.10.1		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.11.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.11.2		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.11.3		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.12.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.12.1		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.13.6		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.13.7		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.14.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.15.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.16.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.17.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.17.1		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.3.4		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.3.5		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.4.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.5.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.5.1		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.5.2		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.6.1		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.7.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.8.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.8.1		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.9.0		N/A
com.sap.cloud.yaas.service-sdk	service-sdk-superpom	4.9.1		N/A
com.sciencesakura	dbsetup-spreadsheet	0.0.1		defe48339d81d8a54f740b4522b1d8f6c66b753b
com.sciencesakura	dbsetup-spreadsheet	0.0.2		175e6a60f5562322ee04f1df61dbdf1f1e8be8ef
com.sciencesakura	dbsetup-spreadsheet	0.0.3		c72da715d6be544a3239b5ebd241b38628358dc2
com.sciencesakura	dbsetup-spreadsheet	0.0.4		9952ca7d01d3550ce3183267b56584da7a03a9c6
com.sciencesakura	dbsetup-spreadsheet	0.1.0		839c1f2da25e41727e6b5b54e2ee0fcb11907e0d
com.sciencesakura	dbsetup-spreadsheet	0.1.1		2dda8f8b2f9609bb84c9d098ce8bb1388413b428
com.sciencesakura	dbsetup-spreadsheet	1.0.0		a0ea8bc5651f5b246055ccb0bb803ba2dc337345
com.sciencesakura	dbsetup-spreadsheet	1.0.1		887f9d2eb4e48babbc0416a47498b1248df15021
com.sciencesakura	dbsetup-spreadsheet	1.0.2		877ae00ceb699665a1e8aca539318444fc359ef4
com.sciencesakura	dbsetup-spreadsheet	1.0.3		b76f16211ae3f6207fa0753879ac5116d1a92e7a
com.sciencesakura	dbsetup-spreadsheet	2.0.0		f2826b4eea9cb0f06aff05d263e80c3b3bfb93bb
com.sciencesakura	dbsetup-spreadsheet	2.0.1		a326475f97896333d2852749b38e329b05458111
com.tristanhunt	knockoff_2.9.0	0.8.0-16		8e09beaca7416c8bbc3821e583602de8487d4eb6
com.tristanhunt	knockoff_2.9.0	0.8.1		ab642aa7912aec7cb4bc65e87fc1cc83061cfab3
com.velocidi	apso-json_2.12	0.15.0		a4c04c844c0ac9f899ff004d2ea79aa422e4aaad
com.velocidi	apso-json_2.12	0.15.1		8850c52831f75d23c073d69c9fb67735339d0ccf
com.velocidi	apso-json_2.12	0.15.2		f3ec618dbe3a321fed6968b65dce6fd96c9a801b
com.velocidi	apso-json_2.12	0.15.3		43a0c59421db4af26b5650460129bfda46e15d0e
com.velocidi	apso-json_2.12	0.16.0		0569ada8881086d67becef8e869bbfc71cb0ae3a
com.velocidi	apso-json_2.12	0.16.1		7b489d0b76fb7e336a3b9e1a4c5309a45c97bada
com.velocidi	apso-json_2.12	0.16.10		a5f8fa0ffd57e6b5ccfa419280c04fce324dde13
com.velocidi	apso-json_2.12	0.16.11		f270c038176583541e9529a5c1957f4e345fefa8
com.velocidi	apso-json_2.12	0.16.2		cb06326383106b892a52636ea1739033a73e7834
com.velocidi	apso-json_2.12	0.16.3		260e795d73a7f36f77814f665550d82ffddc31b6
com.velocidi	apso-json_2.12	0.16.4		4f7863e0fe4c062440c921953f4e662f09c1775e
com.velocidi	apso-json_2.12	0.16.5		7ec4b88d647dde6d717f6fa022ac8c5ebef94126
com.velocidi	apso-json_2.12	0.16.6		36fdb72b1d837b4b5c7812f1939155244a6ae7f4
com.velocidi	apso-json_2.12	0.16.7		0ad9c70a2e16b0459f11dc03a98b16c342a94ad4
com.velocidi	apso-json_2.12	0.16.8		b20821806b110006e390869163b6ccb8c3da0237
com.velocidi	apso-json_2.12	0.16.9		e4358e8eaa5c0801b7674558cf34549cac6e89ed
com.velocidi	apso-json_2.12	0.17.0		101540bde93c72f55174871f160ae5a4d8a0c8a9
de.gematik.ti.epa	fdv.authentication.service.provider	1.0.2		8778b3e3abbf5d1c3019a52a15a40d7c45839880
de.gematik.ti.epa	fdv.authentication.service.provider	1.0.3		f169287e4fe72c92db566307cce3aee8b4e22d45
de.gematik.ti.epa	fdv.authentication.service.provider	1.0.7		1ff02786ae824231134a776b94066ca7fb8f81ae
dev.zio	zio-aws-crt-http_2.12	7.30.15.2		fca4b7508e19fdac6a373d3796fe296ce5204fc4
dev.zio	zio-aws-crt-http_2.12	7.30.16.1		5525093f59160d9f67a9781882eb086dc7dc3267
dev.zio	zio-aws-crt-http_2.12	7.30.16.2		98781a521fe6c66b68d515b1f55858fb15954b19
dev.zio	zio-aws-crt-http_2.12	7.30.16.3		82fb11e99f77a7284f28caa13d8fe4c1b87d941b
dev.zio	zio-aws-crt-http_2.12	7.30.16.4		32a22e147ec83f2dd0cccf62b935969525d3d059
dev.zio	zio-aws-crt-http_2.12	7.30.20.1		3b46ba4429accc36e7df696f09cc41143f7cc2ea
dev.zio	zio-aws-crt-http_2.12	7.30.22.1		ba4a390c58fc9da51a9e38ad40ee15dd09c8ab5f
dev.zio	zio-aws-crt-http_2.12	7.30.22.2		42d3463ebdf55edf4084675f041ffc83d0978083
dev.zio	zio-aws-crt-http_2.12	7.30.23.1		594d1ab7ba02f9752a4fe8b1fc77490d44dd7000
dev.zio	zio-aws-crt-http_2.12	7.30.24.1		8d951bf200af395601b7b0fbe139b6ccc3a02f95
dev.zio	zio-aws-crt-http_2.12	7.30.24.2		295d080dd989c8118a7705b900dccbf29261218f
dev.zio	zio-aws-crt-http_2.12	7.30.25.1		49f86193720ae344beeecef3c40badac108c0303
dev.zio	zio-aws-crt-http_2.12	7.30.26.1		ce3bdf8f544d9129f6038c85cb471ab6f30d36a8
dev.zio	zio-aws-crt-http_2.12	7.30.27.1		3eee133124f122f0592976620ab484eef1a0df08
dev.zio	zio-aws-crt-http_2.12	7.30.27.2		040d991162fe8f849a90e35408bcce6f17fedcdd
dev.zio	zio-aws-crt-http_2.12	7.30.29.1		2fbdf738f5bc0d7d592d128f20ebc99b6f51a7a1
dev.zio	zio-aws-crt-http_2.12	7.30.30.1		74b7f4de7bf328480fbe63a28df36a30451bdcbf
dev.zio	zio-aws-crt-http_2.12	7.30.31.1		154b2a97e6e1825f010a6271829b277f95898e80
dev.zio	zio-aws-crt-http_2.12	7.30.31.2		40095143b8045f30dd24f435c3aeafffa8683187
dev.zio	zio-aws-crt-http_2.12	7.30.32.1		4c133d3d276f54b51b008fd80204e8348c40d03d
dev.zio	zio-aws-crt-http_2.12	7.30.33.1		dc5f6038612a7a76f264e22cd982612f8c7dc5dc
dev.zio	zio-aws-crt-http_2.12	7.30.34.1		ed9459b827d7a9ce58135d441c73d135f3ad5ab1
dev.zio	zio-aws-crt-http_2.12	7.30.34.2		84dcc29808a7486f78860b46d111437ac6f76718
dev.zio	zio-aws-crt-http_2.12	7.30.35.1		63602e837727efa776146a83b35faba464d6ce2d
dev.zio	zio-aws-crt-http_2.12	7.30.36.1		4ba2a1d2ece7abcf30e82869294c5995234d19bb
dev.zio	zio-aws-crt-http_2.12	7.30.37.1		407642e139179cf6b89ea35bf56b4f64cc780a04
dev.zio	zio-aws-crt-http_2.12	7.30.38.1		7e4fa19aeaf1848eafc0e718740dafaf5034b9d5
dev.zio	zio-aws-crt-http_2.12	7.30.38.2		442e059f4a336a5bf8aad34eef1b0b86cbd94e12
dev.zio	zio-aws-crt-http_2.12	7.31.0.1		3daa26e349dfe0d977c295d2269f7684ec82705c
dev.zio	zio-aws-crt-http_2.12	7.31.1.1		469a1b5f51cd631b7696bb8307f18a40c2e9f83f
dev.zio	zio-aws-crt-http_2.12	7.31.1.3		8608934d5fc5fdb6e240928ed52a899564c79d4d
dev.zio	zio-aws-crt-http_2.12	7.31.1.4		be065e02ae8db324fbccdee7a80059d2271d8d5a
dev.zio	zio-aws-crt-http_2.12	7.31.1.5		d1b91595468301b7d0465392e3dc753f6cd0e069
dev.zio	zio-aws-crt-http_2.12	7.31.10.1		95133ac7484edccf03210185d854c5d10d532306
dev.zio	zio-aws-crt-http_2.12	7.31.11.1		fb7832a5551c015dca28d589052c960a28f3dfaa
dev.zio	zio-aws-crt-http_2.12	7.31.13.1		903c8c9940febf219c309b9f4a9db53e9d5e6f8a
dev.zio	zio-aws-crt-http_2.12	7.31.14.1		a11444b565843884a45b7cd57fe40c726cc3f257
dev.zio	zio-aws-crt-http_2.12	7.31.15.1		6c6c6d3f2858bad3e8527d1c5dc179b9a1323134
dev.zio	zio-aws-crt-http_2.12	7.31.16.1		e4c5018d9d5efd6eafe71eba0351541d4a8afa4b
dev.zio	zio-aws-crt-http_2.12	7.31.16.2		bab6a3ac395ccc000b90d2a586735de9776c7a7a
dev.zio	zio-aws-crt-http_2.12	7.31.17.1		bdf6bec4245cdb7f8e3dec08a08ca355e82317bd
dev.zio	zio-aws-crt-http_2.12	7.31.18.1		85aced72652c3809c1d4da830df07b2b1943be8b
dev.zio	zio-aws-crt-http_2.12	7.31.19.1		949a89318dd199aae9c733598c9c899a70d4dd20
dev.zio	zio-aws-crt-http_2.12	7.31.2.1		c91e0b456ca92838617b453e4e794a41dc6a21fd
dev.zio	zio-aws-crt-http_2.12	7.31.20.1		a34350060cc0ab79a7f16a919e58d3d109d636c3
dev.zio	zio-aws-crt-http_2.12	7.31.21.1		b0979c0478d776717f9a651218ce156ea6f8ea21
dev.zio	zio-aws-crt-http_2.12	7.31.22.1		32f60200be38feeb9ef2d11552eec21a27b67feb
dev.zio	zio-aws-crt-http_2.12	7.31.22.2		a9c24b699c377f7001fce3b73e084adde88a0a1c
dev.zio	zio-aws-crt-http_2.12	7.31.24.1		6e11fe50b82eaf06fb3f5c7f1a3d0c11990320ed
dev.zio	zio-aws-crt-http_2.12	7.31.25.1		6e41a6d17889d4cf46f1601e46f8ebc259db498b
dev.zio	zio-aws-crt-http_2.12	7.31.26.1		04ce6deb84293f538b85e6e80ff20341ab9b718b
dev.zio	zio-aws-crt-http_2.12	7.31.26.2		76f7ef529ae29b9acc3dae00f6d7fa4cd8e94fc7
dev.zio	zio-aws-crt-http_2.12	7.31.27.1		1d9ba83bda871d0c3f7253c5f735ff0b4c49b48b
dev.zio	zio-aws-crt-http_2.12	7.31.28.1		3106bc2ce0bfbdffd62b91c576c7ad38102dd84c
dev.zio	zio-aws-crt-http_2.12	7.31.3.1		378eea53171548f74b0964df87da14407ed4f980
dev.zio	zio-aws-crt-http_2.12	7.31.30.1		595aae09929141fd4c60f9ed09e1a51597f7e85a
dev.zio	zio-aws-crt-http_2.12	7.31.4.1		493b5f9257402286520c3c4ee915a2deac54d044
dev.zio	zio-aws-crt-http_2.12	7.31.6.1		8729f16532b9b3fbcc7079fd2cb43a39d0d510ff
dev.zio	zio-aws-crt-http_2.12	7.31.6.2		884a95335245dff63b0827c7826d50e7dc52fa39
dev.zio	zio-aws-crt-http_2.12	7.31.6.3		7083ec0029c90d049706f7814512f3f53e169555
dev.zio	zio-aws-crt-http_2.12	7.31.7.1		7672bca39213418264f710ff7faabb283f7225b0
dev.zio	zio-aws-crt-http_2.12	7.31.8.1		845c58f36805f829c1b7291887c8000c9bc8c4b9
dev.zio	zio-aws-crt-http_2.12	7.31.9.1		de6ff6ba3cce25ff0c2c765b05341f1e3a8e81e9
edu.uci.ics	crawler4j-examples-postgres	4.4.0		7d574e08a9bb309737564e873c6e2b80eb7735ff
io.americanexpress	synapse-client-rest	0.1.0		bf51aad9838c431d1bda94d8c078f38109a626ca
io.apiman	apiman-distro-tools	2.1.1.Final		N/A
io.apiman	apiman-distro-tools	2.1.2.Final		N/A
io.apiman	apiman-distro-tools	2.1.3.Final		N/A
io.apiman	apiman-distro-tools	2.1.4.Final		N/A
io.apiman	apiman-distro-tools	2.1.5.Final		N/A
io.apiman	apiman-distro-tools	2.2.0.Final		N/A
io.apiman	apiman-distro-tools	2.2.1.Final		N/A
io.apiman	apiman-distro-tools	2.2.2.Final		N/A
io.apiman	apiman-distro-tools	2.2.3.Final		N/A
io.apiman	apiman-distro-tools	3.0.0.Final		N/A
io.apiman	apiman-distro-tools	3.0.0.RC6		N/A
io.apiman	apiman-distro-tools	3.1.0.RC2		N/A
io.apiman	apiman-distro-tools	3.1.0.RC4		N/A
io.apiman	apiman-distro-tools	3.1.0.RC6		N/A
io.apiman	apiman-distro-tools	3.1.1.Final		N/A
io.apiman	apiman-distro-tools	3.1.2.Final		N/A
io.apiman	apiman-distro-tools	3.1.2.RC1		N/A
io.apiman	apiman-distro-tools	3.1.3.Final		N/A
io.github.locke-chappel.oss.commons	web	1.0.1		23cf0517469c408d0b97e9deaddda454d43410e9
io.github.locke-chappel.oss.commons	web	1.0.10		20317d540c6436fe98e1b83ad12630bdf1ff93bd
io.github.locke-chappel.oss.commons	web	1.0.11		ffc102fb72fe4686033626228e3501c3cb0f4638
io.github.locke-chappel.oss.commons	web	1.0.12		8f71019fb8343d8b737745692c7c1641daf36155
io.github.locke-chappel.oss.commons	web	1.0.13		774778d1107e942b88c2e17ed2c0c7a3abfc2958
io.github.locke-chappel.oss.commons	web	1.0.14		f2c80a25086f27cd16490806052e5295b00c11ba
io.github.locke-chappel.oss.commons	web	1.0.15		fda073d6eb32d12d00d9a18d1b9281d838918d48
io.github.locke-chappel.oss.commons	web	1.0.16		29e7d3d796e3cb9cafd47437a7b723cce9f4b1d2
io.github.locke-chappel.oss.commons	web	1.0.17		5aaf3e9c645ba58c88eb976337b184e1ccaef8c2
io.github.locke-chappel.oss.commons	web	1.0.18		e986445a13743e8f7288d471903ded16f932370f
io.github.locke-chappel.oss.commons	web	1.0.19		4b5121aa7f23b42b833189905676dd2a4914b19b
io.github.locke-chappel.oss.commons	web	1.0.2		3d61dc2a8686417b18494b47cf019ab73287ddca
io.github.locke-chappel.oss.commons	web	1.0.4		a3679b7005c9c00213031d74384e8825267877a4
io.github.locke-chappel.oss.commons	web	1.0.5		161b1113b44ec60f5642f54dacd207d17a20bdf5
io.github.locke-chappel.oss.commons	web	1.0.6		74a92fea1308ea5aa3475a89fdf53454cdecfe3c
io.github.locke-chappel.oss.commons	web	1.0.7		4fc9d55c7c88a18da1e348bfa931ebb3779318a9
io.github.locke-chappel.oss.commons	web	1.0.8		6009e47ffb9449327b6886b6111e36b059e3d185
io.github.locke-chappel.oss.commons	web	1.0.9		d4c9a75f6b1b58eb9e9054e48a32a673fc511d9d
io.github.mflisar.lumberjack	logger-file-android	7.0.0		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.0-test05		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.1		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.2		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.3		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.4		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.5		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.6		N/A
io.github.mflisar.lumberjack	logger-file-android	7.0.7		N/A
io.github.mflisar.lumberjack	logger-file-android	7.1.0		N/A
io.github.mflisar.lumberjack	logger-file-android	7.1.1		N/A
io.github.mflisar.lumberjack	logger-file-android	7.1.2		N/A
io.github.mflisar.lumberjack	logger-file-android	7.1.3		N/A
io.github.vooft	kotlin-kafka-client-lowlevel	0.4.2		f664a8accfd8ebf9c52c35e3b1b18a7ff5637e91
io.github.vooft	kotlin-kafka-client-lowlevel	0.4.3		b1dd06b98ba39c143aa0366286356b3a35cd6547
io.github.vooft	kotlin-kafka-client-lowlevel	0.4.4		b1dd06b98ba39c143aa0366286356b3a35cd6547
io.github.vooft	kotlin-kafka-client-lowlevel	0.5.0		84f8ed078264d0494138ab1a8c5a74a207bd6da8
io.github.whilein.wcommons	util	1.0.0		948071b8f99c892f9b37d282ba58ffc388c10bf6
io.github.whilein.wcommons	util	1.0.1		c7b21424136c52c507c58bbf367d9d965ebc7439
io.github.whilein.wcommons	util	1.0.2		30d2cda9cf3fbb2bfb8bf963451be4aa6ddb177f
io.github.zhangzih4n	compose-font-misans-macosx64	4.003		N/A
io.github.zhangzih4n	compose-font-misans-macosx64	4.003	metadata	192a3d41c40b69f6725f6ce4ad88e82186a63dfe
io.github.zhangzih4n	compose-font-misans-macosx64	4.003-1		N/A
io.github.zhangzih4n	compose-font-misans-macosx64	4.003-1	metadata	6e17c1cf23726a1352581adfba3f18dce06668bf
io.github.zubtsov.databricks	runtime-bom-azure-15.1-ml-cpu	0.0.2		N/A
io.github.zubtsov.databricks	runtime-bom-azure-15.1-ml-cpu	0.0.3		N/A
io.github.zubtsov.databricks	runtime-bom-azure-15.1-ml-cpu	0.0.4		N/A
io.johnsonlee.initializr	runtime	0.1.0		N/A
io.johnsonlee.initializr	runtime	0.2.0-alpha2		N/A
io.knotx	knotx-knot-handlebars	1.0.0		774ea3efb2bec967dcc0a1aa71932881e9386446
io.knotx	knotx-knot-handlebars	1.0.1		e7c48ebac9dcd975312be2ae0a10cb00b115a583
io.knotx	knotx-knot-handlebars	1.1.0		7605266520f565fa9e0de2f6a5c02c4c12038fa7
io.knotx	knotx-knot-handlebars	1.1.1		e645c7080f1f442c5f4e24f4adeeb995c4ed323e
io.knotx	knotx-knot-handlebars	1.1.2		2072daf4f8b768d52a23b13aefd3c506cb361a37
io.knotx	knotx-knot-handlebars	1.2.0		432f1e6d9a3d422e20a300cda4a96d7a4fcc882a
io.knotx	knotx-knot-handlebars	1.2.1		c40d08c00e765078ff06614a07be6251949adf59
io.knotx	knotx-knot-handlebars	1.2.2		86df1da4d61b3cb9cba4c4f7ee62a4d399fc7d99
io.knotx	knotx-knot-handlebars	1.3.0		20b76dfac9434f11bf23b1c8482347d8dd156077
io.knotx	knotx-knot-handlebars	1.4.0		756c8881f3163d336b5d25cde2837e1df6676dd1
io.knotx	knotx-knot-handlebars	1.5.0		62dda1747b564e99897690c5c683a6783bc662ec
io.knotx	knotx-knot-handlebars	1.6.0		61382ed549547a106457c1ebb78b31d4b74b8a17
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.5		8291f7e9abc772743e7a046a9aec99b7d58e54db
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.5	metadata	d520876ed6c3ec11f59c96e29e0e56513c32a63b
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.6		408613db9da0a9d2cadefdbf25e28e1d3c5a1be8
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.6	metadata	6ac3ed3a353194ecfd672d24f2695cfad6228fab
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.7		c2b593f54a580b4b39222f207c9c9c032c99f452
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.7	metadata	8c6d933c0df23b700d2fdec267a5f1f98fbc8bca
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.8		398804d9f0e3597ac8ba64428ca054e8ee4c7aa9
io.ktor	ktor-client-cio-iossimulatorarm64	1.6.8	metadata	83b87dc9a7f4c5929ed93e58dfcdcfc499b1cfa6
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.0		b0b76ef99da30e2e95580334f5b634bed1cee359
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.0	metadata	8351cc9dc2bc212d0f969883cee5948fa942b98d
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.0-beta-1		7574b84abaf64959ac415a76228afb354d060687
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.0-beta-1	metadata	aa688fde03bb922a55200ad2751a9b19f5752822
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.0-rc-1		410599fa782bd780d173e4d7cf18654d16c24112
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.0-rc-1	metadata	d96b815eff74610778a03333eff3cf735a005afb
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.1		e78ccfb264ebec1dc9c25f1ca8c1e1e3eaa438eb
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.1	metadata	adc5df40bb571a376f76d7bc6326dbd749b23c19
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.2		14749454bfe47c1e11dc52b94581c41866e24fd6
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.2	metadata	e033460cbc498cd22e583b5dba35ff39b0d61359
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.3		2cf5070036eb4503e28403575653afbd6debca40
io.ktor	ktor-client-cio-iossimulatorarm64	2.0.3	metadata	f497ff50a1d20d551197cb134cc744c3cd38196d
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.0		a58af709c40f80f6bf09c62aeedab7b573373641
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.0	metadata	3c9eb9efdd8491e23f5577027f1d1fc0f570f6c8
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.1		198c1337633a2413d6044462639c3dd1f3a0bb4e
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.1	metadata	9e2c81ae2163ef111823c5c1c6c3ce6aef596986
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.2		5a69257dd37f361e5f030333bc7e5ff6684dd3ed
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.2	metadata	59e53b11cafff1394e831c16af9092b6a5a804bf
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.3		8918baf0e54afef8c8b1fbf5951921e36a31079d
io.ktor	ktor-client-cio-iossimulatorarm64	2.1.3	metadata	2094b51e6fea173afd6aeef233c47a3adaed12a6
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.0		b950fd8c75b513e76ef848d61dc82e598e81e1d9
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.0	metadata	4c2d1dbc4ab4fd3b6060dc676b2c6f30f2a1a6ad
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.1		bdac664a5e76eb40690073849e7b3dd942713772
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.1	metadata	54aa74a562c031cef7a3db89d850fc19ecfd73d2
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.2		61bacc0ee88998e32f752cb9037a36d00ba108f0
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.2	metadata	35b9e5644c5c3ecc72e6d396b80f84e6fc03b711
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.3		cb4fc824a46d0b28f82519ce8e10214b23cbabf8
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.3	metadata	b31133aa12b412ecf22bc90f8936cdded9dbeedb
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.4		2d20571dfa364b9a72cf72f57797b66b19a1ec84
io.ktor	ktor-client-cio-iossimulatorarm64	2.2.4	metadata	ee49a97272b0775784c6bd2b7153122a03948f39
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.0		02fe9223ecc7dfb7c0f7271ecccac4b4cdddb0db
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.0	metadata	d7a6010f814a1114a3e779a54add7a40039561cd
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.1		ba31b2f1aeea866723b4bb2775472bc43537ed49
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.1	metadata	055397b200209b2f23ee9db6668b48f4e7f186e3
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.10		d90eb082efa16c3871ee97f6ad54636db4cf0481
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.10	metadata	7274b6499e664b91efaa74458e5ab740202be91e
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.11		736b0fccb4480a1b1af5ec9b55a169c4dd8fa3ae
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.11	metadata	1e4260e649079a290fc11d75a2b8d1e11b8396e5
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.12		0cc34b02d60943e352987a6e9828b6a4e4609509
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.12	metadata	1f677ba4a8d0f22be722a75080fb0b25611cdfc5
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.13		9da0016eb23735c4e274f3113fa4bc9937a136b7
io.ktor	ktor-client-cio-iossimulatorarm64	2.3.13	metadata	f6fd36c2421f0d821cca36bd7772458173307555
